funding_time,funding_rate
2025-05-04 00:00:00.001000+00:00,-2.987e-05
2025-05-04 08:00:00.001000+00:00,-9.596e-05
2025-05-04 16:00:00.002000+00:00,-0.00023499
2025-05-05 00:00:00+00:00,-0.00012825
2025-05-05 08:00:00+00:00,-3.318e-05
2025-05-05 16:00:00.006000+00:00,-0.00020368
2025-05-06 00:00:00.002000+00:00,-8.021e-05
2025-05-06 08:00:00.005000+00:00,5.14e-06
2025-05-06 16:00:00+00:00,5.988e-05
2025-05-07 00:00:00.002000+00:00,8.584e-05
2025-05-07 08:00:00+00:00,9.589e-05
2025-05-07 16:00:00.006000+00:00,-1.492e-05
2025-05-08 00:00:00+00:00,-2.269e-05
2025-05-08 08:00:00.001000+00:00,0.0001
2025-05-08 16:00:00.002000+00:00,0.0001
2025-05-09 00:00:00.001000+00:00,0.0001
2025-05-09 08:00:00.006000+00:00,0.0001
2025-05-09 16:00:00+00:00,0.0001
2025-05-10 00:00:00.001000+00:00,0.0001
2025-05-10 08:00:00+00:00,0.0001
2025-05-10 16:00:00.001000+00:00,0.0001
2025-05-11 00:00:00+00:00,0.0001
2025-05-11 08:00:00.001000+00:00,0.0001
2025-05-11 16:00:00.001000+00:00,4.437e-05
2025-05-12 00:00:00.004000+00:00,0.0001
2025-05-12 08:00:00+00:00,0.0001
2025-05-12 16:00:00+00:00,0.0001
2025-05-13 00:00:00+00:00,7.42e-05
2025-05-13 08:00:00.008000+00:00,9.3e-07
2025-05-13 16:00:00.001000+00:00,9.823e-05
2025-05-14 00:00:00.007000+00:00,0.0001
2025-05-14 08:00:00+00:00,0.0001
2025-05-14 16:00:00.002000+00:00,0.0001
2025-05-15 00:00:00+00:00,3.983e-05
2025-05-15 08:00:00.003000+00:00,3.534e-05
2025-05-15 16:00:00+00:00,-2.042e-05
2025-05-16 00:00:00.001000+00:00,7.633e-05
2025-05-16 08:00:00+00:00,0.0001
2025-05-16 16:00:00+00:00,5.676e-05
2025-05-17 00:00:00+00:00,-6.48e-06
2025-05-17 08:00:00.001000+00:00,0.0001
2025-05-17 16:00:00.004000+00:00,0.0001
2025-05-18 00:00:00+00:00,6.15e-06
2025-05-18 08:00:00+00:00,8.696e-05
2025-05-18 16:00:00+00:00,7.151e-05
2025-05-19 00:00:00+00:00,-0.00010663
2025-05-19 08:00:00.006000+00:00,-0.00019349
2025-05-19 16:00:00.010000+00:00,1.584e-05
2025-05-20 00:00:00+00:00,0.0001
2025-05-20 08:00:00.002000+00:00,0.0001
2025-05-20 16:00:00+00:00,-5.7e-05
2025-05-21 00:00:00+00:00,0.0001
2025-05-21 08:00:00.001000+00:00,0.0001
2025-05-21 16:00:00.004000+00:00,8.611e-05
2025-05-22 00:00:00.001000+00:00,0.0001
2025-05-22 08:00:00+00:00,0.0001
2025-05-22 16:00:00.002000+00:00,0.0001
2025-05-23 00:00:00.006000+00:00,0.0001
2025-05-23 08:00:00+00:00,0.0001
2025-05-23 16:00:00.007000+00:00,0.0001
2025-05-24 00:00:00.010000+00:00,2.443e-05
2025-05-24 08:00:00+00:00,-3.759e-05
2025-05-24 16:00:00.003000+00:00,-7.924e-05
2025-05-25 00:00:00.004000+00:00,-4.97e-05
2025-05-25 08:00:00+00:00,5.31e-06
2025-05-25 16:00:00+00:00,1.562e-05
