funding_time,funding_rate
2025-05-04 00:00:00.001000+00:00,-5.602e-05
2025-05-04 08:00:00.001000+00:00,-0.00016607
2025-05-04 16:00:00.002000+00:00,-0.00020554
2025-05-05 00:00:00+00:00,-0.00018839
2025-05-05 08:00:00+00:00,3.843e-05
2025-05-05 16:00:00.006000+00:00,-0.0001519
2025-05-06 00:00:00.002000+00:00,-0.00012103
2025-05-06 08:00:00.005000+00:00,-7.74e-06
2025-05-06 16:00:00+00:00,5.227e-05
2025-05-07 00:00:00.002000+00:00,7.72e-05
2025-05-07 08:00:00+00:00,-1.63e-06
2025-05-07 16:00:00.006000+00:00,-0.00016988
2025-05-08 00:00:00+00:00,3.14e-05
2025-05-08 08:00:00.001000+00:00,0.0001
2025-05-08 16:00:00.002000+00:00,0.0001
2025-05-09 00:00:00.001000+00:00,0.0001
2025-05-09 08:00:00.006000+00:00,0.0001
2025-05-09 16:00:00+00:00,0.0001
2025-05-10 00:00:00.001000+00:00,0.0001
2025-05-10 08:00:00+00:00,0.0001
2025-05-10 16:00:00.001000+00:00,0.0001
2025-05-11 00:00:00+00:00,0.0001
2025-05-11 08:00:00.001000+00:00,0.0001
2025-05-11 16:00:00.001000+00:00,0.0001
2025-05-12 00:00:00.004000+00:00,0.0001
2025-05-12 08:00:00+00:00,0.0001
2025-05-12 16:00:00+00:00,0.0001
2025-05-13 00:00:00+00:00,0.0001
2025-05-13 08:00:00.008000+00:00,9.081e-05
2025-05-13 16:00:00.001000+00:00,0.0001
2025-05-14 00:00:00.007000+00:00,0.0001
2025-05-14 08:00:00+00:00,0.0001
2025-05-14 16:00:00.002000+00:00,0.0001
2025-05-15 00:00:00+00:00,0.0001
2025-05-15 08:00:00.003000+00:00,7.085e-05
2025-05-15 16:00:00+00:00,3.698e-05
2025-05-16 00:00:00.001000+00:00,2.132e-05
2025-05-16 08:00:00+00:00,3.938e-05
2025-05-16 16:00:00+00:00,5.752e-05
2025-05-17 00:00:00+00:00,4.895e-05
2025-05-17 08:00:00.001000+00:00,2.919e-05
2025-05-17 16:00:00.004000+00:00,3.576e-05
2025-05-18 00:00:00+00:00,6.38e-06
2025-05-18 08:00:00+00:00,-5.436e-05
2025-05-18 16:00:00+00:00,-5.244e-05
2025-05-19 00:00:00+00:00,-3.598e-05
2025-05-19 08:00:00.006000+00:00,5.7e-07
2025-05-19 16:00:00.010000+00:00,-2.011e-05
2025-05-20 00:00:00+00:00,0.0001
2025-05-20 08:00:00.002000+00:00,3.254e-05
2025-05-20 16:00:00+00:00,3.244e-05
2025-05-21 00:00:00+00:00,8.089e-05
2025-05-21 08:00:00.001000+00:00,0.0001
2025-05-21 16:00:00.004000+00:00,6.244e-05
2025-05-22 00:00:00.001000+00:00,8.662e-05
2025-05-22 08:00:00+00:00,0.0001
2025-05-22 16:00:00.002000+00:00,0.0001
2025-05-23 00:00:00.006000+00:00,0.0001
2025-05-23 08:00:00+00:00,0.0001
2025-05-23 16:00:00.007000+00:00,0.0001
2025-05-24 00:00:00.010000+00:00,0.0001
2025-05-24 08:00:00+00:00,-5.367e-05
2025-05-24 16:00:00.003000+00:00,-7.4e-05
2025-05-25 00:00:00.004000+00:00,-6.709e-05
2025-05-25 08:00:00+00:00,-3.129e-05
2025-05-25 16:00:00+00:00,-9.897e-05
2025-05-26 00:00:00+00:00,-7.407e-05
2025-05-26 08:00:00+00:00,-1.411e-05
2025-05-26 16:00:00.002000+00:00,5.253e-05
2025-05-27 00:00:00.003000+00:00,-5.915e-05
2025-05-27 08:00:00.001000+00:00,4.806e-05
2025-05-27 16:00:00.005000+00:00,7.756e-05
2025-05-28 00:00:00.002000+00:00,3.645e-05
2025-05-28 08:00:00.003000+00:00,2.512e-05
2025-05-28 16:00:00.002000+00:00,-4.014e-05
2025-05-29 00:00:00+00:00,7.11e-06
2025-05-29 08:00:00.006000+00:00,0.0001
2025-05-29 16:00:00+00:00,-3.08e-05
