event_definition,dislocation_definition,entry_mode,exit_model,friction_case,symbol,total_trades,trades_year,avg_return_pct,median_return_pct,win_rate,cumulative_return_units,max_drawdown_units,sharpe_like,profit_factor,best_month_contribution,best_symbol_contribution,positive_month_rate,positive_symbol_rate
basket_return_le_1%,rel_btc_le_1%,next_close,fixed_horizon_6,base,ADAUSDT,78,12.30647948164147,0.7914141436810072,0.21368343218865163,0.5512820512820513,0.6173030320711856,-0.12708640562361878,1.5355783742665148,2.384931671981649,0.8097714212952322,1.0,0.5454545454545454,1.0
basket_return_le_1%,rel_btc_le_2%,next_close,fixed_horizon_6,base,ADAUSDT,17,2.682181425485961,3.104149757064709,0.9273689885198302,0.6470588235294118,0.5277054587010006,-0.11780877522278527,1.4172296713758652,4.735324416319178,0.7383738269985537,1.0,0.8571428571428571,1.0
basket_return_le_1%,symbol_zscore_le_-1,next_close,fixed_horizon_6,base,ADAUSDT,254,40.074946004319656,0.0008614127979858193,-0.057248051429767896,0.46062992125984253,0.002187988506883981,-0.47732071511213364,0.0046263546300287705,1.0012347040311456,65.74910925756518,1.0,0.5833333333333334,1.0
basket_return_le_1%,symbol_zscore_le_-2,next_close,fixed_horizon_6,base,ADAUSDT,212,33.44838012958964,-0.021095327816598602,-0.09015497490205462,0.4481132075471698,-0.044722094971189036,-0.4354774100841796,-0.09961486283739289,0.9699148665873984,,,0.4166666666666667,0.0
basket_return_le_1%,rel_btc_le_-1_atr_equiv,next_close,fixed_horizon_6,base,ADAUSDT,96,15.146436285097193,0.20599183388489284,-0.09015497490205462,0.46875,0.19775216052949712,-0.24359503832120738,0.5036457728927594,1.2795114375551753,0.8545364668162949,1.0,0.4166666666666667,1.0
basket_return_le_1%,bottom_1_performer,next_close,fixed_horizon_6,base,ADAUSDT,44,6.942116630669546,0.7546297821479988,-0.017870938880157828,0.4772727272727273,0.3320371041451195,-0.09782195311077047,0.9437663411609843,2.3448215757814848,1.1248759141597984,1.0,0.4,1.0
basket_return_le_1%,bottom_2_performer,next_close,fixed_horizon_6,base,ADAUSDT,100,15.777537796976242,0.357661452129608,0.036923292023662915,0.5,0.357661452129608,-0.17217529355895078,0.9311396159459571,1.5885008739120392,0.733325726668271,1.0,0.75,1.0
basket_return_le_1%,bottom_3_performer,next_close,fixed_horizon_6,base,ADAUSDT,151,23.824082073434127,0.33275814819758887,-0.011824730515916858,0.48344370860927155,0.5024648037783592,-0.23553693783710228,1.1910839435540896,1.5553082509709117,0.6953360854890235,1.0,0.75,1.0
basket_return_le_2%,rel_btc_le_1%,next_close,fixed_horizon_6,base,ADAUSDT,30,4.733261339092873,1.6604094936279685,0.4730194951241518,0.6,0.4981228480883906,-0.1014538691920562,1.3063239739747965,3.2649205046543757,0.8338048269761494,1.0,0.6666666666666666,1.0
basket_return_le_2%,rel_btc_le_2%,next_close,fixed_horizon_6,base,ADAUSDT,15,2.3666306695464363,3.6608809814969474,1.5596481606829382,0.7333333333333333,0.5491321472245421,-0.1014538691920562,1.4917484069742473,5.581918634338063,0.7095630824719469,1.0,0.8571428571428571,1.0
basket_return_le_2%,symbol_zscore_le_-1,next_close,fixed_horizon_6,base,ADAUSDT,35,5.522138228941685,1.4257469085287033,0.08973773044064445,0.5714285714285714,0.4990114179850462,-0.11891405995634535,1.2878587555974996,2.8779511020098307,0.7294758903136659,1.0,0.8,1.0
basket_return_le_2%,symbol_zscore_le_-2,next_close,fixed_horizon_6,base,ADAUSDT,33,5.20658747300216,1.2397392844476494,0.08973773044064445,0.5757575757575758,0.4091139638677243,-0.11891405995634535,1.091687738286518,2.6445595391452787,0.6285931929933924,1.0,0.8,1.0
basket_return_le_2%,rel_btc_le_-1_atr_equiv,next_close,fixed_horizon_6,base,ADAUSDT,29,4.5754859611231105,1.1977937286122498,0.08973773044064445,0.5862068965517241,0.3473601812975524,-0.11891405995634535,0.9362473257514866,2.5034858534321947,0.7403446528763317,1.0,0.7,1.0
basket_return_le_2%,bottom_1_performer,next_close,fixed_horizon_6,base,ADAUSDT,8,1.2622030237580995,4.639607967769804,0.8194350933414942,0.625,0.3711686374215843,-0.02116094965353954,1.1028206709569974,12.50685123431427,1.0427504191220291,1.0,0.75,1.0
