event_definition,dislocation_definition,exit_model,friction_case,total_trades_next_open,avg_return_pct_next_open,median_return_pct_next_open,cumulative_return_units_next_open,total_trades_next_close,avg_return_pct_next_close,median_return_pct_next_close,cumulative_return_units_next_close,avg_return_delta_close_minus_open_pct,cum_return_delta_close_minus_open
basket_return_le_1%,bottom_1_performer,fixed_horizon_12,base,259,0.17372573036823474,0.2783559761781263,0.44994964165372797,259,0.16170857408610875,0.13551865261753013,0.4188252068830217,-0.01201715628212599,-0.031124434770706255
basket_return_le_1%,bottom_1_performer,fixed_horizon_12,stress,259,-0.00647794362697297,0.09804772417383771,-0.016777873993859993,259,-0.018483088752388646,-0.04464683337483497,-0.0478711998686866,-0.012005145125415676,-0.031093325874826605
basket_return_le_1%,bottom_1_performer,fixed_horizon_6,base,259,0.08979535457240613,0.2057644536804926,0.23256996834253188,259,0.07627949249466628,-0.023917147244398796,0.19756388556118568,-0.013515862077739846,-0.035006082781346204
basket_return_le_1%,bottom_1_performer,fixed_horizon_6,stress,259,-0.09032443094929715,0.025528756957342726,-0.23394027615867963,259,-0.10382678391276237,-0.20392327703532925,-0.26891137033405454,-0.01350235296346522,-0.03497109417537492
basket_return_le_1%,bottom_1_performer,scaled_exit_6_12,base,259,0.13176054247032049,0.20175930363373842,0.34125980499813,259,0.11899403329038755,-0.05468097113968999,0.30819454622210374,-0.012766509179932939,-0.033065258776026285
basket_return_le_1%,bottom_1_performer,scaled_exit_6_12,stress,259,-0.04840118728813505,0.021527610061044124,-0.12535907507626978,259,-0.061154936332575495,-0.23465635246557964,-0.15839128510137054,-0.012753749044440446,-0.03303221002510076
basket_return_le_1%,bottom_2_performer,fixed_horizon_12,base,518,0.10414323761730859,0.13604570755356934,0.5394619708576585,518,0.07704155827799003,0.06796419025053799,0.39907527187998837,-0.027101679339318563,-0.1403866989776701
basket_return_le_1%,bottom_2_performer,fixed_horizon_12,stress,518,-0.07599088862425198,-0.044120305230594827,-0.39363280307362525,518,-0.1030654798147606,-0.1121337750060801,-0.5338791854404599,-0.027074591190508618,-0.14024638236683462
basket_return_le_1%,bottom_2_performer,fixed_horizon_6,base,518,0.04438480534409628,0.14633552973483352,0.2299132916824187,518,0.016548840582860203,-0.047985878626763886,0.08572299421921586,-0.027835964761236075,-0.14419029746320283
basket_return_le_1%,bottom_2_performer,fixed_horizon_6,stress,518,-0.1356895922996247,-0.03384076773430098,-0.702872088112056,518,-0.16349773499322212,-0.22796795170263545,-0.8469182672648905,-0.02780814269359741,-0.14404617915283446
basket_return_le_1%,bottom_2_performer,scaled_exit_6_12,base,518,0.07426402148070241,0.14771049394356148,0.38468763127003847,518,0.046795199430425115,-0.06837338154304422,0.2423991330496021,-0.027468822050277293,-0.14228849822043638
basket_return_le_1%,bottom_2_performer,scaled_exit_6_12,stress,518,-0.10584024046193834,-0.03246717780334794,-0.5482524455928406,518,-0.1332816074039913,-0.24833507729447407,-0.6903987263526751,-0.027441366942052972,-0.1421462807598345
basket_return_le_1%,bottom_3_performer,fixed_horizon_12,base,777,0.07817937171953263,0.10711908413611146,0.6074537182607685,777,0.08062154520827249,0.06762237972341109,0.6264294062682773,0.00244217348873986,0.018975688007508706
