timeframe,event_type,direction,param_name,param_value,horizon,symbols_with_event,total_occurrences,avg_forward_return,median_of_symbol_medians,weighted_win_rate,mean_std_forward_return,best_symbol_avg_return,worst_symbol_avg_return
1h,large_return_atr,up,return_atr_abs,2.0,1,9,712,0.0019194538642945608,0.0003692818064641168,0.5168539325842697,0.011609802012656413,0.0031860447248379204,0.0008647241090279803
1h,combo_volume_return,up,ret_atr_and_vol_z,1.5_2,1,9,864,0.001556662983396775,0.0005635390250775529,0.5289351851851852,0.010862412681497105,0.003645445967041602,-0.0008521299707727174
1h,combo_volume_return,up,ret_atr_and_vol_z,1.5_1.5,1,9,1016,0.0015100434045376705,0.00042829931359400497,0.5206692913385826,0.01095921950708429,0.003035330565799126,-0.00023763589789797874
1h,large_return_pct,up,return_pct_abs,0.02,1,9,830,0.001380202136795691,-0.0001275424989826135,0.4987951807228916,0.012961194762167925,0.0030319957086949994,0.0006663227379275605
15m,large_return_pct,up,return_pct_abs,0.02,1,9,373,0.0012530140299574788,9.584511429516773e-05,0.4906166219839142,0.009885829279490851,0.002987708634960081,-0.0014515939223965894
1h,combo_volume_return,up,ret_atr_and_vol_z,1_2,1,9,1314,0.0009563401201812694,0.0002249887505625381,0.5091324200913242,0.010614244323148388,0.0021585548625286514,-0.0003448412274278926
1h,large_return_atr,up,return_atr_abs,1.5,1,9,1631,0.0009150477176621879,-0.00015940276163317613,0.4843654199877376,0.010350596879111825,0.0017619381338576008,-0.00027474837661382764
1h,combo_volume_return,up,ret_atr_and_vol_z,1_1.5,1,9,1682,0.000859175224799828,-1.0672173698933474e-05,0.4958382877526754,0.010631161056851891,0.001680315469975492,6.196324676128841e-05
1h,large_return_atr,up,return_atr_abs,1.0,1,9,4344,0.00046005181071102815,-0.0003391900142458715,0.47674953959484345,0.0090354802307161,0.0009894081500546011,0.00011374539372551025
1h,large_return_pct,up,return_pct_abs,0.01,1,9,4553,0.00020528207955173368,-0.0004587378274978904,0.4739732044805623,0.010094224441890011,0.00034106902771606474,1.3392004911841107e-06
1h,funding_extreme,negative,funding_z_abs,2.5,1,9,1856,0.00016354288051470406,0.00035273368606691946,0.5091594827586207,0.008497907921362586,0.001030801158752662,-0.0005231327846895738
1h,funding_extreme,negative,funding_z_abs,1.5,1,9,6554,0.00010908395507124504,8.300132802130378e-05,0.5019835215135795,0.00746170988011308,0.0006998026196167929,-0.0003164784912802095
1h,large_return_pct,up,return_pct_abs,0.005,1,9,13155,9.683674914661318e-05,-0.00038893626987518415,0.47852527556062335,0.008500370395096275,0.0003993119320524962,-8.325452623468906e-05
1h,volatility_expansion,all,atr_jump,2.0,1,9,737,8.866812195111785e-05,5.100479445085959e-05,0.4830393487109905,0.0107486249199251,0.0014476302630646563,-0.0008417433903490182
1h,volume_spike,all,volume_z,3.0,1,9,2523,8.194691759863769e-05,0.000510255354833733,0.5204122076892588,0.011594438029895064,0.0005382288606640147,-0.00025920402525605904
15m,large_return_atr,up,return_atr_abs,2.0,1,9,2570,7.811172530039959e-05,-0.0006254467476769499,0.43073929961089497,0.005935431879408478,0.0006629592692627389,-0.0004877060859413665
15m,large_return_pct,down,return_pct_abs,0.01,1,9,3219,7.417673338748174e-05,0.0005437988894414492,0.5271823547685617,0.015058669444032205,0.0006070869517906182,-0.0004906950967411088
1h,funding_extreme,negative,funding_z_abs,2.0,1,9,3492,6.70350275957574e-05,4.1980024631405044e-05,0.5008591065292096,0.00783152560616198,0.0007844727711637363,-0.0004657266735562545
15m,funding_extreme,negative,funding_z_abs,2.5,1,9,7448,4.739933726039802e-05,0.0,0.5020139634801289,0.0045312360711426535,0.00034205259324443375,-0.0001142961395610544
1h,volatility_expansion,all,atr_jump,1.2,1,9,18211,4.455634647556345e-05,7.955318541918999e-05,0.5010707813958597,0.00822888237086569,0.00020037614052331322,-0.0001753134122432328
15m,funding_extreme,negative,funding_z_abs,1.5,1,9,26258,3.8694181222583204e-05,1.878024961632363e-05,0.49672480767766014,0.004009584897548333,0.00022120626648434918,-7.730366241149575e-05
15m,volume_spike,all,volume_z,2.5,1,9,15911,3.76292594042693e-05,3.8617751957570334e-05,0.4989001319841619,0.008085482916776056,0.00021552211930389944,-0.00011087674459336606
15m,volatility_expansion,all,atr_jump,2.0,1,9,5289,2.8237547214895485e-05,9.810879933902505e-06,0.499149177538287,0.010563355568892797,0.0004310319311114423,-0.0003490225757501318
15m,funding_extreme,negative,funding_z_abs,2.0,1,9,13980,2.1446698288281362e-05,0.0,0.49721030042918457,0.004199006092627244,0.00022202492022686148,-9.461147923030387e-05
15m,volume_spike,all,volume_z,2.0,1,9,21408,1.554479674523085e-05,2.6778809813832183e-05,0.49813153961136025,0.0074664937745000555,0.0001598279978693436,-8.817303687325473e-05
15m,volatility_expansion,all,atr_jump,1.2,1,9,75712,1.5125025785813816e-05,0.0,0.49606403212172445,0.005202966919936084,4.3534628972817975e-05,-6.132928808322164e-06
15m,volume_spike,all,volume_z,3.0,1,9,12055,1.37275282633472e-05,3.7167330780629726e-05,0.4977187888842804,0.00881829378445574,0.00024159200697296837,-0.00013660508743029156
15m,volatility_expansion,all,atr_jump,1.5,1,9,28796,1.076514180997355e-05,0.0,0.49374913182386443,0.006540077655285602,7.8495441789004e-05,-6.734445340531435e-05
15m,volume_spike,all,volume_z,1.5,1,9,29866,4.765206220828511e-06,0.0,0.4992968593048952,0.006855092281135898,0.00012671703193929806,-8.660050127040685e-05
15m,large_return_atr,down,return_atr_abs,1.0,1,9,18984,-8.032637047032791e-06,0.00035700119000403596,0.5447218710493047,0.00717893856025389,0.00021175218451829466,-0.0001934807012953505
15m,combo_volume_return,down,ret_atr_and_vol_z,1_1.5,1,9,7479,-1.2132835495805534e-05,0.0004985638181564944,0.5548870169808798,0.010355334444507563,0.00046956850218179123,-0.0001868432855250107
15m,large_return_pct,down,return_pct_abs,0.005,1,9,18767,-2.2339361931217466e-05,0.00039184952978055243,0.5321042255022114,0.00803045002242527,0.00013579547474497586,-0.00014445797517800396
15m,combo_volume_return,up,ret_atr_and_vol_z,1.5_1.5,1,9,3753,-2.3075128020083214e-05,-0.0005734602592040172,0.4316546762589928,0.005547232316069113,0.0003424040150659569,-0.000287744345789817
15m,funding_extreme,positive,funding_z_abs,2.0,1,6,2426,-2.528079794581652e-05,-0.00020758352277841507,0.501648804616653,0.004781231259004526,0.0001931595015471851,-0.0019101085645542564
15m,large_return_atr,up,return_atr_abs,1.5,1,9,6258,-2.7512687315908957e-05,-0.000487867223074423,0.43512304250559286,0.005127678959612605,8.364429121177017e-05,-0.00014564216864555452
15m,large_return_pct,up,return_pct_abs,0.01,1,9,3476,-2.756418785608208e-05,-0.0007928638524236087,0.4487917146144994,0.007418938840542984,0.00034555947536522716,-0.0004046483129739262
15m,funding_flip,up,flip,neg_to_pos,1,8,35889,-3.2551970689121856e-05,-6.0666632746120275e-05,0.4820139875727939,0.003633142776249612,3.7504397184612875e-05,-0.0001064733891591755
15m,funding_flip,down,flip,pos_to_neg,1,8,35774,-3.495037959938463e-05,0.0,0.49097109632694136,0.003898205973704937,3.0884911927040904e-05,-6.997699844323961e-05
15m,funding_extreme,positive,funding_z_abs,1.5,1,7,7413,-3.766005449905404e-05,0.0,0.4966949952785647,0.003294326301951732,3.972729610810289e-05,-0.00019131639551580497
15m,combo_volume_return,down,ret_atr_and_vol_z,1_2,1,9,6067,-4.0521480173611403e-05,0.0004900759617740835,0.5518378111092798,0.01115410471664894,0.0004663843373060327,-0.00032638761539748056
1h,volatility_expansion,all,atr_jump,1.5,1,9,5430,-4.8057213408773425e-05,-0.0001371742112482588,0.49079189686924496,0.008869225639769768,0.00045678485789350906,-0.0009307899568269646
15m,combo_volume_return,up,ret_atr_and_vol_z,1_2,1,9,5325,-5.6386615965130246e-05,-0.00041679953775713985,0.4384976525821596,0.005223216123048429,0.0002783722049268299,-0.00043598417164718815
1h,funding_extreme,positive,funding_z_abs,2.0,1,6,602,-6.355181708779168e-05,-0.0010798887459256834,0.49169435215946844,0.009682975315445765,0.0008378279411547705,-0.00856692352070944
1h,volume_spike,all,volume_z,2.5,1,9,3482,-6.93891506962138e-05,0.0002644802962177284,0.5077541642734061,0.011281817909646483,0.0003455195395397984,-0.000397003437324735
15m,combo_volume_return,up,ret_atr_and_vol_z,1.5_2,1,9,3221,-7.193663222000471e-05,-0.0005835667600374572,0.4268860602297423,0.005542653815148801,0.0003159728634834812,-0.00036605600591885337
15m,combo_volume_return,up,ret_atr_and_vol_z,1_1.5,1,9,6709,-8.26258244986171e-05,-0.00040879935997928385,0.43747205246683557,0.005167470750660987,0.00021204879564899423,-0.0003244466158551237
15m,large_return_pct,up,return_pct_abs,0.005,1,9,18466,-8.280654346288195e-05,-0.0005492493592090808,0.44871656016462685,0.005360144617288877,0.00010888170750483108,-0.0002169837908591597
1h,funding_flip,down,flip,pos_to_neg,1,8,8918,-9.116074329514162e-05,0.0,0.48990805113254093,0.007272841950375994,0.0001189234933164506,-0.0002877748130410361
15m,funding_extreme,positive,funding_z_abs,2.5,1,4,1177,-9.18560191924956e-05,-0.00040207224935839836,0.49787595581988103,0.006845368275579396,0.0004042847852955345,-0.0019101085645542564
1h,large_return_pct,down,return_pct_abs,0.005,1,9,13052,-9.57363897564296e-05,0.00037989110397695924,0.5199969353355808,0.009264361967146147,5.764630948327354e-05,-0.00029044947749022924
1h,funding_flip,up,flip,neg_to_pos,1,8,8985,-9.845892514516234e-05,-5.6463160489628184e-05,0.4899276572064552,0.007178358829026226,0.00019249054156827977,-0.00034265676131545945
15m,large_return_atr,up,return_atr_abs,1.0,1,9,18683,-0.00010020960527379024,-0.0004319032536711509,0.43895519991436066,0.004255112703767348,3.7372953031569495e-05,-0.0002274618398371812
1h,volume_spike,all,volume_z,2.0,1,9,4842,-0.0001128015259048083,0.00011230593724287363,0.49876084262701365,0.01094105445839036,0.0003293481730787605,-0.0003376305469302367
1h,volume_spike,all,volume_z,1.5,1,9,7057,-0.0001422216445979865,0.0,0.49666997307637806,0.010983840676882219,5.169156107627743e-05,-0.0002949697926861447
