symbol,timeframe,event_type,event_threshold,entry_mode,exit_model,friction_case,signal_time,entry_time,exit_time,event_return,raw_entry,entry,raw_exit,exit,atr_at_signal,risk,stop,target,gross_return,fee_return,net_return,gross_r,fee_r,net_r,exit_reason,hold_bars,stop_atr_mult,target_r,taker_fee_bps_per_side,slippage_bps_per_side
ADAUSDT,15m,extreme_down_pct,-0.02,next_close,fixed_horizon_12,base,2025-05-09 08:30:00+00:00,2025-05-09 08:45:00+00:00,2025-05-09 11:45:00+00:00,-0.032262051915945666,0.7897,0.7900948499999999,0.7937,0.79330315,0.007307142857142861,0.007307142857142861,,,0.004060651705298568,0.0008016242606821195,0.0032590274446164485,0.4390635386119327,0.08667672336265879,0.3523868152492739,horizon,12,,,4.0,5.0
AVAXUSDT,15m,extreme_down_pct,-0.02,next_close,fixed_horizon_12,base,2025-05-09 08:30:00+00:00,2025-05-09 08:45:00+00:00,2025-05-09 11:45:00+00:00,-0.024624445203140888,23.182,23.193590999999998,23.531,23.5192345,0.1956428571428572,0.1956428571428572,,,0.014040236373919157,0.0008056160945495675,0.013234620279369589,1.6644793720335973,0.09550632449799193,1.5689730475356054,horizon,12,,,4.0,5.0
LINKUSDT,15m,extreme_down_pct,-0.02,next_close,fixed_horizon_12,base,2025-05-09 08:30:00+00:00,2025-05-09 08:45:00+00:00,2025-05-09 11:45:00+00:00,-0.023553693923389685,16.235,16.243117499999997,16.217,16.2088915,0.14428571428571388,0.14428571428571388,,,-0.002107107825822019,0.0007991571568696713,-0.00290626498269169,-0.23720990099007722,0.08996596554455472,-0.32717586653463193,horizon,12,,,4.0,5.0
LTCUSDT,15m,extreme_down_pct,-0.02,next_close,fixed_horizon_12,base,2025-05-09 08:30:00+00:00,2025-05-09 08:45:00+00:00,2025-05-09 11:45:00+00:00,-0.03050476947535774,98.19,98.23909499999999,98.71,98.660645,0.8257142857142858,0.8257142857142858,,,0.004291061516802586,0.0008017164246067212,0.0034893450921958643,0.5105276816609123,0.0953839570934256,0.4151437245674867,horizon,12,,,4.0,5.0
XRPUSDT,15m,extreme_down_pct,-0.02,next_close,fixed_horizon_12,base,2025-05-09 08:30:00+00:00,2025-05-09 08:45:00+00:00,2025-05-09 11:45:00+00:00,-0.025920079754091496,2.3677,2.36888385,2.3942,2.3930029000000004,0.01929285714285716,0.01929285714285716,,,0.010181609368479672,0.000804072643747392,0.00937753672473228,1.250154387263994,0.09872849241021836,1.1514258948537757,horizon,12,,,4.0,5.0
ETHUSDT,15m,extreme_down_pct,-0.02,next_close,fixed_horizon_12,base,2025-05-09 09:00:00+00:00,2025-05-09 09:15:00+00:00,2025-05-09 12:15:00+00:00,-0.023412716513719678,2310.77,2311.925385,2340.06,2338.88997,41.53214285714278,41.53214285714278,,,0.01166325919294331,0.0008046653036771775,0.010858593889266133,0.6492461776593054,0.04479244300971718,0.6044537346495882,horizon,12,,,4.0,5.0
AVAXUSDT,15m,extreme_down_pct,-0.02,next_close,fixed_horizon_12,base,2025-05-09 14:15:00+00:00,2025-05-09 14:30:00+00:00,2025-05-09 17:30:00+00:00,-0.022205206738131644,23.161,23.1725805,23.338,23.326331000000003,0.281285714285714,0.281285714285714,,,0.0066350184866119655,0.0008026540073946449,0.005832364479217321,0.546599035043186,0.06612338862366693,0.480475646419519,horizon,12,,,4.0,5.0
ADAUSDT,15m,extreme_down_pct,-0.02,next_close,fixed_horizon_12,base,2025-05-11 00:15:00+00:00,2025-05-11 00:30:00+00:00,2025-05-11 03:30:00+00:00,-0.0340354635249317,0.8237,0.82411185,0.8216,0.8211892000000001,0.0064357142857142825,0.0064357142857142825,,,-0.0035464239471861836,0.0007985814304211255,-0.004345005377607309,-0.45412985571585834,0.10226066459489462,-0.556390520310753,horizon,12,,,4.0,5.0
AVAXUSDT,15m,extreme_down_pct,-0.02,next_close,fixed_horizon_12,base,2025-05-11 00:15:00+00:00,2025-05-11 00:30:00+00:00,2025-05-11 03:30:00+00:00,-0.03405836365043746,25.432,25.444715999999996,25.506,25.493247,0.23207142857142898,0.23207142857142898,,,0.0019073115219681025,0.0008007629246087872,0.0011065485973593154,0.20912096029549282,0.08779704302862404,0.12132391726686878,horizon,12,,,4.0,5.0
ETHUSDT,15m,extreme_down_pct,-0.02,next_close,fixed_horizon_12,base,2025-05-11 00:15:00+00:00,2025-05-11 00:30:00+00:00,2025-05-11 03:30:00+00:00,-0.02629385701382725,2535.49,2536.7577449999994,2549.95,2548.675025,26.162142857142822,26.162142857142822,,,0.004697839209711674,0.0008018791356838847,0.003895960074027789,0.4555162038933253,0.07775254187348142,0.3777636620198439,horizon,12,,,4.0,5.0
