entry_mode,model,allow_stacking,friction_case,event_threshold,horizon_bars,taker_fee_bps_per_side,slippage_bps_per_side,symbol,total_trades,trades_per_year,average_return_pct,median_return_pct,cumulative_return_units,win_rate,return_volatility_pct,sharpe_like,annualized_trade_sharpe_like,max_drawdown_units,max_drawdown_pct,worst_drawdown_start,worst_drawdown_end,max_losing_streak,average_win_pct,average_loss_pct,positive_month_rate,positive_symbol_rate,best_month,worst_month,best_symbol,worst_symbol,best_month_contribution,best_symbol_contribution,average_concurrent_positions,max_concurrent_positions
next_close,pure_horizon_12_single_position,False,base,-0.02,12,4.0,5.0,ADAUSDT,51,52.41409226801102,-0.012269398394381025,-0.17995002498749404,-0.006257393181134323,0.49019607843137253,2.1645784761564157,-0.040479488944349565,-0.041036845317912136,-0.19553006806570658,-19.553006806570657,2025-11-05T04:30:00+00:00,2026-02-05T23:30:00+00:00,8,1.5304907992433892,-1.4956926653537757,0.5833333333333334,0.0,2025-11,2025-12,ADAUSDT,ADAUSDT,,,0.5,1
next_close,pure_horizon_12_single_position,False,base,-0.02,12,4.0,5.0,AVAXUSDT,38,39.05363737616507,0.0964164413382963,0.21947974704741527,0.0366382477085526,0.5789473684210527,2.5108397156782853,0.23671397954674736,0.2399732609421504,-0.157880488391798,-15.7880488391798,2025-06-05T23:45:00+00:00,2025-10-11T00:00:00+00:00,3,1.5049204075762097,-1.8402765122388351,0.5833333333333334,1.0,2026-01,2025-10,AVAXUSDT,AVAXUSDT,1.5552170588118783,1.0,0.5,1
next_close,pure_horizon_12_single_position,False,base,-0.02,12,4.0,5.0,LINKUSDT,45,48.66995681677977,0.11349178228252739,-0.17995002498749404,0.051071302027137326,0.4444444444444444,2.3112774777620153,0.3293962008192959,0.34256485842628187,-0.0946172050090123,-9.46172050090123,2025-06-05T23:45:00+00:00,2025-10-11T00:00:00+00:00,3,2.0819788106794794,-1.461297840435035,0.5,1.0,2026-02,2025-12,LINKUSDT,LINKUSDT,1.118960410137224,0.9999999999999999,0.5,1
next_close,pure_horizon_12_single_position,False,base,-0.02,12,4.0,5.0,LTCUSDT,40,49.541167743986435,-0.44872966311800083,-0.43345061176355054,-0.17949186524720034,0.4,3.1236075080129173,-0.9085698414367295,-1.0111403487891883,-0.26348762054588226,-26.348762054588228,2025-05-30T04:00:00+00:00,2026-02-05T23:30:00+00:00,5,1.8061220036617305,-1.951964107637822,0.3,0.0,2025-05,2025-10,LTCUSDT,LTCUSDT,,,0.5,1
next_close,pure_horizon_12_single_position,False,base,-0.02,12,4.0,5.0,XRPUSDT,32,42.66828915845914,0.18538091380721475,0.17533488020007543,0.05932189241830872,0.59375,3.691008389858567,0.28411553138878315,0.3280745947497745,-0.1544917198524688,-15.44917198524688,2025-07-11T18:45:00+00:00,2025-10-10T22:30:00+00:00,2,1.8366772416903459,-2.228052180791208,0.6,1.0,2026-02,2025-10,XRPUSDT,XRPUSDT,1.10520399283856,0.9999999999999997,0.5,1
next_close,pure_horizon_12_single_position,False,base,-0.02,12,4.0,5.0,ETHUSDT,36,38.93836757357024,0.35593331489144037,0.2422155701245399,0.12813599336091852,0.5833333333333334,2.415861092034878,0.883991176640801,0.9193598852037568,-0.08559284846667925,-8.559284846667925,2025-12-07T17:30:00+00:00,2026-01-31T17:30:00+00:00,4,1.785022229629609,-1.6447911657419965,0.7,1.0,2026-02,2025-12,ETHUSDT,ETHUSDT,0.4658310537679362,0.9999999999999998,0.5,1
next_close,pure_horizon_12_single_position,False,base,-0.02,12,4.0,5.0,SOLUSDT,40,43.47540373825982,0.23334629602932624,0.1074769938945753,0.0933385184117305,0.575,2.386972709629197,0.6182775161524201,0.6445776900864405,-0.1338016032586468,-13.38016032586468,2025-11-05T04:30:00+00:00,2026-01-31T17:30:00+00:00,5,1.678737324560103,-1.7221827425711373,0.6666666666666666,1.0,2026-02,2026-01,SOLUSDT,SOLUSDT,0.6284896179698027,1.0000000000000002,0.5,1
next_close,pure_horizon_12_single_position,False,base,-0.02,12,4.0,5.0,BNBUSDT,17,45.93419126146259,0.5130864088671862,-0.016603438299931318,0.08722468950742164,0.4117647058823529,2.7040381115650893,0.7823519386728641,1.2860141276111077,-0.06438953674441496,-6.438953674441496,2025-10-11T04:30:00+00:00,2025-10-14T22:45:00+00:00,4,3.0631332546672096,-1.27194638319283,0.8,1.0,2025-11,2025-12,BNBUSDT,BNBUSDT,0.6648298714040997,1.0,0.5,1
next_close,pure_horizon_12_single_position,False,base,-0.02,12,4.0,5.0,BTCUSDT,4,12.367163389471829,0.9925111162851271,0.18460974232326294,0.039700444651405084,0.5,2.9854320848155895,0.6649028268525724,1.1691311529243815,-0.016666923209083674,-1.6666923209083675,2026-01-30T04:45:00+00:00,2026-02-05T18:15:00+00:00,1,2.8297241073497315,-0.8447018747794777,0.6666666666666666,1.0,2026-02,2025-10,BTCUSDT,BTCUSDT,0.9069986525620793,1.0,0.5,1
next_open,pure_horizon_12_single_position,False,base,-0.02,12,4.0,5.0,ADAUSDT,51,52.41409226801102,-0.06643780901213235,-0.17995002498750515,-0.033883282596187496,0.45098039215686275,2.826473371973295,-0.167863197549991,-0.17017448223961995,-0.2125699593615215,-21.25699593615215,2025-05-30T04:00:00+00:00,2026-02-05T23:30:00+00:00,7,2.185109027016332,-1.915922710035514,0.5,0.0,2025-05,2025-12,ADAUSDT,ADAUSDT,,,0.5,1
next_open,pure_horizon_12_single_position,False,base,-0.02,12,4.0,5.0,AVAXUSDT,38,39.05363737616507,-0.18000097619520958,0.18973889319155118,-0.06840037095417964,0.5,3.681473881428025,-0.3014011708200486,-0.3055511210278371,-0.25184175565255074,-25.184175565255075,2025-06-05T23:45:00+00:00,2025-10-11T00:00:00+00:00,4,2.2180188507336585,-2.5780208031240783,0.4166666666666667,0.0,2025-05,2025-10,AVAXUSDT,AVAXUSDT,,,0.5,1
next_open,pure_horizon_12_single_position,False,base,-0.02,12,4.0,5.0,LINKUSDT,45,48.66995681677977,-0.01312839723158946,0.007289428304204716,-0.005907778754215257,0.5111111111111111,3.0712761612632193,-0.028674714129301806,-0.029821076750994983,-0.18131459541268347,-18.131459541268345,2025-06-05T23:45:00+00:00,2025-10-11T00:00:00+00:00,3,2.0900791976550024,-2.2119363373403,0.5,0.0,2026-02,2025-12,LINKUSDT,LINKUSDT,,,0.5,1
next_open,pure_horizon_12_single_position,False,base,-0.02,12,4.0,5.0,LTCUSDT,40,49.541167743986435,-0.5513236163100599,-0.09206393514702751,-0.22052944652402395,0.5,3.949301230138538,-0.8829097877243398,-0.9825834734919998,-0.33187735691742026,-33.18773569174203,2025-05-30T04:00:00+00:00,2026-02-05T18:15:00+00:00,4,1.7976393311746164,-2.9002865637947366,0.2,0.0,2025-05,2025-10,LTCUSDT,LTCUSDT,,,0.5,1
next_open,pure_horizon_12_single_position,False,base,-0.02,12,4.0,5.0,XRPUSDT,32,42.66828915845914,0.44541127373411693,0.7992899495106311,0.14253160759491743,0.625,4.00949826562607,0.6284144523008596,0.7256443030965024,-0.1573696136311154,-15.73696136311154,2025-05-30T04:00:00+00:00,2025-10-10T22:30:00+00:00,3,2.513274477126263,-3.001027398586127,0.5,1.0,2025-11,2025-10,XRPUSDT,XRPUSDT,0.6251595834288296,0.9999999999999998,0.5,1
next_open,pure_horizon_12_single_position,False,base,-0.02,12,4.0,5.0,ETHUSDT,36,38.93836757357024,-0.07514701242027834,-0.2966365694111716,-0.0270529244713002,0.4166666666666667,2.7708302506865676,-0.16272453875871631,-0.16923518834378232,-0.12458346684749591,-12.458346684749591,2025-12-07T17:30:00+00:00,2026-02-05T23:30:00+00:00,4,2.354694791767996,-1.8107483011261887,0.4,0.0,2026-02,2025-12,ETHUSDT,ETHUSDT,,,0.5,1
next_open,pure_horizon_12_single_position,False,base,-0.02,12,4.0,5.0,SOLUSDT,40,43.47540373825982,0.004702068059357183,0.17461986983431604,0.001880827223742873,0.55,2.70192724112187,0.01100639910238488,0.011474587259349345,-0.13941483339900346,-13.941483339900346,2025-11-05T04:30:00+00:00,2026-01-31T17:30:00+00:00,2,1.924965537789054,-2.342286617165829,0.5833333333333334,1.0,2025-05,2026-01,SOLUSDT,SOLUSDT,36.401978403207025,0.9999999999999963,0.5,1
