feature,bucket,trade_count,avg_return_pct,median_return_pct,win_rate,cumulative_return_units,contribution_to_total_return,best_month,worst_month
atr_regime_bucket,high_atr_rel,122,1.938627826485492,0.824866057935055,0.639344262295082,2.3651259483123,1.0699956123595031,2025-10,2025-12
atr_regime_bucket,mid_atr_rel,122,0.023304068925835073,-0.21244985712506997,0.45901639344262296,0.028430964089518788,0.012862320018366648,2025-07,2026-02
atr_regime_bucket,low_atr_rel,123,-0.14890224867847107,0.02556334669531,0.5203252032520326,-0.18314976587451942,-0.08285793237786993,2025-11,2026-01
btc_24h_bucket,negative,297,0.7705733831980389,0.18444090162831,0.5454545454545454,2.2886029480981755,1.035376198314291,2025-10,2025-12
btc_24h_bucket,positive,50,0.12421022042841359,0.32750796184012004,0.6,0.062105110214206796,0.02809668359595116,2025-05,2025-06
btc_24h_bucket,flat,20,-0.7015045589254105,-1.23244646751812,0.3,-0.1403009117850821,-0.06347288191024193,2025-11,2025-12
btc_vol_bucket,high_btc_vol,118,2.0475047816895393,0.36381885391382995,0.576271186440678,2.4160556423936566,1.0930364780033601,2025-10,2025-12
btc_vol_bucket,mid_btc_vol,126,-0.067872168560501,0.06312792637230501,0.5238095238095238,-0.08551893238623126,-0.03868922181173153,2025-05,2026-02
btc_vol_bucket,low_btc_vol,123,-0.0976663117724595,0.11073115219681,0.5203252032520326,-0.1201295634801252,-0.054347256191628286,2025-05,2025-10
distance_ema200_bucket,below_ema200_far,123,1.2184653031981523,0.26606297373328996,0.6016260162601627,1.4987123229337271,0.6780254602815171,2025-10,2026-01
distance_ema200_bucket,near_ema200,122,0.46586707378913894,-0.16366241595921002,0.45901639344262296,0.5683578300227495,0.25712811819111175,2025-10,2025-12
distance_ema200_bucket,above_ema200_far,122,0.11748933899247795,0.185908455632875,0.5573770491803278,0.1433369935708231,0.06484642152737123,2025-05,2025-12
distance_ema50_bucket,below_ema50_far,123,0.926042662845419,0.13992080303394,0.5528455284552846,1.1390324752998653,0.5153043759785897,2025-10,2026-01
distance_ema50_bucket,above_ema50_far,122,0.7266789254425555,0.49155130943227004,0.6147540983606558,0.8865482890399178,0.40107918146787824,2025-10,2025-12
distance_ema50_bucket,near_ema50,122,0.15149703457993183,-0.21244985712506997,0.45081967213114754,0.18482638218751682,0.08361644255353212,2025-07,2025-10
ema200_slope_bucket,negative,251,0.9597052916780825,0.25451859246651,0.5657370517928287,2.408860282111987,1.0897812585778464,2025-10,2025-12
ema200_slope_bucket,flat,11,-0.008597928933716368,-0.10783360838334,0.36363636363636365,-0.0009457721827088005,-0.0004278723873086789,2025-10,2025-12
ema200_slope_bucket,positive,105,-0.1881022508590266,-0.02553136362966,0.49523809523809526,-0.19750736340197794,-0.08935338619053755,2025-05,2025-12
ema50_slope_bucket,negative,258,0.9588381597966128,0.295733359897965,0.5697674418604651,2.473802452275261,1.1191614432489387,2025-10,2026-01
ema50_slope_bucket,flat,16,-0.45030912983315063,-0.24899812738931998,0.375,-0.0720494607733041,-0.03259556090673101,2025-05,2025-12
ema50_slope_bucket,positive,93,-0.20574822040285648,-0.15675790659513,0.4838709677419355,-0.1913458449746565,-0.08656588234220736,2025-05,2025-12
event_drop_bucket,<= -4%,39,5.745159246316456,3.20523377679792,0.8461538461538461,2.240612106063418,1.013664885034222,2025-10,2025-05
event_drop_bucket,-2% to -2.5%,166,0.10221272583506179,-0.06527251851696,0.4819277108433735,0.16967312488620256,0.07676102800914782,2025-11,2026-02
event_drop_bucket,-3% to -4%,71,0.13776489112929702,0.25451859246651,0.5915492957746479,0.09781307270180088,0.04425115655976406,2025-10,2026-02
event_drop_bucket,-2.5% to -3%,91,-0.3271331396968368,-0.17995002498749,0.4725274725274725,-0.2976911571241215,-0.13467706960313378,2025-10,2026-02
funding_change_bucket,flat,168,1.090368476694347,0.354041571229,0.5595238095238095,1.8318190408465032,0.828724718757997,2025-10,2026-02
funding_change_bucket,negative,119,0.39527477317559695,0.11502189851665,0.5546218487394958,0.47037698007896034,0.2128010583108884,2025-10,2025-11
funding_change_bucket,positive,80,-0.11473609299770446,-0.204952104950415,0.475,-0.09178887439816358,-0.04152577706888532,2025-10,2025-12
funding_level_bucket,positive,162,0.9020026302770326,0.32332294995586,0.5432098765432098,1.4612442610487928,0.6610747089487596,2025-10,2026-02
funding_level_bucket,negative,65,0.765637531627541,0.31266276824149997,0.6615384615384615,0.4976643955579016,0.22514603082955387,2026-02,2026-01
funding_level_bucket,flat,140,0.179641778514718,-0.08000067321500999,0.4785714285714286,0.2514984899206052,0.11377926022168652,2025-10,2025-12
prior_24h_bucket,negative,247,0.9282770052236685,0.22420402334447,0.5587044534412956,2.292844202902461,1.0372949646424532,2025-10,2026-01
prior_24h_bucket,flat,28,0.35564268595592996,0.364758612690975,0.5714285714285714,0.09957995206766039,0.045050502222682046,2026-01,2025-12
prior_24h_bucket,positive,92,-0.1978445743943711,-0.126875846640385,0.4782608695652174,-0.18201700844282143,-0.08234546686513503,2025-05,2025-12
prior_6h_bucket,negative,255,0.687726516075005,0.08973773044064,0.5137254901960784,1.7537026159912628,0.793384430893851,2025-10,2026-01
