feature,bucket_count,best_bucket,best_bucket_trade_count,best_bucket_avg_return_pct,best_bucket_cumulative_return_units,worst_bucket,worst_bucket_trade_count,worst_bucket_avg_return_pct,worst_bucket_cumulative_return_units,avg_return_spread_pct,positive_bucket_count,negative_bucket_count
event_drop_bucket,4,<= -4%,39,5.745159246316456,2.240612106063418,-2.5% to -3%,91,-0.3271331396968368,-0.2976911571241215,6.072292386013293,3,1
signal_month,12,2025-10,83,2.2766841378572176,1.8896478344214906,2025-12,19,-1.4575830119471171,-0.2769407722699523,3.7342671498043347,6,6
realized_vol_bucket,3,high_realized_vol,122,2.0576442818865286,2.510326023901565,low_realized_vol,123,-0.14992533726012638,-0.18440816482995548,2.207569619146655,1,2
simultaneous_drop_bucket,4,5+ symbols,249,0.9603780200320078,2.391341269879699,2 symbols,22,-1.220831532965877,-0.26858293725249294,2.1812095529978848,2,2
btc_vol_bucket,3,high_btc_vol,118,2.0475047816895393,2.4160556423936566,low_btc_vol,123,-0.0976663117724595,-0.1201295634801252,2.145171093461999,1,2
atr_regime_bucket,3,high_atr_rel,122,1.938627826485492,2.3651259483123,low_atr_rel,123,-0.14890224867847107,-0.18314976587451942,2.087530075163963,2,1
btc_24h_bucket,3,negative,297,0.7705733831980389,2.2886029480981755,flat,20,-0.7015045589254105,-0.1403009117850821,1.4720779421234496,2,1
ema50_slope_bucket,3,negative,258,0.9588381597966128,2.473802452275261,flat,16,-0.45030912983315063,-0.0720494607733041,1.4091472896297634,1,2
funding_change_bucket,3,flat,168,1.090368476694347,1.8318190408465032,positive,80,-0.11473609299770446,-0.09178887439816358,1.2051045696920515,2,1
prior_6h_bucket,3,flat,30,1.2737324631918991,0.38211973895756973,positive,82,0.09095706290057007,0.07458479157846745,1.182775400291329,3,0
symbol,9,LINKUSDT,55,1.1627629028865496,0.6395195965876023,LTCUSDT,50,0.00047803142414704763,0.00023901571207352382,1.1622848714624026,9,0
ema200_slope_bucket,3,negative,251,0.9597052916780825,2.408860282111987,positive,105,-0.1881022508590266,-0.19750736340197794,1.147807542537109,1,2
prior_24h_bucket,3,negative,247,0.9282770052236685,2.292844202902461,positive,92,-0.1978445743943711,-0.18201700844282143,1.1261215796180397,2,1
distance_ema200_bucket,3,below_ema200_far,123,1.2184653031981523,1.4987123229337271,above_ema200_far,122,0.11748933899247795,0.1433369935708231,1.1009759642056742,3,0
distance_ema50_bucket,3,below_ema50_far,123,0.926042662845419,1.1390324752998653,near_ema50,122,0.15149703457993183,0.18482638218751682,0.7745456282654872,3,0
funding_level_bucket,3,positive,162,0.9020026302770326,1.4612442610487928,flat,140,0.179641778514718,0.2514984899206052,0.7223608517623147,3,0
