timeframe,param_id,exit_model,friction_case,entry_mode,funding_z_min,reaction_atr_min,body_min,close_loc_long_min,close_loc_short_max,funding_z_lookback,stop_atr_mult,target_r,max_hold_bars,taker_fee_bps_per_side,slippage_bps_per_side,month,total_trades,trades_per_year,win_rate,ev_per_trade_r,total_ev_r,max_drawdown_r,max_losing_streak,profit_factor,average_win_r,average_loss_r
15m,fz1.5_react0.25_body0.25_cl0.6_cs0.4,model_a,base,next_close,1.5,0.25,0.25,0.6,0.4,90,1.0,1.5,8,4.0,5.0,2025-06,326,4473.919373776908,0.3773006134969325,-0.5174668342530616,-168.69418796649808,,,0.4032876731943091,0.9269257494032802,-1.3926406657295642
15m,fz1.5_react0.25_body0.25_cl0.6_cs0.4,model_a,base,next_close,1.5,0.25,0.25,0.6,0.4,90,1.0,1.5,8,4.0,5.0,2025-07,296,3532.6562287270253,0.3344594594594595,-0.5711034838329828,-169.04663121456292,,,0.36054736695481365,0.9627760411013384,-1.3419363415410934
15m,fz1.5_react0.25_body0.25_cl0.6_cs0.4,model_a,base,next_close,1.5,0.25,0.25,0.6,0.4,90,1.0,1.5,8,4.0,5.0,2025-08,515,6073.985872855701,0.34951456310679613,-0.4595375980290604,-236.66186298496612,,,0.4398415737568078,1.0323837902792539,-1.2611670007021847
15m,fz1.5_react0.25_body0.25_cl0.6_cs0.4,model_a,base,next_close,1.5,0.25,0.25,0.6,0.4,90,1.0,1.5,8,4.0,5.0,2025-09,418,5112.226020230206,0.284688995215311,-0.7079877878528199,-295.93889532247874,,,0.2822955341502863,0.9781679887444853,-1.3790665083045903
15m,fz1.5_react0.25_body0.25_cl0.6_cs0.4,model_a,base,next_close,1.5,0.25,0.25,0.6,0.4,90,1.0,1.5,8,4.0,5.0,2025-10,459,5651.115168539326,0.3572984749455338,-0.37234002108730113,-170.90406967907123,,,0.49353684934218073,1.0155008433945016,-1.1438854508331169
15m,fz1.5_react0.25_body0.25_cl0.6_cs0.4,model_a,base,next_close,1.5,0.25,0.25,0.6,0.4,90,1.0,1.5,8,4.0,5.0,2025-11,280,3709.074423876086,0.39285714285714285,-0.30120261782429364,-84.33673299080222,,,0.5797016462164147,1.057477006537386,-1.180348257117145
15m,fz1.5_react0.25_body0.25_cl0.6_cs0.4,model_a,base,next_close,1.5,0.25,0.25,0.6,0.4,90,1.0,1.5,8,4.0,5.0,2025-12,371,4393.36170212766,0.33153638814016173,-0.5323381966289997,-197.4974709493589,,,0.38214522990352673,0.9931125409377848,-1.2889125543738162
15m,fz1.5_react0.25_body0.25_cl0.6_cs0.4,model_a,base,next_close,1.5,0.25,0.25,0.6,0.4,90,1.0,1.5,8,4.0,5.0,2026-01,408,4802.320241691843,0.28921568627450983,-0.6592530796304557,-268.9752564892259,,,0.29455972414203296,0.9517950375290496,-1.3147830031643233
15m,fz1.5_react0.25_body0.25_cl0.6_cs0.4,model_a,base,next_close,1.5,0.25,0.25,0.6,0.4,90,1.0,1.5,8,4.0,5.0,2026-02,428,5591.427719821162,0.4322429906542056,-0.16683780281343125,-71.40657960414858,,,0.7443846679157455,1.1240277209619087,-1.1495955060991838
15m,fz1.5_react0.25_body0.25_cl0.6_cs0.4,model_a,base,next_close,1.5,0.25,0.25,0.6,0.4,90,1.0,1.5,8,4.0,5.0,2026-03,387,4756.315457413249,0.2842377260981912,-0.6391030623513696,-247.33288512998004,,,0.29524741326612913,0.9419733176884615,-1.2669673287931797
15m,fz1.5_react0.25_body0.25_cl0.6_cs0.4,model_a,base,next_close,1.5,0.25,0.25,0.6,0.4,90,1.0,1.5,8,4.0,5.0,2026-04,355,4325.128561501042,0.3154929577464789,-0.6600226692540334,-234.30804758518187,,,0.2955701745800186,0.8777928823621639,-1.368810083990717
15m,fz1.5_react0.25_body0.25_cl0.6_cs0.4,model_a,base,next_close,1.5,0.25,0.25,0.6,0.4,90,1.0,1.5,8,4.0,5.0,2026-05,22,4261.922651933702,0.3181818181818182,-0.770617214755625,-16.95357872462375,,,0.2670245954706518,0.8823181461572774,-1.5419870498483126
15m,fz1.5_react0.25_body0.25_cl0.7_cs0.3,model_a,base,next_close,1.5,0.25,0.25,0.7,0.3,90,1.0,1.5,8,4.0,5.0,2025-06,315,4322.958904109589,0.37777777777777777,-0.5113107713421905,-161.06289297279,,,0.4038830969828286,0.9170072628994976,-1.3785038635603581
15m,fz1.5_react0.25_body0.25_cl0.7_cs0.3,model_a,base,next_close,1.5,0.25,0.25,0.7,0.3,90,1.0,1.5,8,4.0,5.0,2025-07,271,3234.289993192648,0.35793357933579334,-0.5197312871004475,-140.84717880422127,,,0.39778471103708174,0.959119515703289,-1.3441481139508062
15m,fz1.5_react0.25_body0.25_cl0.7_cs0.3,model_a,base,next_close,1.5,0.25,0.25,0.7,0.3,90,1.0,1.5,8,4.0,5.0,2025-08,485,5722.086137281292,0.34845360824742266,-0.4607651755765035,-223.4711101546042,,,0.4409096946444557,1.0428032315633422,-1.2648887857240791
15m,fz1.5_react0.25_body0.25_cl0.7_cs0.3,model_a,base,next_close,1.5,0.25,0.25,0.7,0.3,90,1.0,1.5,8,4.0,5.0,2025-09,389,4757.550052319498,0.2853470437017995,-0.6983758745249369,-271.66821519020044,,,0.285761153074881,0.9792093978661361,-1.368203087601948
15m,fz1.5_react0.25_body0.25_cl0.7_cs0.3,model_a,base,next_close,1.5,0.25,0.25,0.7,0.3,90,1.0,1.5,8,4.0,5.0,2025-10,428,5269.449438202247,0.34345794392523366,-0.39782477202298067,-170.26900242583574,,,0.4745598224515684,1.0461306967687747,-1.1532036115688455
15m,fz1.5_react0.25_body0.25_cl0.7_cs0.3,model_a,base,next_close,1.5,0.25,0.25,0.7,0.3,90,1.0,1.5,8,4.0,5.0,2025-11,260,3444.1405364563657,0.38846153846153847,-0.316616429578555,-82.3202716904243,,,0.5599129013267402,1.0369725460837294,-1.1764433889615156
15m,fz1.5_react0.25_body0.25_cl0.7_cs0.3,model_a,base,next_close,1.5,0.25,0.25,0.7,0.3,90,1.0,1.5,8,4.0,5.0,2025-12,339,4040.3453433038744,0.3185840707964602,-0.5563772837365754,-188.61189918669905,,,0.3595868936152375,0.9805934211787585,-1.2749609899307575
15m,fz1.5_react0.25_body0.25_cl0.7_cs0.3,model_a,base,next_close,1.5,0.25,0.25,0.7,0.3,90,1.0,1.5,8,4.0,5.0,2026-01,385,4530.080536912752,0.2753246753246753,-0.7034091752356384,-270.8125324657208,,,0.27025956834604453,0.9461839191360679,-1.3301363006958564
15m,fz1.5_react0.25_body0.25_cl0.7_cs0.3,model_a,base,next_close,1.5,0.25,0.25,0.7,0.3,90,1.0,1.5,8,4.0,5.0,2026-02,400,5233.432835820895,0.415,-0.20756540387903402,-83.02616155161361,,,0.6891389647224697,1.1087851205072412,-1.1413867160504945
15m,fz1.5_react0.25_body0.25_cl0.7_cs0.3,model_a,base,next_close,1.5,0.25,0.25,0.7,0.3,90,1.0,1.5,8,4.0,5.0,2026-03,350,4303.085553997195,0.29428571428571426,-0.6277312845128279,-219.70594957948975,,,0.3028685408021401,0.9267104848677239,-1.2759397956310337
15m,fz1.5_react0.25_body0.25_cl0.7_cs0.3,model_a,base,next_close,1.5,0.25,0.25,0.7,0.3,90,1.0,1.5,8,4.0,5.0,2026-04,318,3885.140069686411,0.3333333333333333,-0.6111014405304691,-194.33025808868916,,,0.32481326943840577,0.8819509383372579,-1.3576276299643324
15m,fz1.5_react0.25_body0.25_cl0.7_cs0.3,model_a,base,next_close,1.5,0.25,0.25,0.7,0.3,90,1.0,1.5,8,4.0,5.0,2026-05,21,2565.6585365853657,0.3333333333333333,-0.7853243570610563,-16.491811498282182,,,0.2644278296694867,0.8469391190979884,-1.6014560951405785
15m,fz1.5_react0.25_body0.5_cl0.6_cs0.4,model_a,base,next_close,1.5,0.25,0.5,0.6,0.4,90,1.0,1.5,8,4.0,5.0,2025-06,306,4206.0305762446105,0.35947712418300654,-0.5574751203448958,-170.5873868255381,,,0.3771529143534419,0.9390533418064598,-1.3973635429808606
15m,fz1.5_react0.25_body0.5_cl0.6_cs0.4,model_a,base,next_close,1.5,0.25,0.5,0.6,0.4,90,1.0,1.5,8,4.0,5.0,2025-07,262,3126.8781484002725,0.3549618320610687,-0.5282965369422798,-138.4136926788773,,,0.3949343645830014,0.9714457295278268,-1.3535984942305632
15m,fz1.5_react0.25_body0.5_cl0.6_cs0.4,model_a,base,next_close,1.5,0.25,0.5,0.6,0.4,90,1.0,1.5,8,4.0,5.0,2025-08,457,5389.925327951563,0.33916849015317285,-0.48047299266245647,-219.57615764674262,,,0.42149871310171144,1.0321561545991833,-1.2568223894358148
15m,fz1.5_react0.25_body0.5_cl0.6_cs0.4,model_a,base,next_close,1.5,0.25,0.5,0.6,0.4,90,1.0,1.5,8,4.0,5.0,2025-09,366,4485.642782243971,0.273224043715847,-0.7352540147637391,-269.1029694035285,,,0.2758551686836506,1.0251187581238435,-1.3970482902853867
15m,fz1.5_react0.25_body0.5_cl0.6_cs0.4,model_a,base,next_close,1.5,0.25,0.5,0.6,0.4,90,1.0,1.5,8,4.0,5.0,2025-10,414,5097.0842696629215,0.357487922705314,-0.380492571149157,-157.523924455751,,,0.4923385693706286,1.0322252956581017,-1.1665160459140982
15m,fz1.5_react0.25_body0.5_cl0.6_cs0.4,model_a,base,next_close,1.5,0.25,0.5,0.6,0.4,90,1.0,1.5,8,4.0,5.0,2025-11,247,3273.170068027211,0.38866396761133604,-0.31551810531469543,-77.93297201272978,,,0.5631254692740035,1.046401730503163,-1.1813744247750557
15m,fz1.5_react0.25_body0.5_cl0.6_cs0.4,model_a,base,next_close,1.5,0.25,0.5,0.6,0.4,90,1.0,1.5,8,4.0,5.0,2025-12,315,3744.1220338983053,0.32063492063492066,-0.5614568446867645,-176.8589060763308,,,0.3547008610899533,0.9625132525137802,-1.2807137597206664
