timeframe,param_id,exit_model,friction_case,entry_mode,funding_z_min,reaction_atr_min,body_min,close_loc_long_min,close_loc_short_max,funding_z_lookback,stop_atr_mult,target_r,max_hold_bars,taker_fee_bps_per_side,slippage_bps_per_side,symbol,total_trades,trades_per_year,win_rate,ev_per_trade_r,total_ev_r,max_drawdown_r,max_losing_streak,profit_factor,average_win_r,average_loss_r
15m,fz1.5_react0.25_body0.25_cl0.6_cs0.4,model_a,base,next_close,1.5,0.25,0.25,0.6,0.4,90,1.0,1.5,8,4.0,5.0,ADAUSDT,375,418.93140472170006,0.3253333333333333,-0.41332075886352915,-154.99528457382343,,,0.45961739426306386,1.0805721005241813,-1.1336959716908046
15m,fz1.5_react0.25_body0.25_cl0.6_cs0.4,model_a,base,next_close,1.5,0.25,0.25,0.6,0.4,90,1.0,1.5,8,4.0,5.0,AVAXUSDT,430,473.5402010050251,0.3488372093023256,-0.41625340546587475,-178.98896435032614,,,0.46760820505251927,1.0480590815306345,-1.2007065234997192
15m,fz1.5_react0.25_body0.25_cl0.6_cs0.4,model_a,base,next_close,1.5,0.25,0.25,0.6,0.4,90,1.0,1.5,8,4.0,5.0,BNBUSDT,445,492.00605410859555,0.3348314606741573,-0.6444969742260329,-286.80115353058466,,,0.31010096967730966,0.8651914421886379,-1.404441481137472
15m,fz1.5_react0.25_body0.25_cl0.6_cs0.4,model_a,base,next_close,1.5,0.25,0.25,0.6,0.4,90,1.0,1.5,8,4.0,5.0,BTCUSDT,731,811.6718072136547,0.24350205198358413,-0.9181396759890433,-671.1601031479906,,,0.1877979576194671,0.8718322247088666,-1.4942969966476836
15m,fz1.5_react0.25_body0.25_cl0.6_cs0.4,model_a,base,next_close,1.5,0.25,0.25,0.6,0.4,90,1.0,1.5,8,4.0,5.0,ETHUSDT,548,602.9960459423837,0.36678832116788324,-0.4331112457834685,-237.34496268934072,,,0.45839290828902624,0.9993957753908985,-1.2628919698642977
15m,fz1.5_react0.25_body0.25_cl0.6_cs0.4,model_a,base,next_close,1.5,0.25,0.25,0.6,0.4,90,1.0,1.5,8,4.0,5.0,LINKUSDT,402,442.7745563059526,0.4129353233830846,-0.2672180637957818,-107.42166164590428,,,0.6239935463998749,1.0739117074394091,-1.210555106274772
15m,fz1.5_react0.25_body0.25_cl0.6_cs0.4,model_a,base,next_close,1.5,0.25,0.25,0.6,0.4,90,1.0,1.5,8,4.0,5.0,LTCUSDT,462,508.7644232279137,0.36147186147186144,-0.4394537210431691,-203.02761912194413,,,0.4491786206789251,0.9913954910590682,-1.2494598851824017
15m,fz1.5_react0.25_body0.25_cl0.6_cs0.4,model_a,base,next_close,1.5,0.25,0.25,0.6,0.4,90,1.0,1.5,8,4.0,5.0,SOLUSDT,429,511.49158420891564,0.3543123543123543,-0.3933993842054531,-168.7683358241394,,,0.47574418755209263,1.0075755418286876,-1.1621654085996387
15m,fz1.5_react0.25_body0.25_cl0.6_cs0.4,model_a,base,next_close,1.5,0.25,0.25,0.6,0.4,90,1.0,1.5,8,4.0,5.0,XRPUSDT,443,513.0921582876396,0.3724604966139955,-0.3466097376001013,-153.54811375684486,,,0.5311302218980269,1.0541667533106704,-1.1780058563061349
15m,fz1.5_react0.25_body0.25_cl0.7_cs0.3,model_a,base,next_close,1.5,0.25,0.25,0.7,0.3,90,1.0,1.5,8,4.0,5.0,ADAUSDT,334,373.12823780546086,0.3263473053892216,-0.40920162141551203,-136.673341552781,,,0.46391681836844817,1.0850887219100247,-1.1331022766265497
15m,fz1.5_react0.25_body0.25_cl0.7_cs0.3,model_a,base,next_close,1.5,0.25,0.25,0.7,0.3,90,1.0,1.5,8,4.0,5.0,AVAXUSDT,404,444.9075376884422,0.3341584158415842,-0.4402090061669736,-177.84443849145734,,,0.44041143220117523,1.0368030605471383,-1.1814604151127175
15m,fz1.5_react0.25_body0.25_cl0.7_cs0.3,model_a,base,next_close,1.5,0.25,0.25,0.7,0.3,90,1.0,1.5,8,4.0,5.0,BNBUSDT,415,458.8371066406003,0.3469879518072289,-0.6190465251462934,-256.90430793571176,,,0.3241354283319223,0.8556097316740234,-1.4026277095821813
15m,fz1.5_react0.25_body0.25_cl0.7_cs0.3,model_a,base,next_close,1.5,0.25,0.25,0.7,0.3,90,1.0,1.5,8,4.0,5.0,BTCUSDT,689,765.0367649387251,0.23802612481857766,-0.9325652837122759,-642.5374804777581,,,0.18120327321004878,0.8670508303435134,-1.494731079341132
15m,fz1.5_react0.25_body0.25_cl0.7_cs0.3,model_a,base,next_close,1.5,0.25,0.25,0.7,0.3,90,1.0,1.5,8,4.0,5.0,ETHUSDT,496,545.7774430427415,0.36088709677419356,-0.4315033130724761,-214.02564328394814,,,0.4537915588339114,0.9933694182265419,-1.2360844452570952
15m,fz1.5_react0.25_body0.25_cl0.7_cs0.3,model_a,base,next_close,1.5,0.25,0.25,0.7,0.3,90,1.0,1.5,8,4.0,5.0,LINKUSDT,370,407.52882048060314,0.4243243243243243,-0.2370989190090865,-87.726600033362,,,0.6604542607599448,1.0868662593257001,-1.2129793556220516
15m,fz1.5_react0.25_body0.25_cl0.7_cs0.3,model_a,base,next_close,1.5,0.25,0.25,0.7,0.3,90,1.0,1.5,8,4.0,5.0,LTCUSDT,433,476.8889028488865,0.3672055427251732,-0.4328186527503764,-187.41047664091298,,,0.4559608170828553,0.9878570064178683,-1.257225330880854
15m,fz1.5_react0.25_body0.25_cl0.7_cs0.3,model_a,base,next_close,1.5,0.25,0.25,0.7,0.3,90,1.0,1.5,8,4.0,5.0,SOLUSDT,408,486.4535346322554,0.3431372549019608,-0.42088499041598476,-171.72107608972178,,,0.45111321293689716,1.0080877486894466,-1.1673632869635981
