symbol,timeframe,ohlcv_rows,expected_ohlcv_rows,missing_ohlcv_rows,duplicate_ohlcv_rows,large_ohlcv_gap_count,max_ohlcv_gap_minutes,zero_volume_rows,bad_ohlc_rows,funding_rows,first_funding_time,last_funding_time,large_funding_gap_count,max_funding_gap_hours
BTCUSDT,15m,35040,35040,0,0,0,15.0,0,0,1096,2025-05-04T00:00:00.001000+00:00,2026-05-04T00:00:00+00:00,0,8.000004444444444
BTCUSDT,1h,8760,8760,0,0,0,60.0,0,0,1096,2025-05-04T00:00:00.001000+00:00,2026-05-04T00:00:00+00:00,0,8.000004444444444
ETHUSDT,15m,35040,35040,0,0,0,15.0,0,0,1096,2025-05-04T00:00:00.001000+00:00,2026-05-04T00:00:00+00:00,0,8.000004444444444
ETHUSDT,1h,8760,8760,0,0,0,60.0,0,0,1096,2025-05-04T00:00:00.001000+00:00,2026-05-04T00:00:00+00:00,0,8.000004444444444
SOLUSDT,15m,35040,35040,0,0,0,15.0,0,0,1096,2025-05-04T00:00:00.001000+00:00,2026-05-04T00:00:00+00:00,0,8.000004444444444
SOLUSDT,1h,8760,8760,0,0,0,60.0,0,0,1096,2025-05-04T00:00:00.001000+00:00,2026-05-04T00:00:00+00:00,0,8.000004444444444
BNBUSDT,15m,35040,35040,0,0,0,15.0,0,0,1096,2025-05-04T00:00:00.001000+00:00,2026-05-04T00:00:00+00:00,0,8.000004444444444
BNBUSDT,1h,8760,8760,0,0,0,60.0,0,0,1096,2025-05-04T00:00:00.001000+00:00,2026-05-04T00:00:00+00:00,0,8.000004444444444
XRPUSDT,15m,35040,35040,0,0,0,15.0,0,0,1096,2025-05-04T00:00:00.001000+00:00,2026-05-04T00:00:00+00:00,0,8.000004444444444
XRPUSDT,1h,8760,8760,0,0,0,60.0,0,0,1096,2025-05-04T00:00:00.001000+00:00,2026-05-04T00:00:00+00:00,0,8.000004444444444
ADAUSDT,15m,35040,35040,0,0,0,15.0,0,0,1096,2025-05-04T00:00:00.001000+00:00,2026-05-04T00:00:00+00:00,0,8.000004444444444
ADAUSDT,1h,8760,8760,0,0,0,60.0,0,0,1096,2025-05-04T00:00:00.001000+00:00,2026-05-04T00:00:00+00:00,0,8.000004444444444
AVAXUSDT,15m,35040,35040,0,0,0,15.0,0,0,1096,2025-05-04T00:00:00.001000+00:00,2026-05-04T00:00:00+00:00,0,8.000004444444444
AVAXUSDT,1h,8760,8760,0,0,0,60.0,0,0,1096,2025-05-04T00:00:00.001000+00:00,2026-05-04T00:00:00+00:00,0,8.000004444444444
LINKUSDT,15m,35040,35040,0,0,0,15.0,0,0,1096,2025-05-04T00:00:00.001000+00:00,2026-05-04T00:00:00+00:00,0,8.000004444444444
LINKUSDT,1h,8760,8760,0,0,0,60.0,0,0,1096,2025-05-04T00:00:00.001000+00:00,2026-05-04T00:00:00+00:00,0,8.000004444444444
LTCUSDT,15m,35040,35040,0,0,0,15.0,0,0,1096,2025-05-04T00:00:00.001000+00:00,2026-05-04T00:00:00+00:00,0,8.000004444444444
LTCUSDT,1h,8760,8760,0,0,0,60.0,0,0,1096,2025-05-04T00:00:00.001000+00:00,2026-05-04T00:00:00+00:00,0,8.000004444444444
