timeframe,param_id,exit_model,friction_case,funding_z_min,reaction_atr_min,body_min,close_loc_long_min,close_loc_short_max,stop_atr_mult,target_r,total_trades_next_open,ev_per_trade_r_next_open,total_ev_r_next_open,max_drawdown_r_next_open,profit_factor_next_open,total_trades_next_close,ev_per_trade_r_next_close,total_ev_r_next_close,max_drawdown_r_next_close,profit_factor_next_close,ev_delta_close_minus_open_r,trade_delta_close_minus_open
15m,fz1.5_react0.25_body0.25_cl0.6_cs0.4,model_a,base,1.5,0.25,0.25,0.6,0.4,1.0,1.5,4753,-0.5401775228189976,-2567.4637659586956,-2568.5374492426454,0.38577747308061466,4265,-0.5069299410646889,-2162.0561986408984,-2164.992992376378,0.4005934234072792,0.03324758175430864,-488
15m,fz1.5_react0.25_body0.25_cl0.6_cs0.4,model_a,stress,1.5,0.25,0.25,0.6,0.4,1.0,1.5,4949,-1.0447815613451816,-5170.623947097304,-5170.581380646208,0.1687202285689202,4434,-1.0307903377929302,-4570.524357773852,-4568.295156752662,0.16624244137926014,0.013991223552251464,-515
15m,fz1.5_react0.25_body0.25_cl0.6_cs0.4,model_b,base,1.5,0.25,0.25,0.6,0.4,1.2,2.0,3764,-0.4486600945431331,-1688.756595860353,-1704.183455927396,0.4698350866822682,3463,-0.4215515193324743,-1459.8329114483586,-1482.881874171843,0.4845663491429065,0.027108575210658792,-301
15m,fz1.5_react0.25_body0.25_cl0.6_cs0.4,model_b,stress,1.5,0.25,0.25,0.6,0.4,1.2,2.0,3954,-0.8975220271329505,-3548.8020952836864,-3548.1540750806453,0.23698731861487263,3611,-0.8679358329509725,-3134.116292785962,-3134.452409344903,0.24080177639481884,0.029586194181977943,-343
15m,fz1.5_react0.25_body0.25_cl0.7_cs0.3,model_a,base,1.5,0.25,0.25,0.7,0.3,1.0,1.5,4370,-0.5444514358685568,-2379.2527747455933,-2380.3264580295445,0.3817913191432315,3961,-0.5106329925797957,-2022.6172836085705,-2030.6126098364803,0.3968353057985407,0.03381844328876116,-409
15m,fz1.5_react0.25_body0.25_cl0.7_cs0.3,model_a,stress,1.5,0.25,0.25,0.7,0.3,1.0,1.5,4556,-1.048488717745974,-4776.914598050658,-4776.87203159957,0.1673251242973864,4097,-1.0289311175897367,-4215.530788765151,-4213.301587743966,0.1655803147019334,0.01955760015623742,-459
15m,fz1.5_react0.25_body0.25_cl0.7_cs0.3,model_b,base,1.5,0.25,0.25,0.7,0.3,1.2,2.0,3532,-0.4485931309951974,-1584.4309386750372,-1598.7959583305676,0.4705028107936857,3242,-0.42699539323577745,-1384.3190648703905,-1411.810313403397,0.47960682001547134,0.02159773775941992,-290
15m,fz1.5_react0.25_body0.25_cl0.7_cs0.3,model_b,stress,1.5,0.25,0.25,0.7,0.3,1.2,2.0,3689,-0.8945374676218837,-3299.948718057129,-3299.300697854086,0.23771944737285128,3369,-0.8628365517947956,-2906.896342996666,-2907.232459555608,0.24187127093653776,0.031700915827088116,-320
15m,fz1.5_react0.25_body0.5_cl0.6_cs0.4,model_a,base,1.5,0.25,0.5,0.6,0.4,1.0,1.5,4093,-0.5355722772011428,-2192.097330584277,-2192.8530823614697,0.38947112312614873,3764,-0.5118554201430412,-1926.623801418407,-1925.6693022374793,0.39722086505943816,0.02371685705810156,-329
15m,fz1.5_react0.25_body0.5_cl0.6_cs0.4,model_a,stress,1.5,0.25,0.5,0.6,0.4,1.0,1.5,4269,-1.0500703310003823,-4482.750243040632,-4481.738287509383,0.1683601597849648,3875,-1.031770507177165,-3998.1107153115145,-3995.8815142903345,0.16593540783195268,0.018299823823217265,-394
