timeframe,param_id,exit_model,friction_case,entry_mode,funding_z_min,reaction_atr_min,body_min,close_loc_long_min,close_loc_short_max,funding_z_lookback,stop_atr_mult,target_r,max_hold_bars,taker_fee_bps_per_side,slippage_bps_per_side,total_trades,trades_per_year,win_rate,ev_per_trade_r,total_ev_r,max_drawdown_r,max_losing_streak,profit_factor,average_win_r,average_loss_r,best_symbol_ev_share,best_symbol_total_ev_r,best_month_ev_share,best_month_total_ev_r
15m,fz2.5_react0_body0.25_cl0.6_cs0.4,model_a,base,next_close,2.5,0.0,0.25,0.6,0.4,90,1.0,1.5,8,4.0,5.0,1134,1249.0207633108214,0.3527336860670194,-0.45445686186549455,-515.3540813554708,-528.7224054676275,11,0.43767800947811325,1.0028024526248047,-1.2486036272553034,,-94.47505913514064,,-58.42831230719666
15m,fz2.5_react0_body0.5_cl0.6_cs0.4,model_a,base,next_close,2.5,0.0,0.5,0.6,0.4,90,1.0,1.5,8,4.0,5.0,977,1076.1301752842871,0.35209825997952915,-0.4662929236915528,-455.5681864466471,-459.891209858657,14,0.4291355318966632,0.9955347146660142,-1.2607142627041958,,-45.89275777511613,,-2.2806137827750232
15m,fz2.5_react0.25_body0.5_cl0.6_cs0.4,model_a,base,next_close,2.5,0.25,0.5,0.6,0.4,90,1.0,1.5,8,4.0,5.0,969,1067.3184645347742,0.3498452012383901,-0.4689120657750399,-454.3757917360137,-458.6988151480235,13,0.4282032050392709,1.0037456672642144,-1.2613421792675912,,-47.15212856141777,,-74.20011220462658
15m,fz2.5_react0.25_body0.25_cl0.6_cs0.4,model_a,base,next_close,2.5,0.25,0.25,0.6,0.4,90,1.0,1.5,8,4.0,5.0,1091,1201.659305795508,0.3473877176901925,-0.46906163309849125,-511.74624171045394,-523.329995495432,15,0.4284707595898065,1.0122742436483088,-1.2575817135578131,,-46.092251441494106,,-3.9075650475371027
15m,fz2.5_react0_body0.25_cl0.7_cs0.3,model_a,base,next_close,2.5,0.0,0.25,0.7,0.3,90,1.0,1.5,8,4.0,5.0,1056,1163.1092822365322,0.33617424242424243,-0.4853642871377009,-512.5446872174122,-527.2189726627005,14,0.4091574445430501,0.9998205820671725,-1.237490718760711,,-60.48418522814253,,-70.85281832433841
15m,fz2.5_react0.25_body0.25_cl0.7_cs0.3,model_a,base,next_close,2.5,0.25,0.25,0.7,0.3,90,1.0,1.5,8,4.0,5.0,1017,1120.1535416993875,0.336283185840708,-0.4876537708827044,-495.94388498771036,-508.8336001058203,17,0.4111130431320996,1.012361810820818,-1.247661665612489,,-58.04523493538309,,-47.90764563180541
15m,fz2.5_react0_body0.5_cl0.7_cs0.3,model_a,base,next_close,2.5,0.0,0.5,0.7,0.3,90,1.0,1.5,8,4.0,5.0,912,1004.5350254444933,0.3399122807017544,-0.4942536279908948,-450.75930872769607,-455.08233213970607,13,0.4072927498380005,0.9991931545088114,-1.2633042967199795,,-54.966286741644836,,-33.48183781369609
15m,fz2.5_react0.25_body0.5_cl0.7_cs0.3,model_a,base,next_close,2.5,0.25,0.5,0.7,0.3,90,1.0,1.5,8,4.0,5.0,904,995.7233146949802,0.3407079646017699,-0.49492488945007046,-447.4121000628637,-451.7351234748736,12,0.40764342894774963,0.9996644414191002,-1.2672965570804473,,-45.36595667128167,,-2.2806137827750232
15m,fz2_react0_body0.25_cl0.6_cs0.4,model_a,base,next_close,2.0,0.0,0.25,0.6,0.4,90,1.0,1.5,8,4.0,5.0,2166,2385.1712832108537,0.34533702677746997,-0.5038422275339464,-1091.3222648385279,-1107.3602277445273,18,0.4042310507914971,0.989927123346764,-1.2918108272933055,,-114.12954181598452,,-10.09026606869683
15m,fz1.5_react0_body0.5_cl0.7_cs0.3,model_a,base,next_close,1.5,0.0,0.5,0.7,0.3,90,1.0,1.5,8,4.0,5.0,3542,3875.0916692667706,0.3427442123094297,-0.5066401348346392,-1794.5193575842923,-1793.7743325579447,23,0.4009209915420923,0.9892456612645298,-1.286711164243742,,-590.9850931165414,,-247.90996580539334
