symbol,timeframe,param_id,exit_model,friction_case,entry_mode,signal_time,funding_time,entry_time,exit_time,side,raw_entry,entry,raw_exit,exit,stop,target,atr_at_signal,risk,funding_rate,funding_z,reaction_r,body_pct,close_location,gross_r,fee_r,net_r,exit_reason,funding_z_min,reaction_atr_min,body_min,close_loc_long_min,close_loc_short_max,funding_z_lookback,stop_atr_mult,target_r,max_hold_bars,taker_fee_bps_per_side,slippage_bps_per_side
BTCUSDT,15m,fz1.5_react0.25_body0.25_cl0.6_cs0.4,model_a,base,next_close,2025-06-04 00:45:00+00:00,2025-06-04 00:00:00+00:00,2025-06-04 01:00:00+00:00,2025-06-04 01:45:00+00:00,long,105579.9,105632.68994999999,105409.53994999999,105356.835180025,105409.53994999999,105967.41494999999,223.1500000000004,223.1500000000004,-1.1e-07,-1.6968425404599792,1.0705803271341867,0.9379662347860106,0.9964664310954292,-1.2361853908805294,0.3782021512525649,-1.6143875421330942,stop,1.5,0.25,0.25,0.6,0.4,90,1.0,1.5,8,4.0,5.0
BTCUSDT,15m,fz1.5_react0.25_body0.25_cl0.6_cs0.4,model_a,base,next_close,2025-06-04 02:00:00+00:00,2025-06-04 00:00:00+00:00,2025-06-04 02:15:00+00:00,2025-06-04 02:30:00+00:00,long,105588.5,105641.29424999999,105440.39425,105387.67405287501,105440.39425,105942.64425,200.9000000000004,200.9000000000004,-1.1e-07,-1.6968425404599792,0.9716276754604116,0.7093023255813923,0.7093023255813923,-1.2624200951965279,0.4201671842765049,-1.6825872794730328,stop,1.5,0.25,0.25,0.6,0.4,90,1.0,1.5,8,4.0,5.0
BTCUSDT,15m,fz1.5_react0.25_body0.25_cl0.6_cs0.4,model_a,base,next_close,2025-06-04 03:00:00+00:00,2025-06-04 00:00:00+00:00,2025-06-04 03:15:00+00:00,2025-06-04 04:30:00+00:00,long,105570.0,105622.78499999999,105404.39214285713,105351.68994678571,105404.39214285713,105950.37428571428,218.39285714285714,218.39285714285714,-1.1e-07,-1.6968425404599792,0.6859198691741752,0.5531757754800639,0.7090103397341135,-1.2413183139819588,0.38641277504562555,-1.6277310890275842,stop,1.5,0.25,0.25,0.6,0.4,90,1.0,1.5,8,4.0,5.0
BTCUSDT,15m,fz1.5_react0.25_body0.25_cl0.6_cs0.4,model_a,base,next_close,2025-06-04 05:00:00+00:00,2025-06-04 00:00:00+00:00,2025-06-04 05:15:00+00:00,2025-06-04 07:15:00+00:00,long,105296.1,105348.74805,105238.7,105186.08065,105175.47662142856,105608.65519285714,173.27142857142877,173.27142857142877,-1.1e-07,-1.6968425404599792,0.3895622062824631,0.5514705882352547,0.9926470588234586,-0.9388010553219036,0.4860231844010219,-1.4248242397229256,time_stop,1.5,0.25,0.25,0.6,0.4,90,1.0,1.5,8,4.0,5.0
BTCUSDT,15m,fz1.5_react0.25_body0.25_cl0.6_cs0.4,model_a,base,next_close,2025-06-05 00:30:00+00:00,2025-06-05 00:00:00.016000+00:00,2025-06-05 00:45:00+00:00,2025-06-05 01:30:00+00:00,long,104939.0,104991.46949999999,104804.8052142857,104752.40281167856,104804.8052142857,105271.46592857142,186.66428571428696,186.66428571428696,7.4e-07,-1.7501075001304458,0.7992959093865784,0.8298109010010827,0.8298109010010827,-1.280730737573177,0.44945688782206106,-1.730187625395238,stop,1.5,0.25,0.25,0.6,0.4,90,1.0,1.5,8,4.0,5.0
XRPUSDT,15m,fz1.5_react0.25_body0.25_cl0.6_cs0.4,model_a,base,next_close,2025-06-05 00:15:00+00:00,2025-06-05 00:00:00.016000+00:00,2025-06-05 00:30:00+00:00,2025-06-05 01:45:00+00:00,long,2.2059,2.20700295,2.199410092857143,2.198310387810715,2.199410092857143,2.218392235714286,0.007592857142857116,0.007592857142857116,-2.306e-05,-1.5116048479060886,0.2897460018814952,0.2682926829268544,0.7682926829268273,-1.144834154750651,0.23207671393922946,-1.3769108686898806,stop,1.5,0.25,0.25,0.6,0.4,90,1.0,1.5,8,4.0,5.0
ADAUSDT,15m,fz1.5_react0.25_body0.25_cl0.6_cs0.4,model_a,base,next_close,2025-06-05 00:15:00+00:00,2025-06-05 00:00:00.016000+00:00,2025-06-05 00:30:00+00:00,2025-06-05 02:00:00+00:00,long,0.6679,0.66823395,0.6730982357142857,0.6727616865964287,0.6649910928571428,0.6730982357142857,0.0032428571428571584,0.0032428571428571584,-0.0001022,-1.9789468815107072,0.6475770925110073,0.6562500000000011,0.7812499999999881,1.3962183337004699,0.16540915341277457,1.2308091802876953,target,1.5,0.25,0.25,0.6,0.4,90,1.0,1.5,8,4.0,5.0
BTCUSDT,15m,fz1.5_react0.25_body0.25_cl0.6_cs0.4,model_a,base,next_close,2025-06-05 02:00:00+00:00,2025-06-05 00:00:00.016000+00:00,2025-06-05 02:15:00+00:00,2025-06-05 02:30:00+00:00,long,104855.6,104908.0278,105159.84565714285,105107.2657343143,104740.14922857142,105159.84565714285,167.87857142857268,167.87857142857268,7.4e-07,-1.7501075001304458,1.1645321873803258,0.8372591006423983,0.8556745182012973,1.1867978898013578,0.5003980954738336,0.6863997943275242,target,1.5,0.25,0.25,0.6,0.4,90,1.0,1.5,8,4.0,5.0
ADAUSDT,15m,fz1.5_react0.25_body0.25_cl0.6_cs0.4,model_a,base,next_close,2025-06-05 02:30:00+00:00,2025-06-05 00:00:00.016000+00:00,2025-06-05 02:45:00+00:00,2025-06-05 04:00:00+00:00,long,0.6723,0.67263615,0.6769968642857143,0.6766583658535714,0.6697290071428571,0.6769968642857143,0.002907142857142862,0.002907142857142862,-0.0001022,-1.9789468815107072,0.8943488943488708,0.6190476190476064,0.6190476190476064,1.3835631928746914,0.18565231667764098,1.1979108761970505,target,1.5,0.25,0.25,0.6,0.4,90,1.0,1.5,8,4.0,5.0
XRPUSDT,15m,fz1.5_react0.25_body0.25_cl0.6_cs0.4,model_a,base,next_close,2025-06-05 02:00:00+00:00,2025-06-05 00:00:00.016000+00:00,2025-06-05 02:15:00+00:00,2025-06-05 04:15:00+00:00,long,2.2025,2.20360125,2.2089,2.20779555,2.196494107142857,2.2142619642857144,0.007107142857142883,0.007107142857142883,-2.306e-05,-1.5116048479060886,1.4070351758794244,0.9009009009008948,0.9369369369369258,0.5901527638190911,0.24827961889447148,0.3418731449246196,time_stop,1.5,0.25,0.25,0.6,0.4,90,1.0,1.5,8,4.0,5.0
