friction_case,entry_mode,month,trades,total_r,ev_r
base,next_close,2023-01,95,-25.234437856821412,-0.2656256616507517
base,next_close,2023-02,118,-26.053103337886945,-0.22078901133802495
base,next_close,2023-03,149,-26.687648883841074,-0.17911173747544346
base,next_close,2023-04,122,-11.418372964408631,-0.09359322101974288
base,next_close,2023-05,109,-37.095409513950976,-0.34032485792615574
base,next_close,2023-06,108,-4.263769320458029,-0.03947934555979656
base,next_close,2023-07,88,-23.1808445960174,-0.26341868859110684
base,next_close,2023-08,90,-16.38919236947935,-0.18210213743865944
base,next_close,2023-09,88,-32.13308681784216,-0.36514871383911546
base,next_close,2023-10,104,-19.127927653359265,-0.18392238128230062
base,next_close,2023-11,132,-24.966204530607456,-0.18913791311066255
base,next_close,2023-12,149,-14.651073784684487,-0.09832935425962742
base,next_close,2024-01,159,-35.385595593044734,-0.22255091567952662
base,next_close,2024-02,159,3.1819185678868678,0.020012066464697283
base,next_close,2024-03,134,-22.591568203946384,-0.16859379256676407
base,next_close,2024-04,132,-23.18473506568301,-0.17564193231578037
base,next_close,2024-05,130,-19.47951238746044,-0.14984240298046492
base,next_close,2024-06,119,-20.313797350655182,-0.17070417941727045
base,next_close,2024-07,167,-5.473115330581574,-0.03277314569210523
base,next_close,2024-08,128,21.907644582333504,0.1711534732994805
base,next_close,2024-09,153,-8.226933724656247,-0.053770808657883966
base,next_close,2024-10,151,-29.315998698254155,-0.19414568674340502
base,next_close,2024-11,166,-36.84017754788527,-0.2219287804089474
base,next_close,2024-12,159,-46.48631630388447,-0.2923667692068206
base,next_close,2025-01,163,-0.6247219848544463,-0.003832650213830959
base,next_close,2025-02,140,-32.92343418832582,-0.23516738705947016
base,next_close,2025-03,143,11.64976883778331,0.08146691494953363
base,next_close,2025-04,117,-29.443145471570123,-0.2516508159963258
base,next_close,2025-05,172,-17.706136168697178,-0.10294265214358825
base,next_close,2025-06,114,0.5465072063581831,0.00479392286279108
base,next_close,2025-07,167,-46.82400930117941,-0.2803832892286192
base,next_close,2025-08,165,-13.453188510730891,-0.08153447582261146
