symbol,probe,status_code,rows,response_prefix
BTCUSDT,desired_2020_start,400,,"{""msg"":""parameter 'startTime' is invalid."",""code"":-1130}"
BTCUSDT,desired_2025_window,400,,"{""msg"":""parameter 'startTime' is invalid."",""code"":-1130}"
BTCUSDT,older_than_30d_probe,400,,"{""msg"":""parameter 'startTime' is invalid."",""code"":-1130}"
ETHUSDT,desired_2020_start,400,,"{""msg"":""parameter 'startTime' is invalid."",""code"":-1130}"
ETHUSDT,desired_2025_window,400,,"{""msg"":""parameter 'startTime' is invalid."",""code"":-1130}"
ETHUSDT,older_than_30d_probe,400,,"{""msg"":""parameter 'startTime' is invalid."",""code"":-1130}"
SOLUSDT,desired_2020_start,400,,"{""msg"":""parameter 'startTime' is invalid."",""code"":-1130}"
SOLUSDT,desired_2025_window,400,,"{""msg"":""parameter 'startTime' is invalid."",""code"":-1130}"
SOLUSDT,older_than_30d_probe,400,,"{""msg"":""parameter 'startTime' is invalid."",""code"":-1130}"
BNBUSDT,desired_2020_start,400,,"{""msg"":""parameter 'startTime' is invalid."",""code"":-1130}"
BNBUSDT,desired_2025_window,400,,"{""msg"":""parameter 'startTime' is invalid."",""code"":-1130}"
BNBUSDT,older_than_30d_probe,400,,"{""msg"":""parameter 'startTime' is invalid."",""code"":-1130}"
XRPUSDT,desired_2020_start,400,,"{""msg"":""parameter 'startTime' is invalid."",""code"":-1130}"
XRPUSDT,desired_2025_window,400,,"{""msg"":""parameter 'startTime' is invalid."",""code"":-1130}"
XRPUSDT,older_than_30d_probe,400,,"{""msg"":""parameter 'startTime' is invalid."",""code"":-1130}"
ADAUSDT,desired_2020_start,400,,"{""msg"":""parameter 'startTime' is invalid."",""code"":-1130}"
ADAUSDT,desired_2025_window,400,,"{""msg"":""parameter 'startTime' is invalid."",""code"":-1130}"
ADAUSDT,older_than_30d_probe,400,,"{""msg"":""parameter 'startTime' is invalid."",""code"":-1130}"
AVAXUSDT,desired_2020_start,400,,"{""msg"":""parameter 'startTime' is invalid."",""code"":-1130}"
AVAXUSDT,desired_2025_window,400,,"{""msg"":""parameter 'startTime' is invalid."",""code"":-1130}"
AVAXUSDT,older_than_30d_probe,400,,"{""msg"":""parameter 'startTime' is invalid."",""code"":-1130}"
LINKUSDT,desired_2020_start,400,,"{""msg"":""parameter 'startTime' is invalid."",""code"":-1130}"
LINKUSDT,desired_2025_window,400,,"{""msg"":""parameter 'startTime' is invalid."",""code"":-1130}"
LINKUSDT,older_than_30d_probe,400,,"{""msg"":""parameter 'startTime' is invalid."",""code"":-1130}"
LTCUSDT,desired_2020_start,400,,"{""msg"":""parameter 'startTime' is invalid."",""code"":-1130}"
LTCUSDT,desired_2025_window,400,,"{""msg"":""parameter 'startTime' is invalid."",""code"":-1130}"
LTCUSDT,older_than_30d_probe,400,,"{""msg"":""parameter 'startTime' is invalid."",""code"":-1130}"
