entry_mode,filter_name,event_threshold,min_simultaneous_drops,exit_model,friction_case,horizon_bars,taker_fee_bps_per_side,slippage_bps_per_side,total_trades,trades_per_year,average_return_pct,median_return_pct,cumulative_return_units,win_rate,return_volatility_pct,sharpe_like,annualized_trade_sharpe_like,max_drawdown_units,max_losing_streak,average_win_pct,average_loss_pct,best_month,worst_month,best_symbol,worst_symbol,best_month_contribution,best_symbol_contribution,positive_month_rate,positive_symbol_rate,average_concurrent_positions,max_concurrent_positions
next_close,drop3_breadth4,-0.03,4,pure_horizon_12,base,12,4.0,5.0,71,102.92050105419818,3.1043467180579136,0.91681965792513,2.2040861698211187,0.7183098591549296,7.456339803086556,3.5081140459017806,4.2237234518808116,-0.148629783767237,5,5.1509773689448215,-2.1145614417037044,2025-10,2026-01,ADAUSDT,BTCUSDT,0.7523300454775241,0.2787448643372201,0.7142857142857143,1.0,6.401408450704225,26
next_close,drop3_breadth5,-0.03,5,pure_horizon_12,base,12,4.0,5.0,70,101.47091653230807,3.143566285590488,0.952603459839876,2.2004963999133413,0.7142857142857143,7.502797063920309,3.505487659477629,4.220561316959243,-0.148629783767237,5,5.246817376508163,-2.1145614417037044,2025-10,2026-01,ADAUSDT,BTCUSDT,0.753557355714468,0.27919959351831974,0.6666666666666666,1.0,6.485714285714286,26
next_close,drop3_breadth4,-0.03,4,scaled_exit_6_12,base,12,4.0,5.0,71,102.92050105419818,2.9466840937357697,0.8890193813599148,2.0921457065523965,0.6901408450704225,7.244842147020536,3.4271556238482197,4.126250570047236,-0.20021070125457624,8,5.27742979116317,-2.2445222323525327,2025-10,2026-01,ADAUSDT,BTCUSDT,0.6718414559607517,0.26074769063854025,0.7142857142857143,1.0,6.401408450704225,26
next_close,drop3_breadth5,-0.03,5,scaled_exit_6_12,base,12,4.0,5.0,70,101.47091653230807,2.9830097582830684,0.896148996020826,2.088106830798148,0.6857142857142857,7.290636697668831,3.423247004359077,4.121544643277251,-0.20424957700882482,8,5.378961920657718,-2.2445222323525327,2025-10,2026-01,ADAUSDT,BTCUSDT,0.6731409508559156,0.26125203625446536,0.6666666666666666,1.0,6.485714285714286,26
next_close,drop4_breadth5,-0.04,5,pure_horizon_12,base,12,4.0,5.0,36,52.18504278804415,5.777454670782333,4.236375539100138,2.07988368148164,0.8611111111111112,9.581786758603165,3.6177728536454543,4.3557512229030575,-0.13227370172192493,3,7.415892721566171,-4.38086124407746,2025-10,2025-05,ADAUSDT,BTCUSDT,0.7239884665589267,0.29640681574534217,1.0,1.0,7.777777777777778,22
next_close,drop4_breadth4,-0.04,4,pure_horizon_12,base,12,4.0,5.0,36,52.18504278804415,5.777454670782333,4.236375539100138,2.07988368148164,0.8611111111111112,9.581786758603165,3.6177728536454543,4.3557512229030575,-0.13227370172192493,3,7.415892721566171,-4.38086124407746,2025-10,2025-05,ADAUSDT,BTCUSDT,0.7239884665589267,0.29640681574534217,1.0,1.0,7.777777777777778,22
next_close,drop3_breadth4,-0.03,4,pure_horizon_12,stress,12,8.0,10.0,71,102.92050105419818,2.9212138861893777,0.7358732609924746,2.074061859194458,0.6901408450704225,7.448887185865774,3.3044648294875922,3.9785324574972036,-0.17188513273666084,5,5.1716736957857234,-2.0911738715479378,2025-10,2026-01,ADAUSDT,BTCUSDT,0.7752588281827866,0.2863754149566918,0.7142857142857143,1.0,6.401408450704225,26
next_close,drop3_breadth5,-0.03,5,pure_horizon_12,stress,12,8.0,10.0,70,101.47091653230807,2.9603942537348127,0.7716212969703974,2.072275977614369,0.6857142857142857,7.495298012632509,3.304529760800228,3.9786106339488114,-0.17188513273666084,5,5.275696311156073,-2.0911738715479378,2025-10,2026-01,ADAUSDT,BTCUSDT,0.7759269440495965,0.28662221247984326,0.6666666666666666,1.0,6.485714285714286,26
next_close,drop4_breadth5,-0.04,5,pure_horizon_12,stress,12,8.0,10.0,36,52.18504278804415,5.59165006551189,4.052111243576643,2.0129940235842803,0.8055555555555556,9.572209755557584,3.504927414862844,4.219886789766771,-0.13754239510785668,3,7.732352797871137,-3.2769755399764184,2025-10,2025-05,ADAUSDT,BTCUSDT,0.7276226915217932,0.2996896194005544,1.0,1.0,7.777777777777778,22
next_close,drop4_breadth4,-0.04,4,pure_horizon_12,stress,12,8.0,10.0,36,52.18504278804415,5.59165006551189,4.052111243576643,2.0129940235842803,0.8055555555555556,9.572209755557584,3.504927414862844,4.219886789766771,-0.13754239510785668,3,7.732352797871137,-3.2769755399764184,2025-10,2025-05,ADAUSDT,BTCUSDT,0.7276226915217932,0.2996896194005544,1.0,1.0,7.777777777777778,22
