symbol,timeframe,entry_mode,filter_name,event_threshold,min_simultaneous_drops,exit_model,friction_case,signal_time,entry_time,exit_time,signal_return,entry_price,exit_price,atr14_prior,realized_vol_96,realized_vol_threshold,simultaneous_down_2pct_count,btc_return_24h,ema50_slope_24,ema200_slope_24,horizon_bars,exit_reason,exit_legs,gross_return,fee_return,net_return,net_return_pct,taker_fee_bps_per_side,slippage_bps_per_side
ADAUSDT,15m,next_close,drop3_breadth4,-0.03,4,pure_horizon_12,base,2025-05-30 00:45:00+00:00,2025-05-30 01:00:00+00:00,2025-05-30 04:00:00+00:00,-0.04249134948096889,0.7040518499999999,0.7059468500000001,0.0037714285714285844,0.0054284806967438886,0.0049635391110473435,7.0,-0.030816975529353474,-0.014578020860349872,-0.0067787328183528395,12,horizon,horizon:1.0@2025-05-30T04:00:00+00:00,0.0026915631284829544,0.0008,0.0018915631284829543,0.18915631284829543,4.0,5.0
AVAXUSDT,15m,next_close,drop3_breadth4,-0.03,4,pure_horizon_12,base,2025-05-30 00:45:00+00:00,2025-05-30 01:00:00+00:00,2025-05-30 04:00:00+00:00,-0.03331978870377894,21.624807,21.697146,0.13307142857142779,0.005228130889232686,0.0050416837747304065,7.0,-0.030816975529353474,-0.01821541859817788,-0.007805309451130782,12,horizon,horizon:1.0@2025-05-30T04:00:00+00:00,0.0033451859246651505,0.0008,0.00254518592466515,0.25451859246651504,4.0,5.0
LINKUSDT,15m,next_close,drop3_breadth4,-0.03,4,pure_horizon_12,base,2025-05-30 00:45:00+00:00,2025-05-30 01:00:00+00:00,2025-05-30 04:00:00+00:00,-0.040629795183134254,14.566279499999998,14.616688000000002,0.07821428571428589,0.0055043745473284085,0.004891884555945384,7.0,-0.030816975529353474,-0.01775005741763236,-0.007729771936520247,12,horizon,horizon:1.0@2025-05-30T04:00:00+00:00,0.0034606297373329653,0.0008,0.002660629737332965,0.2660629737332965,4.0,5.0
LTCUSDT,15m,next_close,drop3_breadth4,-0.03,4,pure_horizon_12,base,2025-05-30 00:45:00+00:00,2025-05-30 01:00:00+00:00,2025-05-30 04:00:00+00:00,-0.031129240017174653,91.20558,91.57419000000002,0.4399999999999987,0.004718035733056556,0.004519827208214209,7.0,-0.030816975529353474,-0.014967660502737234,-0.005085776120285601,12,horizon,horizon:1.0@2025-05-30T04:00:00+00:00,0.004041529038026237,0.0008,0.0032415290380262366,0.3241529038026237,4.0,5.0
XRPUSDT,15m,next_close,drop3_breadth4,-0.03,4,pure_horizon_12,base,2025-05-30 00:45:00+00:00,2025-05-30 01:00:00+00:00,2025-05-30 04:00:00+00:00,-0.035754239942721755,2.18719305,2.20779555,0.009685714285714297,0.004454540480351685,0.0038258221868818047,7.0,-0.030816975529353474,-0.008422966238170515,-0.0032402548231914574,12,horizon,horizon:1.0@2025-05-30T04:00:00+00:00,0.009419607473606595,0.0008,0.008619607473606596,0.8619607473606596,4.0,5.0
AVAXUSDT,15m,next_close,drop3_breadth4,-0.03,4,pure_horizon_12,base,2025-06-13 00:00:00+00:00,2025-06-13 00:15:00+00:00,2025-06-13 03:15:00+00:00,-0.03053774050320668,19.418704499999997,18.9255325,0.1464285714285715,0.0049727511745309115,0.004753377949262742,5.0,-0.039579209539538196,-0.021099297526063987,-0.010243154996496862,12,horizon,horizon:1.0@2025-06-13T03:15:00+00:00,-0.02539675084916182,0.0008,-0.026196750849161822,-2.619675084916182,4.0,5.0
ADAUSDT,15m,next_close,drop3_breadth4,-0.03,4,pure_horizon_12,base,2025-06-22 13:15:00+00:00,2025-06-22 13:30:00+00:00,2025-06-22 16:30:00+00:00,-0.03098643197653106,0.5276637,0.52223875,0.004500000000000004,0.005753544555330099,0.003817322637360263,7.0,-0.02709876757239893,-0.014559955599899421,-0.011017267282333543,12,horizon,horizon:1.0@2025-06-22T16:30:00+00:00,-0.010281074858854211,0.0008,-0.01108107485885421,-1.108107485885421,4.0,5.0
LINKUSDT,15m,next_close,drop3_breadth4,-0.03,4,pure_horizon_12,base,2025-06-22 13:15:00+00:00,2025-06-22 13:30:00+00:00,2025-06-22 16:30:00+00:00,-0.03447984450266195,11.4087015,11.340327,0.09150000000000004,0.006093866083807626,0.004266825048428107,7.0,-0.02709876757239893,-0.011087759282148557,-0.010028549291643318,12,horizon,horizon:1.0@2025-06-22T16:30:00+00:00,-0.005993188620107115,0.0008,-0.006793188620107115,-0.6793188620107116,4.0,5.0
SOLUSDT,15m,next_close,drop3_breadth4,-0.03,4,pure_horizon_12,base,2025-06-22 13:15:00+00:00,2025-06-22 13:30:00+00:00,2025-06-22 16:30:00+00:00,-0.03319972774710722,127.58375999999998,128.85554,0.9671428571428545,0.00589916540629187,0.0038176131576252944,7.0,-0.02709876757239893,-0.013813004301039045,-0.009780898703553143,12,horizon,horizon:1.0@2025-06-22T16:30:00+00:00,0.009968196579251298,0.0008,0.0091681965792513,0.91681965792513,4.0,5.0
LINKUSDT,15m,next_close,drop3_breadth4,-0.03,4,pure_horizon_12,base,2025-09-22 06:00:00+00:00,2025-09-22 06:15:00+00:00,2025-09-22 09:15:00+00:00,-0.030454042081949018,21.142566,21.235377,0.12550000000000036,0.004518579832411243,0.0038021676655633422,4.0,-0.024218918075930462,-0.02667023315938377,-0.010731105440539235,12,horizon,horizon:1.0@2025-09-22T09:15:00+00:00,0.004389769907777508,0.0008,0.0035897699077775073,0.35897699077775075,4.0,5.0
ADAUSDT,15m,next_close,drop3_breadth4,-0.03,4,pure_horizon_12,base,2025-10-10 20:45:00+00:00,2025-10-10 21:00:00+00:00,2025-10-11 00:00:00+00:00,-0.07241691452217758,0.6509252999999999,0.6490753,0.0061714285714285656,0.008482307836338876,0.003426032599037933,9.0,-0.05656885763523434,-0.03202689663865621,-0.011285706547353058,12,horizon,horizon:1.0@2025-10-11T00:00:00+00:00,-0.0028421079961094,0.0008,-0.0036421079961094,-0.36421079961094,4.0,5.0
AVAXUSDT,15m,next_close,drop3_breadth4,-0.03,4,pure_horizon_12,base,2025-10-10 20:45:00+00:00,2025-10-10 21:00:00+00:00,2025-10-11 00:00:00+00:00,-0.05940333320793045,23.0585235,20.815587,0.21635714285714286,0.007273888867493024,0.004565410309467719,9.0,-0.05656885763523434,-0.03672380274106746,-0.013181322004288232,12,horizon,horizon:1.0@2025-10-11T00:00:00+00:00,-0.09727147100290268,0.0008,-0.09807147100290267,-9.807147100290267,4.0,5.0
ETHUSDT,15m,next_close,drop3_breadth4,-0.03,4,pure_horizon_12,base,2025-10-10 20:45:00+00:00,2025-10-10 21:00:00+00:00,2025-10-11 00:00:00+00:00,-0.03718226910246858,3724.911525,3865.056505,35.57857142857146,0.005965334954092415,0.0026914251964996277,9.0,-0.05656885763523434,-0.04125472492667104,-0.01584724606992738,12,horizon,horizon:1.0@2025-10-11T00:00:00+00:00,0.03762370704898821,0.0008,0.03682370704898821,3.6823707048988212,4.0,5.0
LINKUSDT,15m,next_close,drop3_breadth4,-0.03,4,pure_horizon_12,base,2025-10-10 20:45:00+00:00,2025-10-10 21:00:00+00:00,2025-10-11 00:00:00+00:00,-0.05279246930952497,17.966979,17.4322795,0.20178571428571423,0.00763259905576517,0.003644897095566316,9.0,-0.05656885763523434,-0.041410668298275666,-0.011556679114897883,12,horizon,horizon:1.0@2025-10-11T00:00:00+00:00,-0.02976012272291284,0.0008,-0.030560122722912843,-3.056012272291284,4.0,5.0
SOLUSDT,15m,next_close,drop3_breadth4,-0.03,4,pure_horizon_12,base,2025-10-10 20:45:00+00:00,2025-10-10 21:00:00+00:00,2025-10-11 00:00:00+00:00,-0.05049433325295394,185.25258,188.62564,1.9157142857142893,0.007114927568045738,0.003545703080535848,9.0,-0.05656885763523434,-0.03621930110109306,-0.012998622519316605,12,horizon,horizon:1.0@2025-10-11T00:00:00+00:00,0.01820789756342389,0.0008,0.01740789756342389,1.7407897563423889,4.0,5.0
