entry_mode,exit_model,friction_case,horizon_bars,taker_fee_bps_per_side,slippage_bps_per_side,month,total_trades,trades_per_year,average_return_pct,median_return_pct,win_rate,cumulative_return_units,max_drawdown_units,sharpe_like,return_volatility_pct,max_losing_streak,average_win_pct,average_loss_pct,best_month,worst_month,best_month_contribution,best_symbol,worst_symbol,best_symbol_contribution,positive_month_rate,positive_symbol_rate,window,window_start,window_end
next_close,pure_horizon_12,base,12,4.0,5.0,2020-02,3,0.4733261339092873,1.6843559912796573,1.8699433810143737,0.6666666666666666,0.05053067973838972,0.0,1.640099673308461,1.7787883275681382,1,2.6165089994132273,-0.17995002498748294,2020-02,2020-02,1.0,XRPUSDT,ADAUSDT,0.6655510345840548,1.0,0.6666666666666666,full_available,2020-01-01T00:00:00+00:00,2026-05-04T00:00:00+00:00
next_close,pure_horizon_12,base,12,4.0,5.0,2020-03,113,17.828617710583153,3.918682949707026,1.8022634336913999,0.6460176991150443,4.428111733168939,-1.9696567879279947,3.2877362102251486,12.670168312077001,11,10.079873053654783,-7.3254889899976305,2020-03,2020-03,1.0000000000000002,LINKUSDT,LTCUSDT,0.20243247333337577,1.0,1.0,full_available,2020-01-01T00:00:00+00:00,2026-05-04T00:00:00+00:00
next_close,pure_horizon_12,base,12,4.0,5.0,2020-05,7,1.1044276457883369,-1.1558848295363426,-1.4477171566500944,0.0,-0.08091193806754399,-0.06643476650104305,-3.5214935259306337,0.8684337428612071,7,0.0,-1.1558848295363426,2020-05,2020-05,,XRPUSDT,ADAUSDT,,0.0,0.0,full_available,2020-01-01T00:00:00+00:00,2026-05-04T00:00:00+00:00
next_close,pure_horizon_12,base,12,4.0,5.0,2020-06,7,1.1044276457883369,-1.2079465610680826,-0.9176086218493837,0.0,-0.08455625927476579,-0.07089684015171968,-3.864076350287671,0.8270867104900539,7,0.0,-1.2079465610680826,2020-06,2020-06,,LTCUSDT,LINKUSDT,,0.0,0.0,full_available,2020-01-01T00:00:00+00:00,2026-05-04T00:00:00+00:00
next_close,pure_horizon_12,base,12,4.0,5.0,2020-09,10,1.5777537796976242,0.41796386268895275,0.6309241155245915,0.7,0.04179638626889527,-0.012403700527453407,1.437479809511397,0.9194687654000613,1,0.9201707599129154,-0.753852230833627,2020-09,2020-09,1.0,LTCUSDT,LINKUSDT,0.6342593165423621,1.0,0.7142857142857143,full_available,2020-01-01T00:00:00+00:00,2026-05-04T00:00:00+00:00
next_close,pure_horizon_12,base,12,4.0,5.0,2020-10,1,0.15777537796976243,0.9362516507109755,0.9362516507109755,1.0,0.009362516507109755,0.0,0.0,0.0,0,0.9362516507109755,0.0,2020-10,2020-10,1.0,LTCUSDT,LTCUSDT,1.0,1.0,1.0,full_available,2020-01-01T00:00:00+00:00,2026-05-04T00:00:00+00:00
next_close,pure_horizon_12,base,12,4.0,5.0,2020-11,16,2.524406047516199,1.2567588640331597,2.1039410327739505,0.75,0.20108141824530557,-0.14936946567396434,1.1840731725586844,4.245544593557196,2,3.1587141272601906,-4.449106925647936,2020-11,2020-11,0.9999999999999999,ADAUSDT,XRPUSDT,0.47378873936048665,1.0,0.6666666666666666,full_available,2020-01-01T00:00:00+00:00,2026-05-04T00:00:00+00:00
next_close,pure_horizon_12,base,12,4.0,5.0,2020-12,5,0.7888768898488121,7.7227053486192565,12.601874550940028,0.8,0.3861352674309628,-0.05293903455172866,1.8687471835578358,9.240679681901673,1,10.976857549567287,-5.293903455172863,2020-12,2020-12,1.0000000000000002,XRPUSDT,ADAUSDT,0.42578476269249055,1.0,1.0,full_available,2020-01-01T00:00:00+00:00,2026-05-04T00:00:00+00:00
next_close,pure_horizon_12,base,12,4.0,5.0,2021-01,44,6.942116630669546,-0.70592008593338,-0.6773559865213086,0.4090909090909091,-0.31060483781068715,-0.5927386914134337,-1.3796102936808539,3.394106390392112,11,2.5884556479278564,-2.986641747837313,2021-01,2021-01,,XRPUSDT,BTCUSDT,,0.0,0.25,full_available,2020-01-01T00:00:00+00:00,2026-05-04T00:00:00+00:00
next_close,pure_horizon_12,base,12,4.0,5.0,2021-02,70,11.04427645788337,2.4521729329686375,2.897105992438611,0.7,1.7165210530780461,-0.9470200646656182,3.1923238916361854,6.4267760440565525,11,5.732242033412934,-5.2013216347347235,2021-02,2021-02,0.9999999999999998,BNBUSDT,LTCUSDT,0.23070599367285305,1.0,0.8888888888888888,full_available,2020-01-01T00:00:00+00:00,2026-05-04T00:00:00+00:00
