entry_mode,exit_model,friction_case,horizon_bars,taker_fee_bps_per_side,slippage_bps_per_side,symbol,total_trades,trades_per_year,average_return_pct,median_return_pct,win_rate,cumulative_return_units,max_drawdown_units,sharpe_like,return_volatility_pct,max_losing_streak,average_win_pct,average_loss_pct,best_month,worst_month,best_month_contribution,best_symbol,worst_symbol,best_symbol_contribution,positive_month_rate,positive_symbol_rate,average_concurrent_positions,max_concurrent_positions,p95_concurrent_positions,window,window_start,window_end
next_close,pure_horizon_12,base,12,4.0,5.0,XRPUSDT,116,18.301943844492442,3.024470484578418,2.7315859931939768,0.6896551724137931,3.5083857621109646,-0.24282062697923074,4.355056130644835,7.479707046327849,3,6.30126116935223,-4.257286592696721,2021-05,2021-06,0.2356750753834024,XRPUSDT,XRPUSDT,1.0000000000000002,0.7777777777777778,1.0,1.1551724137931034,5,4.0,full_available,2020-01-01T00:00:00+00:00,2026-05-04T00:00:00+00:00
next_close,pure_horizon_12,base,12,4.0,5.0,LTCUSDT,107,16.881965442764578,1.411860376318581,1.0941341335501422,0.6355140186915887,1.5106906026608817,-0.2345223097135857,2.174561057817485,6.716020798774168,4,4.684154766167691,-4.293678559828587,2021-05,2025-02,0.5324199239608973,LTCUSDT,LTCUSDT,1.0,0.7419354838709677,1.0,1.2102803738317758,5,3.0,full_available,2020-01-01T00:00:00+00:00,2026-05-04T00:00:00+00:00
next_close,pure_horizon_12,base,12,4.0,5.0,ADAUSDT,129,20.35302375809935,3.536146262173235,2.1764757348203734,0.6589147286821705,4.561628678203473,-0.3510163631335259,4.011979330949461,10.010744753998333,4,7.788269392360157,-4.678182512051506,2021-05,2025-02,0.3919592313091894,ADAUSDT,ADAUSDT,1.0,0.6944444444444444,1.0,1.3682170542635659,6,4.0,full_available,2020-01-01T00:00:00+00:00,2026-05-04T00:00:00+00:00
next_close,pure_horizon_12,base,12,4.0,5.0,BNBUSDT,96,15.146436285097193,2.9918782436264735,2.0487464765562757,0.6458333333333334,2.8722031138814144,-0.5361683531067523,3.487871494429774,8.40463885337878,5,7.135862158106966,-4.5647983063085436,2020-03,2021-01,0.300504313070494,BNBUSDT,BNBUSDT,1.0000000000000002,0.8,1.0,1.375,6,4.0,full_available,2020-01-01T00:00:00+00:00,2026-05-04T00:00:00+00:00
next_close,pure_horizon_12,base,12,4.0,5.0,BTCUSDT,48,7.573218142548597,2.5606443475113854,1.350726012319117,0.7291666666666666,1.229109286805465,-0.20391282049695308,2.395954323490214,7.404425145372586,2,4.9490444388668156,-3.8696635907532326,2020-03,2021-01,0.48948483032704754,BTCUSDT,BTCUSDT,1.0000000000000002,0.8333333333333334,1.0,1.3541666666666667,6,4.0,full_available,2020-01-01T00:00:00+00:00,2026-05-04T00:00:00+00:00
next_close,pure_horizon_12,base,12,4.0,5.0,ETHUSDT,97,15.304211663066955,2.0723598408631116,1.1607245823226944,0.6288659793814433,2.010189045637218,-0.3107765961317822,2.6712321347778225,7.640810067040918,5,5.502020366336324,-3.7390093828553876,2021-05,2021-01,0.4515416063507331,ETHUSDT,ETHUSDT,1.0000000000000002,0.64,1.0,1.3453608247422681,5,4.0,full_available,2020-01-01T00:00:00+00:00,2026-05-04T00:00:00+00:00
next_close,pure_horizon_12,base,12,4.0,5.0,LINKUSDT,143,22.561879049676026,2.838453781598318,1.6281956759177116,0.6013986013986014,4.0589889076855945,-0.466915430760914,3.9062575715072256,8.68938358678125,5,7.599916107972872,-4.345506921352767,2020-03,2025-02,0.22084160137630104,LINKUSDT,LINKUSDT,1.0,0.6666666666666666,1.0,1.479020979020979,7,4.0,full_available,2020-01-01T00:00:00+00:00,2026-05-04T00:00:00+00:00
next_close,pure_horizon_12,base,12,4.0,5.0,AVAXUSDT,131,20.668574514038877,3.090495631765009,2.461461236925002,0.6717557251908397,4.048549277612162,-0.5823225801636244,3.967728902304218,8.915009101019095,5,7.365298369865059,-5.657937878765326,2022-05,2025-02,0.26773277846385196,AVAXUSDT,AVAXUSDT,1.0000000000000002,0.7666666666666667,1.0,1.2557251908396947,5,3.0,full_available,2020-01-01T00:00:00+00:00,2026-05-04T00:00:00+00:00
next_close,pure_horizon_12,base,12,4.0,5.0,SOLUSDT,99,15.619762419006479,3.129626922938828,1.8790749264411175,0.5959595959595959,3.0983306537094397,-0.37591836117026634,2.9269496234804437,10.638855708941064,4,9.019338215123037,-5.557697233032884,2021-05,2021-06,0.38316145687176373,SOLUSDT,SOLUSDT,1.0000000000000002,0.75,1.0,1.2272727272727273,5,3.1499999999999773,full_available,2020-01-01T00:00:00+00:00,2026-05-04T00:00:00+00:00
next_open,pure_horizon_12,base,12,4.0,5.0,XRPUSDT,116,18.301943844492442,3.179197292470465,3.0753280080020784,0.7413793103448276,3.6878688592657394,-0.3333063554774635,4.432145182311715,7.725604947543503,4,6.247532822070977,-5.616697892384338,2021-05,2021-06,0.2271919342748705,XRPUSDT,XRPUSDT,1.0000000000000002,0.8611111111111112,1.0,1.1982758620689655,6,4.0,full_available,2020-01-01T00:00:00+00:00,2026-05-04T00:00:00+00:00
next_open,pure_horizon_12,base,12,4.0,5.0,LTCUSDT,107,16.881965442764578,2.1152949216354053,2.2022123499071533,0.7009345794392523,2.2633655661498837,-0.21759761506418018,3.198062968193631,6.841885549497127,3,5.180521925751027,-5.06883086926058,2021-05,2025-02,0.3397739983877371,LTCUSDT,LTCUSDT,1.0000000000000002,0.8064516129032258,1.0,1.2570093457943925,5,3.0,full_available,2020-01-01T00:00:00+00:00,2026-05-04T00:00:00+00:00
next_open,pure_horizon_12,base,12,4.0,5.0,ADAUSDT,129,20.35302375809935,3.806314814748308,2.7414858426039546,0.6511627906976745,4.910146111025317,-0.3868305878723701,4.223486791249458,10.235956230762918,5,8.35179601262601,-4.678583421290076,2021-05,2025-02,0.3835247216884324,ADAUSDT,ADAUSDT,1.0,0.7777777777777778,1.0,1.4224806201550388,7,4.0,full_available,2020-01-01T00:00:00+00:00,2026-05-04T00:00:00+00:00
next_open,pure_horizon_12,base,12,4.0,5.0,BNBUSDT,96,15.146436285097193,3.35142156636639,2.5934562608822676,0.6666666666666666,3.2173647037117346,-0.6847233996444535,3.551527912061092,9.245905372364243,4,7.583652587010986,-5.113040474922806,2020-03,2022-12,0.2855808523374854,BNBUSDT,BNBUSDT,1.0000000000000002,0.84,1.0,1.4166666666666667,6,4.0,full_available,2020-01-01T00:00:00+00:00,2026-05-04T00:00:00+00:00
next_open,pure_horizon_12,base,12,4.0,5.0,BTCUSDT,48,7.573218142548597,3.180230073439406,2.7148718502482927,0.7708333333333334,1.526510435250915,-0.2485002040666574,2.7474702417943178,8.019479131258112,2,5.519600101682553,-4.688560021560268,2020-03,2021-12,0.4155927136930295,BTCUSDT,BTCUSDT,1.0,0.8888888888888888,1.0,1.375,6,4.0,full_available,2020-01-01T00:00:00+00:00,2026-05-04T00:00:00+00:00
next_open,pure_horizon_12,base,12,4.0,5.0,ETHUSDT,97,15.304211663066955,2.407422376683205,1.527933793770444,0.6804123711340206,2.335199705382709,-0.40018242576851715,2.959750027710075,8.010933502772646,3,5.798077158169561,-4.8113910290619355,2021-05,2021-04,0.3683765228357922,ETHUSDT,ETHUSDT,1.0000000000000004,0.76,1.0,1.407216494845361,5,4.0,full_available,2020-01-01T00:00:00+00:00,2026-05-04T00:00:00+00:00
next_open,pure_horizon_12,base,12,4.0,5.0,LINKUSDT,143,22.561879049676026,2.9950043508176267,2.2543082400510306,0.6153846153846154,4.282856221669206,-0.5436222018109607,3.9281838384126107,9.117455910177886,7,7.939596587872014,-4.916343228469393,2020-03,2025-02,0.23975673166543052,LINKUSDT,LINKUSDT,1.0000000000000002,0.7777777777777778,1.0,1.534965034965035,7,4.0,full_available,2020-01-01T00:00:00+00:00,2026-05-04T00:00:00+00:00
next_open,pure_horizon_12,base,12,4.0,5.0,AVAXUSDT,131,20.668574514038877,3.3903443228695123,3.023683359427145,0.6641221374045801,4.441351062959061,-0.5953665208644194,4.29713987484747,9.030253968404702,5,7.994610630216297,-5.713545875747997,2022-05,2025-02,0.2555248957268015,AVAXUSDT,AVAXUSDT,1.0,0.7333333333333333,1.0,1.3091603053435115,5,4.0,full_available,2020-01-01T00:00:00+00:00,2026-05-04T00:00:00+00:00
next_open,pure_horizon_12,base,12,4.0,5.0,SOLUSDT,99,15.619762419006479,4.1079933783494775,3.4904265981716835,0.696969696969697,4.066913444565983,-0.45591800057936815,3.6800287098585485,11.106983465169819,3,9.105292518997423,-7.385794645140795,2021-05,2021-06,0.3307164081635995,SOLUSDT,SOLUSDT,1.0000000000000002,0.8571428571428571,1.0,1.2474747474747474,5,4.0,full_available,2020-01-01T00:00:00+00:00,2026-05-04T00:00:00+00:00
next_close,pure_horizon_12,stress,12,8.0,10.0,XRPUSDT,116,18.301943844492442,2.8414174890651,2.548825735949272,0.6810344827586207,3.2960442873155156,-0.24797882863052675,4.095564313768291,7.472231073529935,3,6.193268949008108,-4.315238330813214,2021-05,2021-06,0.23695226030085867,XRPUSDT,XRPUSDT,1.0,0.7222222222222222,1.0,1.1551724137931034,5,4.0,full_available,2020-01-01T00:00:00+00:00,2026-05-04T00:00:00+00:00
next_close,pure_horizon_12,stress,12,8.0,10.0,LTCUSDT,107,16.881965442764578,1.2304191858169171,0.9130105106662169,0.5794392523364486,1.3165485288241014,-0.24869030728908342,1.896999627341407,6.709308130952969,4,4.943513368289744,-3.885399465590088,2021-05,2025-02,0.574768062029597,LTCUSDT,LTCUSDT,1.0,0.7419354838709677,1.0,1.2102803738317758,5,3.0,full_available,2020-01-01T00:00:00+00:00,2026-05-04T00:00:00+00:00
next_close,pure_horizon_12,stress,12,8.0,10.0,ADAUSDT,129,20.35302375809935,3.352581846336774,1.9942703106949282,0.6589147286821705,4.324830581774438,-0.3542661227154813,3.8075196270186296,10.000739007114904,4,7.6004549762686375,-4.853536700122512,2021-05,2025-02,0.4005188982900649,ADAUSDT,ADAUSDT,1.0,0.6944444444444444,1.0,1.3682170542635659,6,4.0,full_available,2020-01-01T00:00:00+00:00,2026-05-04T00:00:00+00:00
next_close,pure_horizon_12,stress,12,8.0,10.0,BNBUSDT,96,15.146436285097193,2.8088578240824136,1.8666687179201662,0.6458333333333334,2.696503511119117,-0.5428336538359313,3.277786119262062,8.396238410546598,5,6.948699823534985,-4.740265821978157,2020-03,2021-01,0.30774717536937063,BNBUSDT,BNBUSDT,0.9999999999999999,0.8,1.0,1.375,6,4.0,full_available,2020-01-01T00:00:00+00:00,2026-05-04T00:00:00+00:00
next_close,pure_horizon_12,stress,12,8.0,10.0,BTCUSDT,48,7.573218142548597,2.3780549465696437,1.1693459256600969,0.7291666666666666,1.141466374353429,-0.2109102108799596,2.2273345380575402,7.397024416891089,2,4.764067830243953,-4.045825894091962,2020-03,2021-01,0.5044606032705184,BTCUSDT,BTCUSDT,0.9999999999999998,0.8333333333333334,1.0,1.3541666666666667,6,4.0,full_available,2020-01-01T00:00:00+00:00,2026-05-04T00:00:00+00:00
next_close,pure_horizon_12,stress,12,8.0,10.0,ETHUSDT,97,15.304211663066955,1.8902584806516747,0.9795344022353093,0.6082474226804123,1.8335507262321242,-0.31406657539101024,2.4389446970243713,7.633173071653072,5,5.500333593347075,-3.7148581416911832,2021-05,2021-01,0.4719639546791339,ETHUSDT,ETHUSDT,1.0,0.6,1.0,1.3453608247422681,5,4.0,full_available,2020-01-01T00:00:00+00:00,2026-05-04T00:00:00+00:00
next_close,pure_horizon_12,stress,12,8.0,10.0,LINKUSDT,143,22.561879049676026,2.655586709919025,1.446538258121981,0.5874125874125874,3.7974889951842057,-0.4718496494878986,3.6582537858868744,8.680698541374648,5,7.5897634069019615,-4.369342824768546,2020-03,2025-02,0.2263315728754239,LINKUSDT,LINKUSDT,1.0,0.6666666666666666,1.0,1.479020979020979,7,4.0,full_available,2020-01-01T00:00:00+00:00,2026-05-04T00:00:00+00:00
next_close,pure_horizon_12,stress,12,8.0,10.0,AVAXUSDT,131,20.668574514038877,2.9073766440676025,2.278970969576615,0.6717557251908397,3.808663403728559,-0.5853411490083229,3.736366322833872,8.906098542741935,5,7.177906713627488,-5.832312800613097,2022-05,2025-02,0.2781663648884404,AVAXUSDT,AVAXUSDT,1.0,0.7666666666666667,1.0,1.2557251908396947,5,3.0,full_available,2020-01-01T00:00:00+00:00,2026-05-04T00:00:00+00:00
next_close,pure_horizon_12,stress,12,8.0,10.0,SOLUSDT,99,15.619762419006479,2.9464688234865664,1.6971667546464668,0.5757575757575758,2.917004135251701,-0.3791432311865226,2.758410031111411,10.628222164687475,4,9.144418369930621,-5.465034132401792,2021-05,2021-06,0.3874403174278226,SOLUSDT,SOLUSDT,1.0,0.7142857142857143,1.0,1.2272727272727273,5,3.1499999999999773,full_available,2020-01-01T00:00:00+00:00,2026-05-04T00:00:00+00:00
next_open,pure_horizon_12,stress,12,8.0,10.0,XRPUSDT,116,18.301943844492442,2.995989647396709,2.8922241803559783,0.7241379310344828,3.4753479909801825,-0.33837411657531774,4.180912717755907,7.717883199609052,4,6.2071913940081505,-5.433414937458327,2021-05,2021-06,0.22789347053431616,XRPUSDT,XRPUSDT,0.9999999999999999,0.8611111111111112,1.0,1.1982758620689655,6,4.0,full_available,2020-01-01T00:00:00+00:00,2026-05-04T00:00:00+00:00
