entry_mode,exit_model,friction_case,horizon_bars,taker_fee_bps_per_side,slippage_bps_per_side,total_trades,trades_per_year,average_return_pct,median_return_pct,win_rate,cumulative_return_units,max_drawdown_units,sharpe_like,return_volatility_pct,max_losing_streak,average_win_pct,average_loss_pct,best_month,worst_month,best_month_contribution,best_symbol,worst_symbol,best_symbol_contribution,positive_month_rate,positive_symbol_rate,window,window_start,window_end
next_close,pure_horizon_12,base,12,4.0,5.0,1134,178.9172786177106,2.3733605530992916,1.3189643275408305,0.6322751322751323,26.913908672145965,-1.969656787927995,9.879989988599569,8.089352165038504,17,6.204790000389982,-4.21449295699046,2021-05,2025-02,0.2982665487635193,ADAUSDT,BTCUSDT,0.17042905584061657,0.6607142857142857,1.0,full_available,2020-01-01T00:00:00+00:00,2026-05-04T00:00:00+00:00
next_open,pure_horizon_12,base,12,4.0,5.0,1134,178.9172786177106,2.7916374550121623,2.109404223415303,0.6701940035273368,31.65716873983792,-2.6618495810947396,11.120566989086896,8.453540024975698,19,6.574961645924615,-4.896401007804588,2021-05,2025-02,0.26044391558301844,ADAUSDT,BTCUSDT,0.15958892200566405,0.7857142857142857,1.0,full_available,2020-01-01T00:00:00+00:00,2026-05-04T00:00:00+00:00
next_close,pure_horizon_12,stress,12,8.0,10.0,1134,178.9172786177106,2.1909583424504127,1.1376159867095437,0.6155202821869489,24.84546760338768,-1.987491418342174,9.129798650530994,8.081266851487582,17,6.184820567846478,-4.202885311968059,2021-05,2025-02,0.3050222953216071,ADAUSDT,LTCUSDT,0.1736366060268723,0.6607142857142857,1.0,full_available,2020-01-01T00:00:00+00:00,2026-05-04T00:00:00+00:00
next_open,pure_horizon_12,stress,12,8.0,10.0,1134,178.9172786177106,2.608817176286375,1.9272658373157219,0.6587301587301587,29.58398677908749,-2.702396268843116,10.402694724110473,8.445090705385857,19,6.501289037051344,-4.90455874100415,2021-05,2025-02,0.2635075067684752,ADAUSDT,BTCUSDT,0.16153465404540268,0.7678571428571429,1.0,full_available,2020-01-01T00:00:00+00:00,2026-05-04T00:00:00+00:00
next_close,pure_horizon_6,base,6,4.0,5.0,1134,178.9172786177106,1.8828172906921268,0.93328441441656,0.6313932980599647,21.351148076448716,-2.4883763711482008,9.035332475030941,7.0173084596710344,20,5.102083654559225,-3.63152413641037,2020-03,2025-02,0.18440900705140092,LINKUSDT,BTCUSDT,0.16970060895008449,0.7678571428571429,1.0,full_available,2020-01-01T00:00:00+00:00,2026-05-04T00:00:00+00:00
next_open,pure_horizon_6,base,6,4.0,5.0,1134,178.9172786177106,2.3000698753166673,1.5564352057295139,0.6693121693121693,26.082792386091008,-2.622387471945485,10.348996092292376,7.4842680643545085,20,5.578349564046244,-4.335168214671997,2021-05,2025-02,0.1562467562084789,LINKUSDT,BTCUSDT,0.15033615291873081,0.8214285714285714,1.0,full_available,2020-01-01T00:00:00+00:00,2026-05-04T00:00:00+00:00
next_close,pure_horizon_6,stress,6,8.0,10.0,1134,178.9172786177106,1.7009053784016248,0.7523215609474377,0.6058201058201058,19.288266991074423,-2.5074928413002073,8.170533391497045,7.0102946546069935,20,5.128512283215965,-3.5670273813465903,2020-03,2025-02,0.19338049914331074,LINKUSDT,BTCUSDT,0.17254181940278374,0.6964285714285714,1.0,full_available,2020-01-01T00:00:00+00:00,2026-05-04T00:00:00+00:00
next_open,pure_horizon_6,stress,6,8.0,10.0,1134,178.9172786177106,2.1177409187551532,1.3748495125775184,0.6516754850088183,24.01518201868344,-2.643564908951868,9.538153686245876,7.476787532815658,20,5.5411600235161735,-4.287086216481287,2020-03,2025-02,0.15983315707613666,LINKUSDT,BTCUSDT,0.1509719466700864,0.7678571428571429,1.0,full_available,2020-01-01T00:00:00+00:00,2026-05-04T00:00:00+00:00
next_close,scaled_exit_6_12,base,12,4.0,5.0,1134,178.9172786177106,2.128088921895709,1.0856060693803928,0.6190476190476191,24.13252837429734,-2.184699759736074,9.980979547025877,7.179978314879926,15,5.593735849022139,-3.5035873346847426,2021-05,2025-02,0.2436109771657705,ADAUSDT,BTCUSDT,0.16516784989717126,0.7142857142857143,1.0,full_available,2020-01-01T00:00:00+00:00,2026-05-04T00:00:00+00:00
next_open,scaled_exit_6_12,base,12,4.0,5.0,1134,178.9172786177106,2.545853665164415,1.710503567207216,0.6657848324514991,28.869980562964464,-2.2236928843372334,11.251382603031924,7.619633299472844,20,5.94173400041818,-4.219026686066701,2021-05,2025-02,0.21337507760338725,ADAUSDT,BTCUSDT,0.15481206509358247,0.8214285714285714,1.0,full_available,2020-01-01T00:00:00+00:00,2026-05-04T00:00:00+00:00
