symbol,timeframe,entry_mode,entry_time_semantic,exit_model,friction_case,friction_mode,event_time,signal_time,signal_close_time,entry_candle_open_time,entry_time,exit_time,signal_return,event_return_pct,entry_price,exit_price,realized_vol_96,realized_vol_regime_value,realized_vol_threshold,simultaneous_down_2pct_count,breadth_count,btc_return_24h,ema50_slope_24,ema50_slope,ema200_slope_24,ema200_slope,horizon_bars,exit_legs,gross_return,fee_return,net_return,net_return_pct,taker_fee_bps_per_side,slippage_bps_per_side,concurrent_positions
XRPUSDT,15m,next_close,next_candle_close,pure_horizon_12,base,base,2020-02-15 17:45:00+00:00,2020-02-15 17:45:00+00:00,2020-02-15 18:00:00+00:00,2020-02-15 18:00:00+00:00,2020-02-15 18:15:00+00:00,2020-02-15 21:15:00+00:00,-0.04301423027166873,-4.301423027166873,0.30185085,0.3122438,0.007023876655513688,0.007023876655513688,0.004260172060664458,4.0,4.0,-0.042216069173224624,-0.020386897515268232,-0.020386897515268232,-0.0007193570069252697,-0.0007193570069252697,12,horizon:1.0@2020-02-15T21:15:00+00:00,0.03443074617812081,0.0008,0.03363074617812081,3.363074617812081,4.0,5.0,1
LTCUSDT,15m,next_close,next_candle_close,pure_horizon_12,base,base,2020-02-16 16:30:00+00:00,2020-02-16 16:30:00+00:00,2020-02-16 16:45:00+00:00,2020-02-16 16:45:00+00:00,2020-02-16 17:00:00+00:00,2020-02-16 20:00:00+00:00,-0.05459023122178153,-5.459023122178152,69.72484499999999,71.08444000000001,0.006512404661739205,0.006512404661739205,0.005343696237328793,5.0,5.0,-0.017373837045390528,-0.025630172032676812,-0.025630172032676812,-0.009967504559517004,-0.009967504559517004,12,horizon:1.0@2020-02-16T20:00:00+00:00,0.01949943381014374,0.0008,0.018699433810143738,1.8699433810143737,4.0,5.0,1
ADAUSDT,15m,next_close,next_candle_close,pure_horizon_12,base,base,2020-03-12 07:00:00+00:00,2020-03-12 07:00:00+00:00,2020-03-12 07:15:00+00:00,2020-03-12 07:15:00+00:00,2020-03-12 07:30:00+00:00,2020-03-12 10:30:00+00:00,-0.03237612612612628,-3.237612612612628,0.034547264999999994,0.03370314,0.007323975993099919,0.007323975993099919,0.006141898658570437,6.0,6.0,-0.055856152327307784,-0.0483707467650083,-0.0483707467650083,-0.022892186370657486,-0.022892186370657486,12,horizon:1.0@2020-03-12T10:30:00+00:00,-0.024433916838279224,0.0008,-0.025233916838279226,-2.5233916838279224,4.0,5.0,3
LTCUSDT,15m,next_close,next_candle_close,pure_horizon_12,base,base,2020-03-12 07:00:00+00:00,2020-03-12 07:00:00+00:00,2020-03-12 07:15:00+00:00,2020-03-12 07:15:00+00:00,2020-03-12 07:30:00+00:00,2020-03-12 10:30:00+00:00,-0.04174187725631773,-4.174187725631773,43.051515,41.39929,0.007503063508942083,0.007503063508942083,0.006147992673049593,6.0,6.0,-0.055856152327307784,-0.035061024710436484,-0.035061024710436484,-0.016895813552847305,-0.016895813552847305,12,horizon:1.0@2020-03-12T10:30:00+00:00,-0.03837785964094409,0.0008,-0.039177859640944085,-3.9177859640944086,4.0,5.0,3
XRPUSDT,15m,next_close,next_candle_close,pure_horizon_12,base,base,2020-03-12 07:00:00+00:00,2020-03-12 07:00:00+00:00,2020-03-12 07:15:00+00:00,2020-03-12 07:15:00+00:00,2020-03-12 07:30:00+00:00,2020-03-12 10:30:00+00:00,-0.04791666666666672,-4.791666666666671,0.18679335,0.18430780000000002,0.006896143019881177,0.006896143019881177,0.0057376198042129066,6.0,6.0,-0.055856152327307784,-0.03244319501892401,-0.03244319501892401,-0.012714343927153537,-0.012714343927153537,12,horizon:1.0@2020-03-12T10:30:00+00:00,-0.01330641588686099,0.0008,-0.014106415886860988,-1.4106415886860988,4.0,5.0,3
ADAUSDT,15m,next_close,next_candle_close,pure_horizon_12,base,base,2020-03-12 10:30:00+00:00,2020-03-12 10:30:00+00:00,2020-03-12 10:45:00+00:00,2020-03-12 10:45:00+00:00,2020-03-12 11:00:00+00:00,2020-03-12 14:00:00+00:00,-0.09638196915776986,-9.638196915776987,0.0292146,0.02786606,0.008202926515378007,0.008202926515378007,0.006166641726746954,7.0,7.0,-0.19124051821567345,-0.05919789766205363,-0.05919789766205363,-0.029047725680059755,-0.029047725680059755,12,horizon:1.0@2020-03-12T14:00:00+00:00,-0.046159796813921794,0.0008,-0.04695979681392179,-4.695979681392179,4.0,5.0,7
BNBUSDT,15m,next_close,next_candle_close,pure_horizon_12,base,base,2020-03-12 10:30:00+00:00,2020-03-12 10:30:00+00:00,2020-03-12 10:45:00+00:00,2020-03-12 10:45:00+00:00,2020-03-12 11:00:00+00:00,2020-03-12 14:00:00+00:00,-0.13883270731002595,-13.883270731002595,11.464729499999999,11.602196000000001,0.007518089080371574,0.007518089080371574,0.006000778409530438,7.0,7.0,-0.19124051821567345,-0.060352934060075025,-0.060352934060075025,-0.02562694244294972,-0.02562694244294972,12,horizon:1.0@2020-03-12T14:00:00+00:00,0.0119903832009296,0.0008,0.011190383200929601,1.1190383200929601,4.0,5.0,7
BTCUSDT,15m,next_close,next_candle_close,pure_horizon_12,base,base,2020-03-12 10:30:00+00:00,2020-03-12 10:30:00+00:00,2020-03-12 10:45:00+00:00,2020-03-12 10:45:00+00:00,2020-03-12 11:00:00+00:00,2020-03-12 14:00:00+00:00,-0.1258328191404544,-12.583281914045441,5984.060535,5985.84558,0.004846733657505863,0.004846733657505863,0.003031552284343136,7.0,7.0,-0.19124051821567345,-0.033223799023311185,-0.033223799023311185,-0.013242098659660972,-0.013242098659660972,12,horizon:1.0@2020-03-12T14:00:00+00:00,0.0002982999569540734,0.0008,-0.0005017000430459266,-0.05017000430459266,4.0,5.0,7
ETHUSDT,15m,next_close,next_candle_close,pure_horizon_12,base,base,2020-03-12 10:30:00+00:00,2020-03-12 10:30:00+00:00,2020-03-12 10:45:00+00:00,2020-03-12 10:45:00+00:00,2020-03-12 11:00:00+00:00,2020-03-12 14:00:00+00:00,-0.13098669283129938,-13.098669283129938,131.80587,134.882525,0.009066203646906865,0.009066203646906865,0.005656655833406269,7.0,7.0,-0.19124051821567345,-0.06272911462925457,-0.06272911462925457,-0.027419653176031566,-0.027419653176031566,12,horizon:1.0@2020-03-12T14:00:00+00:00,0.02334232155214333,0.0008,0.022542321552143328,2.254232155214333,4.0,5.0,7
LINKUSDT,15m,next_close,next_candle_close,pure_horizon_12,base,base,2020-03-12 10:30:00+00:00,2020-03-12 10:30:00+00:00,2020-03-12 10:45:00+00:00,2020-03-12 10:45:00+00:00,2020-03-12 11:00:00+00:00,2020-03-12 14:00:00+00:00,-0.1295060080106809,-12.950600801068092,2.451225,2.3178405,0.012608299836432612,0.012608299836432612,0.00869948882163556,7.0,7.0,-0.19124051821567345,-0.08573624976767968,-0.08573624976767968,-0.040188668953910045,-0.040188668953910045,12,horizon:1.0@2020-03-12T14:00:00+00:00,-0.054415445338555246,0.0008,-0.05521544533855524,-5.521544533855524,4.0,5.0,7
