scenario_id,scenario_entry_mode,scenario_friction_mode,concurrent_cap,symbol_cap,selection_policy,account_allocation,trades_taken,trades_skipped,skip_rate,cumulative_return_units,average_trade_return_pct,median_trade_return_pct,win_rate,account_total_return_pct,cagr_pct,max_drawdown_pct,max_drawdown_units,sharpe_like,max_losing_streak,average_concurrent_positions,max_concurrent_positions,p95_concurrent_positions,average_exposure_pct,max_exposure_pct,p95_exposure_pct,worst_month,worst_month_return_pct,best_month,best_month_contribution,best_symbol,best_symbol_contribution,positive_symbol_rate,liquidation_margin_risk_proxy
next_close_base_ccap3_scap1_symbol_order_alloc0.0025,next_close,base,3,1,symbol_order,0.0025,358,608,0.629399585921325,2.8659936419874414,0.8005568832367156,0.584466657726945,0.5810055865921788,0.7185382978784238,0.119905243790841,-0.28121519557253727,-1.1259906042348131,2.2140735981579565,9,1.3491620111731844,3,3.0,0.3372905027932961,0.75,0.75,2021-05,-0.13758799680230194,2021-02,0.3369199394702817,BNBUSDT,0.3778878663531713,0.6666666666666666,low
next_close_base_ccap3_scap1_largest_drop_alloc0.0025,next_close,base,3,1,largest_drop,0.0025,358,608,0.629399585921325,3.0284117017201075,0.8459250563463987,0.52807152989085,0.5642458100558659,0.7594319378086745,0.1267078767086538,-0.250314699565668,-1.0019980908120094,2.3174582607796625,8,1.3491620111731844,3,3.0,0.3372905027932961,0.75,0.75,2025-02,-0.11790306362514658,2021-02,0.31174131471569366,ADAUSDT,0.26518755469227207,0.7777777777777778,low
next_close_base_ccap3_scap1_liquidity_priority_alloc0.0025,next_close,base,3,1,liquidity_priority,0.0025,358,608,0.629399585921325,2.8659936419874414,0.8005568832367156,0.584466657726945,0.5810055865921788,0.7185382978784238,0.119905243790841,-0.28121519557253727,-1.1259906042348131,2.2140735981579565,9,1.3491620111731844,3,3.0,0.3372905027932961,0.75,0.75,2021-05,-0.13758799680230194,2021-02,0.3369199394702817,BNBUSDT,0.3778878663531713,0.6666666666666666,low
next_close_base_ccap3_scap2_symbol_order_alloc0.0025,next_close,base,3,2,symbol_order,0.0025,361,605,0.6262939958592133,3.480805352100614,0.9642120088921369,0.6154615441322,0.5817174515235457,0.8734237454753435,0.14565821917558175,-0.2788426498819607,-1.1164584323381361,2.5979557161336917,9,1.353185595567867,3,3.0,0.3382963988919668,0.75,0.75,2021-05,-0.13521203388094927,2021-02,0.28468876592065656,SOLUSDT,0.3216520642091944,0.7777777777777778,low
next_close_base_ccap3_scap2_largest_drop_alloc0.0025,next_close,base,3,2,largest_drop,0.0025,361,605,0.6262939958592133,3.7962617892883808,1.051596063514787,0.6799888727779699,0.5706371191135734,0.9529955983344607,0.15887591967693737,-0.2485027648015392,-0.9947338149923699,2.807599233477742,8,1.353185595567867,3,3.0,0.3382963988919668,0.75,0.75,2025-02,-0.11790306362514658,2021-02,0.25531073768260254,BNBUSDT,0.20532017686504875,0.8888888888888888,low
next_close_base_ccap3_scap2_liquidity_priority_alloc0.0025,next_close,base,3,2,liquidity_priority,0.0025,361,605,0.6262939958592133,3.480805352100614,0.9642120088921369,0.6154615441322,0.5817174515235457,0.8734237454753435,0.14565821917558175,-0.2788426498819607,-1.1164584323381361,2.5979557161336917,9,1.353185595567867,3,3.0,0.3382963988919668,0.75,0.75,2021-05,-0.13521203388094927,2021-02,0.28468876592065656,SOLUSDT,0.3216520642091944,0.7777777777777778,low
next_close_base_ccap3_scapunlimited_symbol_order_alloc0.0025,next_close,base,3,unlimited,symbol_order,0.0025,361,605,0.6262939958592133,3.480805352100614,0.9642120088921369,0.6154615441322,0.5817174515235457,0.8734237454753435,0.14565821917558175,-0.2788426498819607,-1.1164584323381361,2.5979557161336917,9,1.353185595567867,3,3.0,0.3382963988919668,0.75,0.75,2021-05,-0.13521203388094927,2021-02,0.28468876592065656,SOLUSDT,0.3216520642091944,0.7777777777777778,low
next_close_base_ccap3_scapunlimited_largest_drop_alloc0.0025,next_close,base,3,unlimited,largest_drop,0.0025,361,605,0.6262939958592133,3.7962617892883808,1.051596063514787,0.6799888727779699,0.5706371191135734,0.9529955983344607,0.15887591967693737,-0.2485027648015392,-0.9947338149923699,2.807599233477742,8,1.353185595567867,3,3.0,0.3382963988919668,0.75,0.75,2025-02,-0.11790306362514658,2021-02,0.25531073768260254,BNBUSDT,0.20532017686504875,0.8888888888888888,low
next_close_base_ccap3_scapunlimited_liquidity_priority_alloc0.0025,next_close,base,3,unlimited,liquidity_priority,0.0025,361,605,0.6262939958592133,3.480805352100614,0.9642120088921369,0.6154615441322,0.5817174515235457,0.8734237454753435,0.14565821917558175,-0.2788426498819607,-1.1164584323381361,2.5979557161336917,9,1.353185595567867,3,3.0,0.3382963988919668,0.75,0.75,2021-05,-0.13521203388094927,2021-02,0.28468876592065656,SOLUSDT,0.3216520642091944,0.7777777777777778,low
next_close_base_ccap5_scap1_symbol_order_alloc0.0025,next_close,base,5,1,symbol_order,0.0025,480,486,0.5031055900621118,4.215344593329795,0.8781967902770407,0.71425595424569,0.5791666666666667,1.058723875715728,0.1764250565758685,-0.4172137195145642,-1.6718352745113116,2.8845555527790094,10,2.06875,5,5.0,0.5171875,1.25,1.25,2021-05,-0.21007152767953396,2021-02,0.29567826878019376,BNBUSDT,0.2106342754446605,1.0,low
next_close_base_ccap5_scap1_largest_drop_alloc0.0025,next_close,base,5,1,largest_drop,0.0025,479,487,0.5041407867494824,4.23633415857969,0.8844121416659061,0.6154615441322,0.5741127348643006,1.064036596535889,0.1773064764904797,-0.38565774595337166,-1.5450538534844145,2.9202406633482902,10,2.0636743215031315,5,5.0,0.5159185803757829,1.25,1.25,2021-05,-0.16418855002536814,2021-02,0.30103278952696433,ADAUSDT,0.2542566348490765,0.7777777777777778,low
next_close_base_ccap5_scap1_liquidity_priority_alloc0.0025,next_close,base,5,1,liquidity_priority,0.0025,480,486,0.5031055900621118,4.215344593329795,0.8781967902770407,0.71425595424569,0.5791666666666667,1.058723875715728,0.1764250565758685,-0.4172137195145642,-1.6718352745113116,2.8845555527790094,10,2.06875,5,5.0,0.5171875,1.25,1.25,2021-05,-0.21007152767953396,2021-02,0.29567826878019376,BNBUSDT,0.2106342754446605,1.0,low
