timeframe,param_id,friction_case,entry_mode,n,atr_period,atr_mult,vol_z_min,close_loc_long_min,close_loc_short_max,taker_fee_bps_per_side,slippage_bps_per_side,max_hold_bars,month,total_trades,trades_per_year,win_rate,ev_per_trade_r,total_ev_r,max_drawdown_r,max_losing_streak,profit_factor,average_win_r,average_loss_r
1h,n100_atr14_m1.2_vz1.5_cl0.75_cs0.25,base,next_close,100,14,1.2,1.5,0.75,0.25,4.0,5.0,12,2025-05,39,628.4448529411765,0.3076923076923077,-0.21273188278827254,-8.296543428742629,,,0.6995954450553551,1.610113178188941,-1.0228852432225897
1h,n100_atr14_m1.2_vz1.5_cl0.75_cs0.25,base,next_close,100,14,1.2,1.5,0.75,0.25,4.0,5.0,12,2025-06,54,723.7981651376147,0.2037037037037037,-0.5498641017821192,-29.692661496234436,,,0.37404704836162217,1.61302456904775,-1.1031612036223182
1h,n100_atr14_m1.2_vz1.5_cl0.75_cs0.25,base,next_close,100,14,1.2,1.5,0.75,0.25,4.0,5.0,12,2025-07,76,912.6246575342465,0.35526315789473684,-0.12694930298948204,-9.648147027200634,,,0.8064202691821075,1.4886126401749218,-1.0171569043249697
1h,n100_atr14_m1.2_vz1.5_cl0.75_cs0.25,base,next_close,100,14,1.2,1.5,0.75,0.25,4.0,5.0,12,2025-08,62,793.4189781021898,0.4032258064516129,-0.14251624703270319,-8.836007316027597,,,0.756403113729361,1.097482574445249,-0.9803532885718601
1h,n100_atr14_m1.2_vz1.5_cl0.75_cs0.25,base,next_close,100,14,1.2,1.5,0.75,0.25,4.0,5.0,12,2025-09,49,617.1465517241379,0.4489795918367347,-0.014389704849615608,-0.7050955376311648,,,0.971943757332185,1.1102912334754846,-0.9307963953367342
1h,n100_atr14_m1.2_vz1.5_cl0.75_cs0.25,base,next_close,100,14,1.2,1.5,0.75,0.25,4.0,5.0,12,2025-10,66,811.4389901823282,0.4393939393939394,0.051471050159709875,3.3970893105408515,,,1.0970817089160958,1.323763885564638,-0.9457314424549637
1h,n100_atr14_m1.2_vz1.5_cl0.75_cs0.25,base,next_close,100,14,1.2,1.5,0.75,0.25,4.0,5.0,12,2025-11,45,682.4740484429066,0.3111111111111111,-0.2904094326583389,-13.068424469625251,,,0.5360005858703627,1.0783085000935357,-0.9085401119656372
1h,n100_atr14_m1.2_vz1.5_cl0.75_cs0.25,base,next_close,100,14,1.2,1.5,0.75,0.25,4.0,5.0,12,2025-12,51,602.5148247978436,0.19607843137254902,-0.5413484067505213,-27.608768744276585,,,0.32499667169576424,1.3292909198017697,-0.9976019010315679
1h,n100_atr14_m1.2_vz1.5_cl0.75_cs0.25,base,next_close,100,14,1.2,1.5,0.75,0.25,4.0,5.0,12,2026-01,68,830.2061281337047,0.39705882352941174,0.02026733635444595,1.3781788721023245,,,1.0320426707699313,1.6440339059768798,-1.0490423558359372
1h,n100_atr14_m1.2_vz1.5_cl0.75_cs0.25,base,next_close,100,14,1.2,1.5,0.75,0.25,4.0,5.0,12,2026-02,36,533.9695431472081,0.2777777777777778,-0.2169397566822755,-7.809831240561918,,,0.698520126408286,1.8095152556593839,-0.9963455306598367
