symbol,timeframe,path,rows,expected_rows,sufficient_data,duplicate_timestamps,missing_timestamps,unexpected_gaps,max_gap,first_timestamp,last_timestamp,quality_ok
BTCUSDT,1h,data\binance_um_ohlcv\1h\BTCUSDT.csv,8746,8761,True,0,15,0,,2025-05-04T15:00:00+00:00,2026-05-04T00:00:00+00:00,False
ETHUSDT,1h,data\binance_um_ohlcv\1h\ETHUSDT.csv,8746,8761,True,0,15,0,,2025-05-04T15:00:00+00:00,2026-05-04T00:00:00+00:00,False
SOLUSDT,1h,data\binance_um_ohlcv\1h\SOLUSDT.csv,8746,8761,True,0,15,0,,2025-05-04T15:00:00+00:00,2026-05-04T00:00:00+00:00,False
BNBUSDT,1h,data\binance_um_ohlcv\1h\BNBUSDT.csv,8746,8761,True,0,15,0,,2025-05-04T15:00:00+00:00,2026-05-04T00:00:00+00:00,False
XRPUSDT,1h,data\binance_um_ohlcv\1h\XRPUSDT.csv,8746,8761,True,0,15,0,,2025-05-04T15:00:00+00:00,2026-05-04T00:00:00+00:00,False
ADAUSDT,1h,data\binance_um_ohlcv\1h\ADAUSDT.csv,8746,8761,True,0,15,0,,2025-05-04T15:00:00+00:00,2026-05-04T00:00:00+00:00,False
AVAXUSDT,1h,data\binance_um_ohlcv\1h\AVAXUSDT.csv,8746,8761,True,0,15,0,,2025-05-04T15:00:00+00:00,2026-05-04T00:00:00+00:00,False
LINKUSDT,1h,data\binance_um_ohlcv\1h\LINKUSDT.csv,8746,8761,True,0,15,0,,2025-05-04T15:00:00+00:00,2026-05-04T00:00:00+00:00,False
LTCUSDT,1h,data\binance_um_ohlcv\1h\LTCUSDT.csv,8746,8761,True,0,15,0,,2025-05-04T15:00:00+00:00,2026-05-04T00:00:00+00:00,False
BTCUSDT,4h,data\binance_um_ohlcv\4h\BTCUSDT.csv,2187,2191,True,0,4,0,,2025-05-04T16:00:00+00:00,2026-05-04T00:00:00+00:00,False
ETHUSDT,4h,data\binance_um_ohlcv\4h\ETHUSDT.csv,2187,2191,True,0,4,0,,2025-05-04T16:00:00+00:00,2026-05-04T00:00:00+00:00,False
SOLUSDT,4h,data\binance_um_ohlcv\4h\SOLUSDT.csv,2187,2191,True,0,4,0,,2025-05-04T16:00:00+00:00,2026-05-04T00:00:00+00:00,False
BNBUSDT,4h,data\binance_um_ohlcv\4h\BNBUSDT.csv,2187,2191,True,0,4,0,,2025-05-04T16:00:00+00:00,2026-05-04T00:00:00+00:00,False
XRPUSDT,4h,data\binance_um_ohlcv\4h\XRPUSDT.csv,2187,2191,True,0,4,0,,2025-05-04T16:00:00+00:00,2026-05-04T00:00:00+00:00,False
ADAUSDT,4h,data\binance_um_ohlcv\4h\ADAUSDT.csv,2187,2191,True,0,4,0,,2025-05-04T16:00:00+00:00,2026-05-04T00:00:00+00:00,False
AVAXUSDT,4h,data\binance_um_ohlcv\4h\AVAXUSDT.csv,2187,2191,True,0,4,0,,2025-05-04T16:00:00+00:00,2026-05-04T00:00:00+00:00,False
LINKUSDT,4h,data\binance_um_ohlcv\4h\LINKUSDT.csv,2187,2191,True,0,4,0,,2025-05-04T16:00:00+00:00,2026-05-04T00:00:00+00:00,False
LTCUSDT,4h,data\binance_um_ohlcv\4h\LTCUSDT.csv,2187,2191,True,0,4,0,,2025-05-04T16:00:00+00:00,2026-05-04T00:00:00+00:00,False
