timeframe,param_id,friction_case,n,atr_period,atr_mult,vol_z_min,close_loc_long_min,close_loc_short_max,total_trades_next_open,ev_per_trade_r_next_open,total_ev_r_next_open,max_drawdown_r_next_open,profit_factor_next_open,total_trades_next_close,ev_per_trade_r_next_close,total_ev_r_next_close,max_drawdown_r_next_close,profit_factor_next_close,ev_delta_close_minus_open_r,trade_delta_close_minus_open
1h,n100_atr14_m2_vz2_cl0.75_cs0.25,base,100,14,2.0,2.0,0.75,0.25,439,-0.17633774042929298,-77.41226804845962,-89.03423096078977,0.7442589075551125,436,-0.2124097953103236,-92.6106707553011,-104.09929896508737,0.6899897129296256,-0.03607205488103063,-3
1h,n100_atr14_m2_vz2_cl0.7_cs0.3,base,100,14,2.0,2.0,0.7,0.3,507,-0.15454521436144059,-78.35442368125038,-89.96926325609857,0.7751942654933061,501,-0.19098738323281653,-95.68467899964108,-107.16408238628327,0.7187968351168166,-0.03644216887137594,-6
1h,n100_atr14_m1.5_vz2_cl0.7_cs0.3,base,100,14,1.5,2.0,0.7,0.3,587,-0.1554845930775966,-91.26945613654921,-102.88429571139741,0.773391786193734,579,-0.19692492392715505,-114.01953095382277,-125.49893434046497,0.7093224445406933,-0.04144033084955845,-8
1h,n100_atr14_m2_vz2_cl0.8_cs0.2,base,100,14,2.0,2.0,0.8,0.2,373,-0.14624263652149735,-54.548503422518515,-64.2447705151853,0.7831445686138113,370,-0.1923254805893836,-71.16042781807192,-80.72298921192133,0.713364417072576,-0.046082844067886236,-3
1h,n100_atr14_m1.5_vz2_cl0.75_cs0.25,base,100,14,1.5,2.0,0.75,0.25,520,-0.16827586152829221,-87.50344799471195,-99.1254109070421,0.7547669626898643,517,-0.21950888217991923,-113.48609208701825,-124.9747202968045,0.6777770823195344,-0.05123302065162702,-3
1h,n100_atr14_m1.2_vz2_cl0.7_cs0.3,base,100,14,1.2,2.0,0.7,0.3,614,-0.151058901335594,-92.75016542005471,-104.3650049949029,0.7778761458127645,605,-0.20241275691851884,-122.4597179357039,-133.9391213223461,0.699421195576936,-0.05135385558292485,-9
1h,n100_atr14_m1.2_vz2_cl0.75_cs0.25,base,100,14,1.2,2.0,0.75,0.25,544,-0.15974334972233684,-86.90038224895123,-98.52234516128135,0.7647911471825198,540,-0.21756145787265252,-117.48318725123237,-128.97181546101865,0.6779245793644042,-0.057818108150315684,-4
1h,n100_atr14_m1.5_vz2_cl0.8_cs0.2,base,100,14,1.5,2.0,0.8,0.2,440,-0.1577630751687432,-69.41575307424701,-79.11202016691377,0.7680463457148246,436,-0.21767215376933027,-94.905059043428,-104.46762043727752,0.6774494969355296,-0.059909078600587085,-4
1h,n100_atr14_m1.5_vz1.5_cl0.7_cs0.3,base,100,14,1.5,1.5,0.7,0.3,679,-0.16625950458414643,-112.89020361263543,-124.50504318748372,0.7594759474431749,667,-0.2270172913301887,-151.42053331723585,-162.89993670387804,0.6691961854781922,-0.060757786746042264,-12
1h,n100_atr14_m2_vz1.5_cl0.7_cs0.3,base,100,14,2.0,1.5,0.7,0.3,549,-0.151672389439707,-83.26814180239916,-94.88298137724732,0.7794234354898831,540,-0.21698964682078184,-117.17440928322219,-128.65381266986435,0.6837959593674362,-0.06531725738107483,-9
1h,n100_atr14_m2_vz1_cl0.7_cs0.3,base,100,14,2.0,1.0,0.7,0.3,584,-0.13405887249401802,-78.29038153650652,-89.90522111135473,0.8035450321966313,574,-0.20006319006404197,-114.83627109676009,-126.82592355104978,0.706160104146337,-0.06600431757002395,-10
1h,n100_atr14_m1.2_vz2_cl0.8_cs0.2,base,100,14,1.2,2.0,0.8,0.2,463,-0.1365899647162472,-63.24115366362246,-72.93742075628923,0.795550470084843,460,-0.20440066078731525,-94.02430396216502,-103.58686535601448,0.6929117809841883,-0.06781069607106804,-3
