timeframe,param_id,friction_case,entry_mode,n,atr_period,atr_mult,vol_z_min,close_loc_long_min,close_loc_short_max,taker_fee_bps_per_side,slippage_bps_per_side,max_hold_bars,use_room_filter,room_lookback,min_room_r,use_trend_filter,ema_period,ema_slope_lookback,use_overextension_filter,max_ema_distance_atr,total_trades,trades_per_year,win_rate,ev_per_trade_r,total_ev_r,max_drawdown_r,max_losing_streak,profit_factor,average_win_r,average_loss_r
1h,n100_atr14_m2_vz2_cl0.75_cs0.25,base,next_close,100,14,2.0,2.0,0.75,0.25,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,9,11.535897060973827,0.4444444444444444,-0.07867616569538748,-0.7080854912584873,-2.4942195072343787,4,0.8371240850493228,0.9098266910518393,-0.869478451093169
1h,n100_atr14_m2_vz2_cl0.7_cs0.3,base,next_close,100,14,2.0,2.0,0.7,0.3,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,10,12.81766340108203,0.4,-0.09250636823357328,-0.9250636823357328,-2.4942195072343787,4,0.7973294032178421,0.9098266910518393,-0.7607284077571816
1h,n100_atr14_m1.5_vz2_cl0.75_cs0.25,base,next_close,100,14,1.5,2.0,0.75,0.25,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,11,12.235249333840883,0.45454545454545453,-0.14672383700378813,-1.6139622070416695,-3.2638648080364314,5,0.7006485563191147,0.7555135037349844,-0.8985882876194319
1h,n100_atr14_m1.5_vz2_cl0.7_cs0.3,base,next_close,100,14,1.5,2.0,0.7,0.3,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,12,13.347544727826417,0.4166666666666667,-0.15257836650990958,-1.830940398118915,-3.2638648080364314,5,0.6735423350947873,0.7555135037349844,-0.8012154166848339
1h,n100_atr14_m1.2_vz2_cl0.7_cs0.3,base,next_close,100,14,1.2,2.0,0.7,0.3,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,14,15.572135515797488,0.42857142857142855,-0.1691759241205033,-2.3684629376870463,-3.8921176443372003,6,0.6202414953127963,0.6447163025679266,-0.7795950941368257
1h,n100_atr14_m1.2_vz2_cl0.75_cs0.25,base,next_close,100,14,1.2,2.0,0.75,0.25,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,12,13.347544727826417,0.4166666666666667,-0.1868512536118699,-2.242215043342439,-3.8921176443372003,6,0.6275255758422239,0.7555135037349844,-0.8599689374310515
1h,n100_atr14_m2_vz1.5_cl0.75_cs0.25,base,next_close,100,14,2.0,1.5,0.75,0.25,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,11,14.099429741190233,0.36363636363636365,-0.1928276881992314,-2.1211045701915454,-2.7864363743618648,4,0.6317789742678364,0.9098266910518393,-0.8229159049141289
1h,n100_atr14_m2_vz1.5_cl0.7_cs0.3,base,next_close,100,14,2.0,1.5,0.7,0.3,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,12,15.381196081298436,0.3333333333333333,-0.19484023010573256,-2.3380827612687907,-3.0034145654391105,4,0.6088455083437877,0.9098266910518393,-0.7471736906845186
1h,n50_atr14_m2_vz1_cl0.7_cs0.3,base,next_close,50,14,2.0,1.0,0.7,0.3,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,32,35.1783295711061,0.34375,-0.19725834060782066,-6.312266899450261,-7.958788391256283,6,0.680345469920288,1.221353278120671,-0.9403406170846497
1h,n50_atr14_m2_vz1.5_cl0.7_cs0.3,base,next_close,50,14,2.0,1.5,0.7,0.3,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,29,31.880361173814897,0.3448275862068966,-0.2072739269557597,-6.010943881717031,-6.858183566648476,5,0.6569240678241519,1.1509795167491594,-0.9221441604846645
1h,n50_atr14_m2_vz1_cl0.75_cs0.25,base,next_close,50,14,2.0,1.0,0.75,0.25,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,29,31.880361173814897,0.3448275862068966,-0.23496386795351565,-6.8139521706519535,-7.751217878297764,6,0.6306559962745516,1.163484380795313,-0.9709892620318465
1h,n50_atr14_m2_vz1.5_cl0.75_cs0.25,base,next_close,50,14,2.0,1.5,0.75,0.25,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,26,28.5823927765237,0.34615384615384615,-0.25048573665072016,-6.5126291529187235,-6.650613053689957,5,0.5985405148760805,1.0788614351241492,-0.9542577687668273
1h,n50_atr14_m1.5_vz1.5_cl0.7_cs0.3,base,next_close,50,14,1.5,1.5,0.7,0.3,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,46,48.8770909090909,0.32608695652173914,-0.25559659683076774,-11.757443454215316,-11.654632604712726,8,0.5660918873895552,1.0226118022747017,-0.8740845318818014
1h,n50_atr14_m1.2_vz1.5_cl0.7_cs0.3,base,next_close,50,14,1.2,1.5,0.7,0.3,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,52,55.25236363636363,0.3269230769230769,-0.2613559250664659,-13.590508103456225,-12.859444417652867,10,0.5605911888292768,1.0199157034240383,-0.8836878589047107
1h,n50_atr14_m1.2_vz1_cl0.7_cs0.3,base,next_close,50,14,1.2,1.0,0.7,0.3,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,69,73.31563636363636,0.3188405797101449,-0.2633038594769209,-18.167966303907544,-21.31607890584327,10,0.5694197516526224,1.0920991235886133,-0.8977478089969583
1h,n100_atr14_m2_vz2_cl0.8_cs0.2,base,next_close,100,14,2.0,2.0,0.8,0.2,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,8,22.150347441566645,0.375,-0.2678828245288576,-2.1430625962308607,-2.4942195072343787,4,0.5070464153455551,0.7347765530783281,-0.869478451093169
1h,n20_atr14_m1.2_vz2_cl0.7_cs0.3,base,next_close,20,14,1.2,2.0,0.7,0.3,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,72,78.64822429906542,0.3472222222222222,-0.27259266628496226,-19.626671972517283,-20.38080454151445,8,0.6125308882034329,1.2410736701113163,-1.0777343345808552
1h,n50_atr14_m2_vz2_cl0.7_cs0.3,base,next_close,50,14,2.0,2.0,0.7,0.3,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,25,27.483069977426638,0.32,-0.2730603804640737,-6.826509511601843,-7.673749196533288,5,0.5537387310958761,1.0588255631199708,-0.8998302362683299
