symbol,timeframe,param_id,friction_case,entry_mode,signal_time,entry_time,entry_time_semantic,exit_time,side,raw_entry,entry,raw_exit,exit,stop,target,atr_at_signal,risk,room_structure,room_reference_price,room_to_target_r,available_room_r,ema_200_at_signal,ema_200_slope_at_signal,ema_distance_atr_at_signal,gross_r,fee_r,net_r,exit_reason,taker_fee_bps_per_side,slippage_bps_per_side,n,atr_period,atr_mult,vol_z_min,close_loc_long_min,close_loc_short_max,stop_atr_mult,target_r,max_hold_bars,use_room_filter,room_lookback,min_room_r,use_trend_filter,ema_period,ema_slope_lookback,use_overextension_filter,max_ema_distance_atr
BTCUSDT,1h,n20_atr14_m1.2_vz1.5_cl0.75_cs0.25,base,next_close,2025-06-04 11:00:00+00:00,2025-06-04 13:00:00+00:00,next_candle_close,2025-06-04 15:00:00+00:00,short,104988.1,104935.60595000001,105495.35237857144,105548.10005476071,105495.35237857144,103816.11309285715,373.16428571428696,559.7464285714304,103600.6,105044.1,2.578846288816994,2.578846288816994,105770.35705524094,-39.331605144718196,1.9462126549725312,-1.094234949071296,0.15041361249375115,-1.244648561565047,stop,4.0,5.0,20,14,1.2,1.5,0.75,0.25,1.5,2.0,12,True,50,1.5,True,200,10,True,3.0
LTCUSDT,1h,n20_atr14_m1.2_vz1.5_cl0.75_cs0.25,base,next_close,2025-06-08 06:00:00+00:00,2025-06-08 08:00:00+00:00,next_candle_close,2025-06-08 13:00:00+00:00,short,87.16,87.11642,87.73677714285715,87.78064553142858,87.73677714285715,85.87570571428571,0.41357142857142903,0.6203571428571435,83.6,87.77,6.721934369602759,6.721934369602759,88.61424602998011,-0.03695636704502192,2.041354822058992,-1.0707147311456509,0.11277185572550363,-1.1834865868711546,stop,4.0,5.0,20,14,1.2,1.5,0.75,0.25,1.5,2.0,12,True,50,1.5,True,200,10,True,3.0
ETHUSDT,1h,n20_atr14_m1.2_vz1.5_cl0.75_cs0.25,base,next_close,2025-07-02 14:00:00+00:00,2025-07-02 16:00:00+00:00,next_candle_close,2025-07-02 16:00:00+00:00,long,2497.74,2498.9888699999997,2548.1181557142854,2546.8440966364283,2474.424227142857,2548.1181557142854,16.376428571428505,24.564642857142758,2521.59,2468.34,2.167749814629049,2.167749814629049,2440.965456262358,0.809104789695084,1.6715820313472707,1.9481344351201728,0.08216415758178598,1.8659702775383868,target,4.0,5.0,20,14,1.2,1.5,0.75,0.25,1.5,2.0,12,True,50,1.5,True,200,10,True,3.0
SOLUSDT,1h,n20_atr14_m1.2_vz1.5_cl0.75_cs0.25,base,next_close,2025-07-02 15:00:00+00:00,2025-07-02 17:00:00+00:00,next_candle_close,2025-07-02 17:00:00+00:00,long,153.06,153.13653,151.21010142857142,151.13449637785715,151.21010142857142,156.98938714285714,1.2842857142857136,1.9264285714285703,160.0,151.22,4.5576566555432,4.5576566555432,147.59161961512348,0.17441556525224655,2.825212757968372,-1.0392462258064468,0.06317826280000004,-1.1024244886064467,stop,4.0,5.0,20,14,1.2,1.5,0.75,0.25,1.5,2.0,12,True,50,1.5,True,200,10,True,3.0
XRPUSDT,1h,n20_atr14_m1.2_vz1.5_cl0.75_cs0.25,base,next_close,2025-07-02 15:00:00+00:00,2025-07-02 17:00:00+00:00,next_candle_close,2025-07-02 17:00:00+00:00,long,2.255,2.2561275,2.237195357142857,2.2360767594642854,2.237195357142857,2.2939917857142857,0.012621428571428592,0.01893214285714289,2.3269,2.2111,6.116581777023199,6.116581777023199,2.1743079715787026,0.0015074459971291532,2.9150446966506154,-1.059084578381443,0.0949116915789472,-1.1539962699603903,stop,4.0,5.0,20,14,1.2,1.5,0.75,0.25,1.5,2.0,12,True,50,1.5,True,200,10,True,3.0
LINKUSDT,1h,n20_atr14_m1.2_vz1.5_cl0.75_cs0.25,base,next_close,2025-07-02 15:00:00+00:00,2025-07-02 17:00:00+00:00,next_candle_close,2025-07-03 02:00:00+00:00,long,13.656,13.662828,13.49900657142857,13.492257068142857,13.49900657142857,13.990470857142856,0.10921428571428583,0.16382142857142876,13.666,13.359,1.8739917157183346,1.8739917157183346,13.114073339542701,0.0002528376299917312,2.242624752388609,-1.0412003688685365,0.06630411004211896,-1.1075044789106554,stop,4.0,5.0,20,14,1.2,1.5,0.75,0.25,1.5,2.0,12,True,50,1.5,True,200,10,True,3.0
ADAUSDT,1h,n20_atr14_m1.2_vz1.5_cl0.75_cs0.25,base,next_close,2025-08-05 07:00:00+00:00,2025-08-05 09:00:00+00:00,next_candle_close,2025-08-05 09:00:00+00:00,short,0.737,0.7366315,0.7470779285714286,0.7474514675357143,0.7470779285714286,0.7157386428571428,0.006964285714285733,0.0104464285714286,0.7119,0.735,2.2112820512820464,2.2112820512820464,0.7530694803631705,-0.00038022774804735704,2.594592052147547,-1.0357575760683793,0.056826424739828914,-1.0925840008082082,stop,4.0,5.0,20,14,1.2,1.5,0.75,0.25,1.5,2.0,12,True,50,1.5,True,200,10,True,3.0
XRPUSDT,1h,n20_atr14_m1.2_vz1.5_cl0.75_cs0.25,base,next_close,2025-08-05 14:00:00+00:00,2025-08-05 16:00:00+00:00,next_candle_close,2025-08-06 03:00:00+00:00,short,2.9702,2.9687149,2.9129,2.91435645,3.0158791857142857,2.874386328571429,0.031442857142857106,0.04716428571428566,2.8573,2.9752,2.499772830531582,2.499772830531582,3.0334329814248413,-9.186930504734292e-05,1.8520257608990873,1.1525341511434222,0.04989428980766324,1.1026398613357589,time_stop,4.0,5.0,20,14,1.2,1.5,0.75,0.25,1.5,2.0,12,True,50,1.5,True,200,10,True,3.0
SOLUSDT,1h,n20_atr14_m1.2_vz1.5_cl0.75_cs0.25,base,next_close,2025-08-21 15:00:00+00:00,2025-08-21 17:00:00+00:00,next_candle_close,2025-08-22 04:00:00+00:00,short,180.89,180.799555,182.83,182.921415,184.054555,174.289555,2.1699999999999977,3.2549999999999963,175.57,181.57,1.8433179723502324,1.8433179723502324,184.9061601180571,-0.035987349487555775,1.5374009760631853,-0.6518771121351767,0.044696893394777316,-0.6965740055299541,time_stop,4.0,5.0,20,14,1.2,1.5,0.75,0.25,1.5,2.0,12,True,50,1.5,True,200,10,True,3.0
AVAXUSDT,1h,n20_atr14_m1.2_vz1.5_cl0.75_cs0.25,base,next_close,2025-08-31 22:00:00+00:00,2025-09-01 00:00:00+00:00,next_candle_close,2025-09-01 07:00:00+00:00,short,23.381,23.3693095,23.653345214285714,23.665171886892857,23.653345214285714,22.80123807142857,0.18935714285714308,0.2840357142857146,23.094,23.689,2.0948069910725446,2.0948069910725446,24.096436954083227,-0.02108815702978717,2.1516851592475197,-1.0416379772412907,0.06623741877696458,-1.1078753960182552,stop,4.0,5.0,20,14,1.2,1.5,0.75,0.25,1.5,2.0,12,True,50,1.5,True,200,10,True,3.0
