timeframe,param_id,exit_model,friction_case,entry_mode,range_mult,ret_mult,vol_z_min,close_loc_long_min,close_loc_short_max,body_min,require_direction,stop_atr_mult,target_r,max_hold_bars,taker_fee_bps_per_side,slippage_bps_per_side,month,total_trades,trades_per_year,win_rate,ev_per_trade_r,total_ev_r,max_drawdown_r,max_losing_streak,profit_factor,average_win_r,average_loss_r
15m,range1.5_ret1.5_vz1.5_cl0.7_cs0.3_body0.5,model_a,base,next_close,1.5,1.5,1.5,0.7,0.3,0.5,True,1.0,1.5,8,4.0,5.0,2025-05,545,7263.352337514253,0.3853211009174312,-0.34637233131211775,-188.7729205651042,,,0.5616066919714667,1.151565799486333,-1.2853783237529375
15m,range1.5_ret1.5_vz1.5_cl0.7_cs0.3_body0.5,model_a,base,next_close,1.5,1.5,1.5,0.7,0.3,0.5,True,1.0,1.5,8,4.0,5.0,2025-06,688,8417.317515701327,0.3313953488372093,-0.5674352799237573,-390.39547258754504,,,0.3858021899250722,1.075539464266023,-1.3817792835656484
15m,range1.5_ret1.5_vz1.5_cl0.7_cs0.3_body0.5,model_a,base,next_close,1.5,1.5,1.5,0.7,0.3,0.5,True,1.0,1.5,8,4.0,5.0,2025-07,689,8209.003058103975,0.35268505079825835,-0.46023066779199184,-317.0989301086824,,,0.46117962349245534,1.116900801298608,-1.319519786601444
15m,range1.5_ret1.5_vz1.5_cl0.7_cs0.3_body0.5,model_a,base,next_close,1.5,1.5,1.5,0.7,0.3,0.5,True,1.0,1.5,8,4.0,5.0,2025-08,609,7182.6357214934405,0.33169129720853857,-0.477547095411269,-290.8261811054628,,,0.4479377520481436,1.1681853291183615,-1.2943479547601273
15m,range1.5_ret1.5_vz1.5_cl0.7_cs0.3_body0.5,model_a,base,next_close,1.5,1.5,1.5,0.7,0.3,0.5,True,1.0,1.5,8,4.0,5.0,2025-09,625,7638.550017427676,0.368,-0.5183885761776473,-323.9928601110296,,,0.42767282380637245,1.0526279307757422,-1.4331576814922793
15m,range1.5_ret1.5_vz1.5_cl0.7_cs0.3_body0.5,model_a,base,next_close,1.5,1.5,1.5,0.7,0.3,0.5,True,1.0,1.5,8,4.0,5.0,2025-10,604,7188.95315682281,0.3609271523178808,-0.3874358310659615,-234.01124196384075,,,0.5182517503522868,1.154784271684925,-1.2584306041221616
15m,range1.5_ret1.5_vz1.5_cl0.7_cs0.3_body0.5,model_a,base,next_close,1.5,1.5,1.5,0.7,0.3,0.5,True,1.0,1.5,8,4.0,5.0,2025-11,660,8117.236057523675,0.38181818181818183,-0.33495137281110116,-221.06790605532677,,,0.566192959938393,1.1449671488923372,-1.2490186950396955
15m,range1.5_ret1.5_vz1.5_cl0.7_cs0.3_body0.5,model_a,base,next_close,1.5,1.5,1.5,0.7,0.3,0.5,True,1.0,1.5,8,4.0,5.0,2025-12,641,7577.890761968982,0.3494539781591264,-0.49496956377203666,-317.2754903778755,,,0.43446232363599413,1.088125738435696,-1.3453612848620415
15m,range1.5_ret1.5_vz1.5_cl0.7_cs0.3_body0.5,model_a,base,next_close,1.5,1.5,1.5,0.7,0.3,0.5,True,1.0,1.5,8,4.0,5.0,2026-01,707,8498.542338018511,0.2913719943422914,-0.6768569144399541,-478.53783850904756,,,0.31004454886030264,1.043883692428957,-1.384386984330165
15m,range1.5_ret1.5_vz1.5_cl0.7_cs0.3_body0.5,model_a,base,next_close,1.5,1.5,1.5,0.7,0.3,0.5,True,1.0,1.5,8,4.0,5.0,2026-02,683,9037.249811320755,0.39970717423133234,-0.27860379997062384,-190.2863953799361,,,0.6245673163534878,1.159557443904667,-1.2362087257705126
15m,range1.5_ret1.5_vz1.5_cl0.7_cs0.3_body0.5,model_a,base,next_close,1.5,1.5,1.5,0.7,0.3,0.5,True,1.0,1.5,8,4.0,5.0,2026-03,626,7448.274177129284,0.31789137380191695,-0.5515361596428275,-345.2616359364101,,,0.3817574745736157,1.071331617601965,-1.3078609551269347
15m,range1.5_ret1.5_vz1.5_cl0.7_cs0.3_body0.5,model_a,base,next_close,1.5,1.5,1.5,0.7,0.3,0.5,True,1.0,1.5,8,4.0,5.0,2026-04,608,7562.5796381695645,0.2878289473684211,-0.7286686444755465,-443.03053584113223,,,0.28563113811662966,1.0122286992433143,-1.4322645686113447
15m,range1.5_ret1.5_vz1.5_cl0.7_cs0.3_body0.5,model_a,base,next_close,1.5,1.5,1.5,0.7,0.3,0.5,True,1.0,1.5,8,4.0,5.0,2026-05,46,5740.014234875444,0.41304347826086957,-0.5812111338746465,-26.735712158233742,,,0.36217493408844936,0.7990150563567349,-1.5524814158893223
15m,range1.5_ret1.5_vz1.5_cl0.7_cs0.3_body0.65,model_a,base,next_close,1.5,1.5,1.5,0.7,0.3,0.65,True,1.0,1.5,8,4.0,5.0,2025-05,453,6095.161933998465,0.37748344370860926,-0.3753629923902842,-170.03943555279875,,,0.532524500573418,1.132750555274887,-1.2898573776766116
