timeframe,param_id,exit_model,friction_case,entry_mode,range_mult,ret_mult,vol_z_min,close_loc_long_min,close_loc_short_max,body_min,require_direction,stop_atr_mult,target_r,max_hold_bars,taker_fee_bps_per_side,slippage_bps_per_side,symbol,total_trades,trades_per_year,win_rate,ev_per_trade_r,total_ev_r,max_drawdown_r,max_losing_streak,profit_factor,average_win_r,average_loss_r
15m,range1.5_ret1.5_vz1.5_cl0.7_cs0.3_body0.5,model_a,base,next_close,1.5,1.5,1.5,0.7,0.3,0.5,True,1.0,1.5,8,4.0,5.0,ADAUSDT,800,802.7702257962968,0.36625,-0.3456798191883646,-276.5438553506917,,,0.5500466238722325,1.1537942793695768,-1.2122398011952225
15m,range1.5_ret1.5_vz1.5_cl0.7_cs0.3_body0.5,model_a,base,next_close,1.5,1.5,1.5,0.7,0.3,0.5,True,1.0,1.5,8,4.0,5.0,AVAXUSDT,881,883.1156089193825,0.37003405221339386,-0.3491084225779118,-307.5645202911403,,,0.5532124869911637,1.1681795052333974,-1.2403442144094194
15m,range1.5_ret1.5_vz1.5_cl0.7_cs0.3_body0.5,model_a,base,next_close,1.5,1.5,1.5,0.7,0.3,0.5,True,1.0,1.5,8,4.0,5.0,BNBUSDT,880,885.530779164873,0.3034090909090909,-0.725374803234373,-638.3298268462482,,,0.2956014071565645,1.003279397285893,-1.4783122771967077
15m,range1.5_ret1.5_vz1.5_cl0.7_cs0.3_body0.5,model_a,base,next_close,1.5,1.5,1.5,0.7,0.3,0.5,True,1.0,1.5,8,4.0,5.0,BTCUSDT,918,920.9943347639485,0.2962962962962963,-0.8554997865761381,-785.3488040768948,,,0.23830460171117548,0.9033265597006693,-1.5960582481663728
15m,range1.5_ret1.5_vz1.5_cl0.7_cs0.3_body0.5,model_a,base,next_close,1.5,1.5,1.5,0.7,0.3,0.5,True,1.0,1.5,8,4.0,5.0,ETHUSDT,857,859.7215689640375,0.3442240373395566,-0.46429409496481305,-397.9000393848448,,,0.45398657177391705,1.1214803019753818,-1.296684570227015
15m,range1.5_ret1.5_vz1.5_cl0.7_cs0.3_body0.5,model_a,base,next_close,1.5,1.5,1.5,0.7,0.3,0.5,True,1.0,1.5,8,4.0,5.0,LINKUSDT,823,825.7789732730499,0.3669501822600243,-0.35639350033455586,-293.31185077533945,,,0.5459923654916656,1.1680087102543373,-1.2400201176048933
15m,range1.5_ret1.5_vz1.5_cl0.7_cs0.3_body0.5,model_a,base,next_close,1.5,1.5,1.5,0.7,0.3,0.5,True,1.0,1.5,8,4.0,5.0,LTCUSDT,842,844.0702155640688,0.3646080760095012,-0.41089962409201247,-345.9774834854745,,,0.4978425002397084,1.1172785877620293,-1.2878168409876962
15m,range1.5_ret1.5_vz1.5_cl0.7_cs0.3_body0.5,model_a,base,next_close,1.5,1.5,1.5,0.7,0.3,0.5,True,1.0,1.5,8,4.0,5.0,SOLUSDT,853,855.7823175965665,0.3481828839390387,-0.4051674580938029,-345.60784175401386,,,0.49855594245224544,1.1569605396460543,-1.2396135288289425
15m,range1.5_ret1.5_vz1.5_cl0.7_cs0.3_body0.5,model_a,base,next_close,1.5,1.5,1.5,0.7,0.3,0.5,True,1.0,1.5,8,4.0,5.0,XRPUSDT,877,879.2065416285453,0.36488027366020526,-0.42954264393954283,-376.7088987349791,,,0.48516643423346933,1.1093786255415115,-1.3136625833182456
15m,range1.5_ret1.5_vz1.5_cl0.7_cs0.3_body0.65,model_a,base,next_close,1.5,1.5,1.5,0.7,0.3,0.65,True,1.0,1.5,8,4.0,5.0,ADAUSDT,672,674.3269896688894,0.36607142857142855,-0.347274654612362,-233.36856789950727,,,0.5502883522477457,1.1608161407941893,-1.2181439871710746
