symbol,timeframe,rows,expected_rows,missing_rows,duplicate_rows,first_timestamp,last_timestamp,large_gap_count,max_gap_minutes,zero_volume_rows,bad_ohlc_rows
BTCUSDT,15m,35040,35040,0,0,2025-05-04T00:00:00+00:00,2026-05-03T23:45:00+00:00,0,15.0,0,0
ETHUSDT,15m,35040,35040,0,0,2025-05-04T00:00:00+00:00,2026-05-03T23:45:00+00:00,0,15.0,0,0
SOLUSDT,15m,35040,35040,0,0,2025-05-04T00:00:00+00:00,2026-05-03T23:45:00+00:00,0,15.0,0,0
BNBUSDT,15m,35040,35040,0,0,2025-05-04T00:00:00+00:00,2026-05-03T23:45:00+00:00,0,15.0,0,0
XRPUSDT,15m,35040,35040,0,0,2025-05-04T00:00:00+00:00,2026-05-03T23:45:00+00:00,0,15.0,0,0
ADAUSDT,15m,35040,35040,0,0,2025-05-04T00:00:00+00:00,2026-05-03T23:45:00+00:00,0,15.0,0,0
AVAXUSDT,15m,35040,35040,0,0,2025-05-04T00:00:00+00:00,2026-05-03T23:45:00+00:00,0,15.0,0,0
LINKUSDT,15m,35040,35040,0,0,2025-05-04T00:00:00+00:00,2026-05-03T23:45:00+00:00,0,15.0,0,0
LTCUSDT,15m,35040,35040,0,0,2025-05-04T00:00:00+00:00,2026-05-03T23:45:00+00:00,0,15.0,0,0
BTCUSDT,1h,8760,8760,0,0,2025-05-04T00:00:00+00:00,2026-05-03T23:00:00+00:00,0,60.0,0,0
ETHUSDT,1h,8760,8760,0,0,2025-05-04T00:00:00+00:00,2026-05-03T23:00:00+00:00,0,60.0,0,0
SOLUSDT,1h,8760,8760,0,0,2025-05-04T00:00:00+00:00,2026-05-03T23:00:00+00:00,0,60.0,0,0
BNBUSDT,1h,8760,8760,0,0,2025-05-04T00:00:00+00:00,2026-05-03T23:00:00+00:00,0,60.0,0,0
XRPUSDT,1h,8760,8760,0,0,2025-05-04T00:00:00+00:00,2026-05-03T23:00:00+00:00,0,60.0,0,0
ADAUSDT,1h,8760,8760,0,0,2025-05-04T00:00:00+00:00,2026-05-03T23:00:00+00:00,0,60.0,0,0
AVAXUSDT,1h,8760,8760,0,0,2025-05-04T00:00:00+00:00,2026-05-03T23:00:00+00:00,0,60.0,0,0
LINKUSDT,1h,8760,8760,0,0,2025-05-04T00:00:00+00:00,2026-05-03T23:00:00+00:00,0,60.0,0,0
LTCUSDT,1h,8760,8760,0,0,2025-05-04T00:00:00+00:00,2026-05-03T23:00:00+00:00,0,60.0,0,0
