timeframe,param_id,exit_model,friction_case,range_mult,ret_mult,vol_z_min,close_loc_long_min,close_loc_short_max,body_min,require_direction,stop_atr_mult,target_r,total_trades_next_open,ev_per_trade_r_next_open,total_ev_r_next_open,max_drawdown_r_next_open,profit_factor_next_open,total_trades_next_close,ev_per_trade_r_next_close,total_ev_r_next_close,max_drawdown_r_next_close,profit_factor_next_close,ev_delta_close_minus_open_r,trade_delta_close_minus_open
15m,range1.5_ret1.5_vz1.5_cl0.7_cs0.3_body0.5,model_a,base,1.5,1.5,1.5,0.7,0.3,0.5,True,1.0,1.5,8321,-0.49536913813171346,-4121.966598393988,-4120.729570916855,0.4410080147129759,7731,-0.4872970017720381,-3767.293120699627,-3766.119597660066,0.4398043884603299,0.008072136359675353,-590
15m,range1.5_ret1.5_vz1.5_cl0.7_cs0.3_body0.5,model_a,stress,1.5,1.5,1.5,0.7,0.3,0.5,True,1.0,1.5,8372,-1.0053084405278316,-8416.442264099007,-8414.837620307995,0.19578214235950214,7796,-0.9989051733644245,-7787.464731549054,-7785.858355625261,0.19177547207318488,0.0064032671634071114,-576
15m,range1.5_ret1.5_vz1.5_cl0.7_cs0.3_body0.5,model_b,base,1.5,1.5,1.5,0.7,0.3,0.5,True,1.2,2.0,7789,-0.38688202030937807,-3013.424056189746,-3016.3398804451176,0.5577841717901384,7325,-0.37419391956482906,-2740.970460812373,-2742.2085090575288,0.5635148038170136,0.012688100744549013,-464
15m,range1.5_ret1.5_vz1.5_cl0.7_cs0.3_body0.5,model_b,stress,1.5,1.5,1.5,0.7,0.3,0.5,True,1.2,2.0,7906,-0.8248934645565917,-6521.607730784414,-6520.103560825245,0.29920231405024467,7404,-0.814037800650815,-6027.135876018634,-6025.630262615447,0.2977262089849602,0.010855663905776747,-502
15m,range1.5_ret1.5_vz1.5_cl0.7_cs0.3_body0.65,model_a,base,1.5,1.5,1.5,0.7,0.3,0.65,True,1.0,1.5,6977,-0.4854304450392159,-3386.8482150386094,-3385.6111875614633,0.44939953769022656,6564,-0.4984896576818627,-3272.0861130237467,-3271.8457308754637,0.43117016546873466,-0.013059212642646811,-413
15m,range1.5_ret1.5_vz1.5_cl0.7_cs0.3_body0.65,model_a,stress,1.5,1.5,1.5,0.7,0.3,0.65,True,1.0,1.5,7007,-0.9947599949566361,-6970.283284661149,-6968.678640870131,0.19982083723940278,6610,-1.0088572576161225,-6668.54647284257,-6666.940096918778,0.18831214893732953,-0.01409726265948641,-397
15m,range1.5_ret1.5_vz1.5_cl0.7_cs0.3_body0.65,model_b,base,1.5,1.5,1.5,0.7,0.3,0.65,True,1.2,2.0,6624,-0.36974741536724914,-2449.2068793926583,-2453.478035490006,0.574234458861106,6271,-0.3773914312785228,-2366.6216655476164,-2369.214840053253,0.5602339523325333,-0.007644015911273672,-353
15m,range1.5_ret1.5_vz1.5_cl0.7_cs0.3_body0.65,model_b,stress,1.5,1.5,1.5,0.7,0.3,0.65,True,1.2,2.0,6702,-0.8082197170504268,-5416.68854367196,-5415.184373712791,0.3082246547276483,6336,-0.8165588447482925,-5173.716840325182,-5172.2112269220115,0.29654786869373634,-0.008339127697865711,-366
15m,range1.5_ret1.5_vz1.5_cl0.8_cs0.2_body0.5,model_a,base,1.5,1.5,1.5,0.8,0.2,0.5,True,1.0,1.5,6257,-0.47795347353527623,-2990.5548839102235,-2989.317856433076,0.4543008497093188,5904,-0.47506891999207884,-2804.8069036332336,-2803.503611091008,0.4495828226158715,0.002884553543197388,-353
15m,range1.5_ret1.5_vz1.5_cl0.8_cs0.2_body0.5,model_a,stress,1.5,1.5,1.5,0.8,0.2,0.5,True,1.0,1.5,6271,-0.9863669900879273,-6185.507394841392,-6183.902751050393,0.20255342126857073,5931,-0.9765170728504597,-5791.722759076077,-5790.116383152293,0.20019879024523995,0.009849917237467531,-340
