timeframe,param_id,exit_model,friction_case,entry_mode,range_mult,ret_mult,vol_z_min,close_loc_long_min,close_loc_short_max,body_min,require_direction,stop_atr_mult,target_r,max_hold_bars,taker_fee_bps_per_side,slippage_bps_per_side,total_trades,trades_per_year,win_rate,ev_per_trade_r,total_ev_r,max_drawdown_r,max_losing_streak,profit_factor,average_win_r,average_loss_r,best_symbol_ev_share,best_symbol_total_ev_r,best_month_ev_share,best_month_total_ev_r
15m,range1.5_ret1.5_vz1.5_cl0.8_cs0.2_body0.5,model_a,base,next_close,1.5,1.5,1.5,0.8,0.2,0.5,True,1.0,1.5,8,4.0,5.0,5904,5917.501029041848,0.350440379403794,-0.47506891999207884,-2804.8069036332336,-2803.503611091008,31,0.4495828226158715,1.1072870169194897,-1.3287571686152955,,-465.8881999090804,,-280.3004082558899
15m,range2_ret2_vz2_cl0.8_cs0.2_body0.5,model_a,base,next_close,2.0,2.0,2.0,0.8,0.2,0.5,True,1.0,1.5,8,4.0,5.0,3458,3466.105768681036,0.3548293811451706,-0.4762044416280288,-1646.7149591497234,-1648.9488478900173,28,0.45326489435244455,1.11262545422691,-1.3500252763272713,,-275.04430316657624,,-227.77192086629125
15m,range1.5_ret1.5_vz2_cl0.8_cs0.2_body0.5,model_a,base,next_close,1.5,1.5,2.0,0.8,0.2,0.5,True,1.0,1.5,8,4.0,5.0,4719,4730.0616316963005,0.34901462174189446,-0.47804197337435494,-2255.880072353581,-2256.383039347871,37,0.44783087619752315,1.1108727761801873,-1.3299113068757649,,-372.83536948389843,,-182.91663746982374
15m,range1.5_ret1.5_vz1.5_cl0.8_cs0.2_body0.65,model_a,base,next_close,1.5,1.5,1.5,0.8,0.2,0.65,True,1.0,1.5,8,4.0,5.0,5218,5229.932311914018,0.3499425067075508,-0.47854730027721165,-2497.0598128464903,-2495.7565203042695,30,0.44676177689450164,1.1043125401171079,-1.330641070489484,,-236.2925344727016,,-139.44331247505667
15m,range1.5_ret1.5_vz2_cl0.8_cs0.2_body0.65,model_a,base,next_close,1.5,1.5,2.0,0.8,0.2,0.65,True,1.0,1.5,8,4.0,5.0,4198,4207.840375050026,0.3492139113863745,-0.481479787076116,-2021.2521461455349,-2023.181444612388,32,0.44569455075757713,1.1085995550322034,-1.3347214838297017,,-137.19026265630552,,-229.80306140064351
15m,range2_ret2_vz2.5_cl0.8_cs0.2_body0.5,model_a,base,next_close,2.0,2.0,2.5,0.8,0.2,0.5,True,1.0,1.5,8,4.0,5.0,2905,2911.809502029615,0.353184165232358,-0.4815553431174185,-1398.9182717561007,-1404.9478508243972,26,0.4493555055586096,1.1126632592893109,-1.3520546970659573,,-235.60451600553932,,-54.52210486814554
15m,range1.5_ret1.5_vz2.5_cl0.8_cs0.2_body0.5,model_a,base,next_close,1.5,1.5,2.5,0.8,0.2,0.5,True,1.0,1.5,8,4.0,5.0,3773,3781.8441484191867,0.34799893983567454,-0.4832929782098185,-1823.4644067856452,-1822.2088495917453,40,0.44402513788683357,1.1091364206055063,-1.3332359866019006,,-112.20513804340187,,-216.8013316285626
15m,range1.5_ret1.5_vz2.5_cl0.8_cs0.2_body0.65,model_a,base,next_close,1.5,1.5,2.5,0.8,0.2,0.65,True,1.0,1.5,8,4.0,5.0,3360,3367.876050540278,0.34851190476190474,-0.48653176110732776,-1634.7467173206212,-1635.2341111205242,35,0.4420255023027365,1.105927240118712,-1.3384136662858077,,-104.01458086190846,,-86.67311537626921
15m,range2_ret2_vz1.5_cl0.8_cs0.2_body0.5,model_a,base,next_close,2.0,2.0,1.5,0.8,0.2,0.5,True,1.0,1.5,8,4.0,5.0,4052,4061.4981419015494,0.351431391905232,-0.48662582408847777,-1971.807839206512,-1972.1476835969133,29,0.4448619428863146,1.1096316936914954,-1.3515690148490112,,-326.87375567827854,,-84.41437464653168
15m,range1.5_ret1.5_vz1.5_cl0.7_cs0.3_body0.5,model_a,base,next_close,1.5,1.5,1.5,0.7,0.3,0.5,True,1.0,1.5,8,4.0,5.0,7731,7748.678938943517,0.3465269693441987,-0.4872970017720381,-3767.293120699627,-3766.119597660066,26,0.4398043884603299,1.1040190191660848,-1.3311480746329312,,-307.5645202911403,,-188.7729205651042
15m,range2_ret2_vz2_cl0.8_cs0.2_body0.65,model_a,base,next_close,2.0,2.0,2.0,0.8,0.2,0.65,True,1.0,1.5,8,4.0,5.0,3073,3080.203304556629,0.3524243410348194,-0.48800480516054523,-1499.6387662583554,-1501.856537078872,28,0.44454530072108095,1.1082189708665755,-1.356703473219526,,-127.75300440913266,,-67.9676204353156
15m,range3_ret3_vz2_cl0.8_cs0.2_body0.65,model_a,base,next_close,3.0,3.0,2.0,0.8,0.2,0.65,True,1.0,1.5,8,4.0,5.0,1162,1165.6234587326562,0.36919104991394147,-0.48990188189839184,-569.2659867659313,-572.5660448461929,30,0.454392076070469,1.1051164000198874,-1.423411899555884,,-28.316589991801507,,-22.259896615955213
15m,range2.5_ret2.5_vz2.5_cl0.8_cs0.2_body0.5,model_a,base,next_close,2.5,2.5,2.5,0.8,0.2,0.5,True,1.0,1.5,8,4.0,5.0,1962,1968.118094693177,0.35881753312945974,-0.4899488720814838,-961.2796870238712,-971.4864368480598,22,0.44741093307564,1.1055576918120056,-1.3828237695226735,,-163.79692877906444,,-32.45011088093907
15m,range2.5_ret2.5_vz2_cl0.8_cs0.2_body0.5,model_a,base,next_close,2.5,2.5,2.0,0.8,0.2,0.5,True,1.0,1.5,8,4.0,5.0,2206,2212.8789586611356,0.3594741613780598,-0.49054626460054596,-1082.1450597088044,-1085.3481333251984,22,0.44701068523415793,1.1030963781865495,-1.384926035110218,,-98.95761716988751,,-91.08718351518405
15m,range2_ret2_vz2.5_cl0.8_cs0.2_body0.65,model_a,base,next_close,2.0,2.0,2.5,0.8,0.2,0.65,True,1.0,1.5,8,4.0,5.0,2587,2593.0640901034817,0.35175879396984927,-0.4909809165222753,-1270.1676310431262,-1274.8273998682575,26,0.44251950580076266,1.1079556869768965,-1.3586209339249264,,-226.63854540804434,,-200.90961470196143
15m,range2.5_ret2.5_vz1.5_cl0.8_cs0.2_body0.5,model_a,base,next_close,2.5,2.5,1.5,0.8,0.2,0.5,True,1.0,1.5,8,4.0,5.0,2422,2429.5525103704763,0.36044591246903385,-0.4912831727384185,-1189.8878443724495,-1191.85007524291,22,0.4471174516621279,1.1022510566823227,-1.3893821929348722,,-56.05248913447426,,-121.01062845930133
