symbol,timeframe,param_id,exit_model,friction_case,entry_mode,signal_time,entry_time,exit_time,side,raw_entry,entry,raw_exit,exit,stop,target,atr_at_signal,risk,volume_z,candle_return,body_pct,close_location,gross_r,fee_r,net_r,exit_reason,range_mult,ret_mult,vol_z_min,close_loc_long_min,close_loc_short_max,body_min,atr_period,volume_z_lookback,require_direction,stop_atr_mult,target_r,max_hold_bars,taker_fee_bps_per_side,slippage_bps_per_side
AVAXUSDT,15m,range1.5_ret1.5_vz1.5_cl0.7_cs0.3_body0.5,model_a,base,next_close,2025-05-04 13:30:00+00:00,2025-05-04 13:45:00+00:00,2025-05-04 14:00:00+00:00,short,19.895,19.8850525,19.9705525,19.98053777625,19.9705525,19.7568025,0.08549999999999994,0.08549999999999994,5.01540577572635,-0.008000800080008008,0.8839779005524824,0.09944751381215795,-1.1167868567251344,0.18650568550292412,-1.3032925422280586,stop,1.5,1.5,1.5,0.7,0.3,0.5,14,50,True,1.0,1.5,8,4.0,5.0
LTCUSDT,15m,range1.5_ret1.5_vz1.5_cl0.7_cs0.3_body0.5,model_a,base,next_close,2025-05-04 14:30:00+00:00,2025-05-04 14:45:00+00:00,2025-05-04 15:30:00+00:00,long,86.59,86.633295,86.36972357142858,86.32653870964288,86.36972357142858,87.02865214285715,0.2635714285714294,0.2635714285714294,3.123292483892465,0.002545412472521102,0.5499999999999894,0.8000000000000071,-1.1638450040649828,0.26248646850243823,-1.426331472567421,stop,1.5,1.5,1.5,0.7,0.3,0.5,14,50,True,1.0,1.5,8,4.0,5.0
XRPUSDT,15m,range1.5_ret1.5_vz1.5_cl0.7_cs0.3_body0.5,model_a,base,next_close,2025-05-04 15:00:00+00:00,2025-05-04 15:15:00+00:00,2025-05-04 15:30:00+00:00,long,2.1961,2.19719805,2.191040907142857,2.1899453866892857,2.191040907142857,2.2064337642857144,0.006157142857142845,0.006157142857142845,1.9242107122905487,0.004065226328050122,0.8811881188118943,0.9603960396039648,-1.1779267558004474,0.2850116385784228,-1.4629383943788703,stop,1.5,1.5,1.5,0.7,0.3,0.5,14,50,True,1.0,1.5,8,4.0,5.0
ETHUSDT,15m,range1.5_ret1.5_vz1.5_cl0.7_cs0.3_body0.5,model_a,base,next_close,2025-05-04 20:15:00+00:00,2025-05-04 20:30:00+00:00,2025-05-04 21:00:00+00:00,long,1835.32,1836.2376599999998,1832.0098028571426,1831.093797955714,1832.0098028571426,1842.5794457142856,4.227857142857196,4.227857142857196,3.3252211601737995,0.005596362364463104,0.7431059506531226,0.8722786647314953,-1.2166593786112327,0.34696834202655413,-1.5636277206377869,stop,1.5,1.5,1.5,0.7,0.3,0.5,14,50,True,1.0,1.5,8,4.0,5.0
AVAXUSDT,15m,range1.5_ret1.5_vz1.5_cl0.7_cs0.3_body0.5,model_a,base,next_close,2025-05-04 22:00:00+00:00,2025-05-04 22:15:00+00:00,2025-05-04 22:30:00+00:00,short,19.983,19.973008500000002,20.0440085,20.05403050425,20.0440085,19.866508500000002,0.07099999999999922,0.07099999999999922,1.6551145639446054,-0.006495760400654546,0.8036809815950922,0.17791411042944705,-1.1411549894366113,0.22550444509436868,-1.36665943453098,stop,1.5,1.5,1.5,0.7,0.3,0.5,14,50,True,1.0,1.5,8,4.0,5.0
BTCUSDT,15m,range1.5_ret1.5_vz1.5_cl0.7_cs0.3_body0.5,model_a,base,next_close,2025-05-04 22:00:00+00:00,2025-05-04 22:15:00+00:00,2025-05-04 22:30:00+00:00,short,95167.8,95120.2161,94970.60181428572,95018.08711519286,95219.95895714287,94970.60181428572,99.74285714285777,99.74285714285777,11.004487025639698,-0.00498626893642301,0.7882294594147917,0.17804595800958525,1.0239227923947591,0.7625139630514705,0.2614088293432887,target,1.5,1.5,1.5,0.7,0.3,0.5,14,50,True,1.0,1.5,8,4.0,5.0
ETHUSDT,15m,range1.5_ret1.5_vz1.5_cl0.7_cs0.3_body0.5,model_a,base,next_close,2025-05-04 22:00:00+00:00,2025-05-04 22:15:00+00:00,2025-05-04 22:30:00+00:00,short,1824.48,1823.5677600000001,1816.9388314285716,1817.8473008442857,1827.9870457142858,1816.9388314285716,4.419285714285739,4.419285714285739,4.036764906001126,-0.006765081061043862,0.8618055555555558,0.1312500000000061,1.2944307124616496,0.32959308777643265,0.964837624685217,target,1.5,1.5,1.5,0.7,0.3,0.5,14,50,True,1.0,1.5,8,4.0,5.0
LINKUSDT,15m,range1.5_ret1.5_vz1.5_cl0.7_cs0.3_body0.5,model_a,base,next_close,2025-05-04 22:00:00+00:00,2025-05-04 22:15:00+00:00,2025-05-04 22:30:00+00:00,short,13.968,13.961016,13.89383742857143,13.900784347285715,14.005801714285715,13.89383742857143,0.04478571428571408,0.04478571428571408,2.7825820338553195,-0.009963256076879595,0.84431137724551,0.11377245508981061,1.3448853875598232,0.24884542574928345,1.0960399618105399,target,1.5,1.5,1.5,0.7,0.3,0.5,14,50,True,1.0,1.5,8,4.0,5.0
LTCUSDT,15m,range1.5_ret1.5_vz1.5_cl0.7_cs0.3_body0.5,model_a,base,next_close,2025-05-04 22:00:00+00:00,2025-05-04 22:15:00+00:00,2025-05-04 22:30:00+00:00,short,85.46,85.41727,85.67084142857144,85.71367684928572,85.67084142857144,85.03691285714285,0.2535714285714294,0.2535714285714294,5.043050803667076,-0.007766315057378019,0.9305555555555594,0.0694444444444406,-1.1689284197183152,0.26995304291718225,-1.4388814626354973,stop,1.5,1.5,1.5,0.7,0.3,0.5,14,50,True,1.0,1.5,8,4.0,5.0
SOLUSDT,15m,range1.5_ret1.5_vz1.5_cl0.7_cs0.3_body0.5,model_a,base,next_close,2025-05-04 22:00:00+00:00,2025-05-04 22:15:00+00:00,2025-05-04 22:30:00+00:00,short,146.04,145.96698,145.25448,145.32710724,146.44198,145.25448,0.4750000000000004,0.4750000000000004,4.282729619350479,-0.004624906481670453,0.7727272727272845,0.18181818181817888,1.347100547368426,0.24530028399157874,1.1018002633768473,target,1.5,1.5,1.5,0.7,0.3,0.5,14,50,True,1.0,1.5,8,4.0,5.0
