friction_case,entry_mode,symbol,trades,total_r,ev_r
base,next_close,ADAUSDT,598,-80.93083782726349,-0.13533584920947073
base,next_close,AVAXUSDT,630,-62.94979699404716,-0.09992031268896374
base,next_close,BNBUSDT,599,-162.42943974794073,-0.2711676790449762
base,next_close,BTCUSDT,553,-139.8937929028596,-0.25297250072849836
base,next_close,DOGEUSDT,577,-59.30220753961703,-0.10277678949673662
base,next_close,ETHUSDT,596,-122.11092116594261,-0.2048840959160111
base,next_close,LINKUSDT,604,-81.48430958203886,-0.1349077973212564
base,next_close,SOLUSDT,656,-69.7853531295186,-0.10638011147792469
base,next_close,XRPUSDT,546,-91.38869244747332,-0.16737855759610498
base,next_open,ADAUSDT,599,-52.09205129405911,-0.08696502720210202
base,next_open,AVAXUSDT,642,-42.731652871588686,-0.0665602069650914
base,next_open,BNBUSDT,609,-174.56030379866542,-0.2866343247925541
base,next_open,BTCUSDT,560,-147.4342192714626,-0.26327539155618324
base,next_open,DOGEUSDT,589,-64.82505958392986,-0.11005952391159568
base,next_open,ETHUSDT,610,-152.88089669085718,-0.2506244208046839
base,next_open,LINKUSDT,614,-47.02055943321801,-0.07658071568928015
base,next_open,SOLUSDT,661,-107.33218019431317,-0.1623784874346644
base,next_open,XRPUSDT,556,-100.6229341535148,-0.18097650027610576
stress,next_close,ADAUSDT,598,-161.37170475434598,-0.2698523490875351
stress,next_close,AVAXUSDT,630,-142.7889320376143,-0.22664909847240367
stress,next_close,BNBUSDT,599,-298.3897465021332,-0.49814648831741776
stress,next_close,BTCUSDT,553,-276.1653734426583,-0.4993948886847347
stress,next_close,DOGEUSDT,577,-133.95454546623625,-0.23215692455153597
stress,next_close,ETHUSDT,596,-228.84986916978824,-0.383976290553336
stress,next_close,LINKUSDT,604,-160.07101916407743,-0.2650182436491348
stress,next_close,SOLUSDT,656,-151.04411155445962,-0.2302501700525299
stress,next_close,XRPUSDT,546,-179.4216879401572,-0.32861115007354796
stress,next_open,ADAUSDT,599,-132.5173418089425,-0.221230954605914
stress,next_open,AVAXUSDT,642,-123.46330574317741,-0.19231044508283088
stress,next_open,BNBUSDT,609,-312.4844695247155,-0.5131107873969056
stress,next_open,BTCUSDT,560,-285.3865823654322,-0.509618897081129
stress,next_open,DOGEUSDT,589,-141.25633124178006,-0.23982399192152812
stress,next_open,ETHUSDT,610,-261.78093329398973,-0.42914907097375365
stress,next_open,LINKUSDT,614,-126.85426055021401,-0.20660303021207493
stress,next_open,SOLUSDT,661,-189.34410071862362,-0.2864509844457241
stress,next_open,XRPUSDT,556,-190.2458683070295,-0.3421688278903408
