symbol,timeframe,entry_mode,signal_time,entry_time,exit_time,direction,entry,exit,stop,target,exit_reason,gross_r,net_r,fees_bps,slippage_bps,lookback,atr_period,expansion_mult,volume_max_mult,range_max_mult,max_same_dir,stop_atr_mult,target_r,max_hold_bars,fee_bps,stress_fee_bps,stress_slippage_bps,friction_case
BTCUSDT,1h,next_open,2023-01-06 11:00:00+00:00,2023-01-06 12:00:00+00:00,2023-01-06 13:00:00+00:00,short,16731.5,16775.722916666666,16775.722916666666,16665.165625,stop,-0.9999999999999777,-1.5296823856409065,4.0,3.0,24,48,1.5,4.0,3.0,3,1.0,1.5,24,4.0,6.0,8.0,base
BTCUSDT,1h,next_open,2023-01-06 19:00:00+00:00,2023-01-06 20:00:00+00:00,2023-01-06 21:00:00+00:00,long,16932.7,16888.04375,16888.04375,16999.684375,stop,-1.000000000000005,-1.5308502169349274,4.0,3.0,24,48,1.5,4.0,3.0,3,1.0,1.5,24,4.0,6.0,8.0,base
BTCUSDT,1h,next_open,2023-01-08 15:00:00+00:00,2023-01-08 16:00:00+00:00,2023-01-08 17:00:00+00:00,long,16990.9,16962.645833333336,16962.645833333336,17033.28125,stop,-0.9999999999999571,-1.8419027282111284,4.0,3.0,24,48,1.5,4.0,3.0,3,1.0,1.5,24,4.0,6.0,8.0,base
BTCUSDT,1h,next_open,2023-01-10 18:00:00+00:00,2023-01-10 19:00:00+00:00,2023-01-11 03:00:00+00:00,long,17427.6,17366.78958333333,17366.78958333333,17518.815625,stop,-1.0000000000000087,-1.4012246805303457,4.0,3.0,24,48,1.5,4.0,3.0,3,1.0,1.5,24,4.0,6.0,8.0,base
BTCUSDT,1h,next_open,2023-01-13 15:00:00+00:00,2023-01-13 16:00:00+00:00,2023-01-13 21:00:00+00:00,long,19252.6,19498.759374999998,19088.493749999998,19498.759374999998,target,1.4999999999999964,1.3357549453479036,4.0,3.0,24,48,1.5,4.0,3.0,3,1.0,1.5,24,4.0,6.0,8.0,base
BTCUSDT,1h,next_open,2023-01-16 01:00:00+00:00,2023-01-16 02:00:00+00:00,2023-01-16 08:00:00+00:00,long,21193.0,20995.40625,20995.40625,21489.390625,stop,-1.0000000000000016,-1.1501575834255908,4.0,3.0,24,48,1.5,4.0,3.0,3,1.0,1.5,24,4.0,6.0,8.0,base
BTCUSDT,1h,next_open,2023-01-20 16:00:00+00:00,2023-01-20 17:00:00+00:00,2023-01-20 19:00:00+00:00,long,21312.0,21522.65,21171.566666666666,21522.65,target,1.5000000000000113,1.2875376216472934,4.0,3.0,24,48,1.5,4.0,3.0,3,1.0,1.5,24,4.0,6.0,8.0,base
BTCUSDT,1h,next_open,2023-01-21 09:00:00+00:00,2023-01-21 10:00:00+00:00,2023-01-21 11:00:00+00:00,long,23027.6,22871.08958333333,22871.08958333333,23262.365625,stop,-1.0000000000000073,-1.2059839893510889,4.0,3.0,24,48,1.5,4.0,3.0,3,1.0,1.5,24,4.0,6.0,8.0,base
BTCUSDT,1h,next_open,2023-01-22 20:00:00+00:00,2023-01-22 21:00:00+00:00,2023-01-22 22:00:00+00:00,short,22464.3,22686.560416666667,22686.560416666667,22130.909375,stop,-1.0000000000000047,-1.1415007695552373,4.0,3.0,24,48,1.5,4.0,3.0,3,1.0,1.5,24,4.0,6.0,8.0,base
BTCUSDT,1h,next_open,2023-01-24 23:00:00+00:00,2023-01-25 00:00:00+00:00,2023-01-25 01:00:00+00:00,short,22627.5,22368.646875,22800.06875,22368.646875,target,1.5000000000000084,1.3164296838216738,4.0,3.0,24,48,1.5,4.0,3.0,3,1.0,1.5,24,4.0,6.0,8.0,base
BTCUSDT,1h,next_open,2023-01-27 01:00:00+00:00,2023-01-27 02:00:00+00:00,2023-01-27 04:00:00+00:00,short,22639.9,22832.956250000003,22832.956250000003,22350.315625000003,stop,-1.0000000000000067,-1.1641794036712163,4.0,3.0,24,48,1.5,4.0,3.0,3,1.0,1.5,24,4.0,6.0,8.0,base
BTCUSDT,1h,next_open,2023-01-29 18:00:00+00:00,2023-01-29 19:00:00+00:00,2023-01-29 20:00:00+00:00,long,23681.8,23868.884374999998,23557.077083333334,23868.884374999998,target,1.4999999999999882,1.2341745936826516,4.0,3.0,24,48,1.5,4.0,3.0,3,1.0,1.5,24,4.0,6.0,8.0,base
BTCUSDT,1h,next_open,2023-01-30 11:00:00+00:00,2023-01-30 12:00:00+00:00,2023-01-30 14:00:00+00:00,short,23075.2,23217.033333333333,23217.033333333333,22862.45,stop,-0.999999999999991,-1.2277693066979931,4.0,3.0,24,48,1.5,4.0,3.0,3,1.0,1.5,24,4.0,6.0,8.0,base
BTCUSDT,1h,next_open,2023-02-01 20:00:00+00:00,2023-02-01 21:00:00+00:00,2023-02-01 22:00:00+00:00,long,23572.7,23789.965625,23427.85625,23789.965625,target,1.4999999999999976,1.2721559956850033,4.0,3.0,24,48,1.5,4.0,3.0,3,1.0,1.5,24,4.0,6.0,8.0,base
