symbol,timeframe,entry_mode,signal_time,entry_time,exit_time,direction,entry,risk_price,gross_r,fees_bps_per_side,slippage_bps_per_side,friction_r,r_result,exit_reason,params,scenario,equity_r
DOTUSDT,15m,next_open,2025-05-30 16:15:00,2025-05-30 16:30:00,2025-05-30 16:30:00,short,4.135,0.03534999999999997,2.0,4.0,2.0,0.14036775106082047,1.8596322489391794,target,"{""atr_lookback"": 48, ""base_fee_bps_per_side"": 4.0, ""base_slippage_bps_per_side"": 2.0, ""breakout_lookback"": 48, ""cooldown_bars"": 4, ""max_extension_atr_mult"": 1.8, ""max_hold_bars"": 16, ""max_range_atr_mult"": 2.8, ""max_same_direction_bars"": 3, ""min_body_fraction"": 0.55, ""range_expansion_mult"": 1.6, ""range_median_lookback"": 96, ""stop_atr_mult"": 1.2, ""stress_fee_bps_per_side"": 6.0, ""stress_slippage_bps_per_side"": 5.0, ""target_r"": 2.0, ""timeframe"": ""15m"", ""volume_expansion_mult"": 1.4, ""volume_median_lookback"": 96}",base,1.8596322489391794
DOTUSDT,15m,next_open,2025-05-30 16:15:00,2025-05-30 16:30:00,2025-05-30 16:30:00,short,4.135,0.03534999999999997,2.0,6.0,5.0,0.25734087694483754,1.7426591230551625,target,"{""atr_lookback"": 48, ""base_fee_bps_per_side"": 4.0, ""base_slippage_bps_per_side"": 2.0, ""breakout_lookback"": 48, ""cooldown_bars"": 4, ""max_extension_atr_mult"": 1.8, ""max_hold_bars"": 16, ""max_range_atr_mult"": 2.8, ""max_same_direction_bars"": 3, ""min_body_fraction"": 0.55, ""range_expansion_mult"": 1.6, ""range_median_lookback"": 96, ""stop_atr_mult"": 1.2, ""stress_fee_bps_per_side"": 6.0, ""stress_slippage_bps_per_side"": 5.0, ""target_r"": 2.0, ""timeframe"": ""15m"", ""volume_expansion_mult"": 1.4, ""volume_median_lookback"": 96}",stress,3.602291371994342
DOTUSDT,15m,next_close,2025-05-30 16:15:00,2025-05-30 16:45:00,2025-05-30 17:45:00,short,4.095,0.03534999999999997,-1.0,4.0,2.0,0.13900990099009913,-1.1390099009900991,stop,"{""atr_lookback"": 48, ""base_fee_bps_per_side"": 4.0, ""base_slippage_bps_per_side"": 2.0, ""breakout_lookback"": 48, ""cooldown_bars"": 4, ""max_extension_atr_mult"": 1.8, ""max_hold_bars"": 16, ""max_range_atr_mult"": 2.8, ""max_same_direction_bars"": 3, ""min_body_fraction"": 0.55, ""range_expansion_mult"": 1.6, ""range_median_lookback"": 96, ""stop_atr_mult"": 1.2, ""stress_fee_bps_per_side"": 6.0, ""stress_slippage_bps_per_side"": 5.0, ""target_r"": 2.0, ""timeframe"": ""15m"", ""volume_expansion_mult"": 1.4, ""volume_median_lookback"": 96}",base,2.463281471004243
DOTUSDT,15m,next_close,2025-05-30 16:15:00,2025-05-30 16:45:00,2025-05-30 17:45:00,short,4.095,0.03534999999999997,-1.0,6.0,5.0,0.254851485148515,-1.254851485148515,stop,"{""atr_lookback"": 48, ""base_fee_bps_per_side"": 4.0, ""base_slippage_bps_per_side"": 2.0, ""breakout_lookback"": 48, ""cooldown_bars"": 4, ""max_extension_atr_mult"": 1.8, ""max_hold_bars"": 16, ""max_range_atr_mult"": 2.8, ""max_same_direction_bars"": 3, ""min_body_fraction"": 0.55, ""range_expansion_mult"": 1.6, ""range_median_lookback"": 96, ""stop_atr_mult"": 1.2, ""stress_fee_bps_per_side"": 6.0, ""stress_slippage_bps_per_side"": 5.0, ""target_r"": 2.0, ""timeframe"": ""15m"", ""volume_expansion_mult"": 1.4, ""volume_median_lookback"": 96}",stress,1.208429985855728
SUIUSDT,15m,next_open,2025-08-31 22:30:00,2025-08-31 22:45:00,2025-08-31 23:45:00,short,3.2777,0.015717500000000027,2.0,4.0,2.0,0.25024590424685816,1.749754095753142,target,"{""atr_lookback"": 48, ""base_fee_bps_per_side"": 4.0, ""base_slippage_bps_per_side"": 2.0, ""breakout_lookback"": 48, ""cooldown_bars"": 4, ""max_extension_atr_mult"": 1.8, ""max_hold_bars"": 16, ""max_range_atr_mult"": 2.8, ""max_same_direction_bars"": 3, ""min_body_fraction"": 0.55, ""range_expansion_mult"": 1.6, ""range_median_lookback"": 96, ""stop_atr_mult"": 1.2, ""stress_fee_bps_per_side"": 6.0, ""stress_slippage_bps_per_side"": 5.0, ""target_r"": 2.0, ""timeframe"": ""15m"", ""volume_expansion_mult"": 1.4, ""volume_median_lookback"": 96}",base,2.95818408160887
SUIUSDT,15m,next_open,2025-08-31 22:30:00,2025-08-31 22:45:00,2025-08-31 23:45:00,short,3.2777,0.015717500000000027,2.0,6.0,5.0,0.4587841577859066,1.5412158422140934,target,"{""atr_lookback"": 48, ""base_fee_bps_per_side"": 4.0, ""base_slippage_bps_per_side"": 2.0, ""breakout_lookback"": 48, ""cooldown_bars"": 4, ""max_extension_atr_mult"": 1.8, ""max_hold_bars"": 16, ""max_range_atr_mult"": 2.8, ""max_same_direction_bars"": 3, ""min_body_fraction"": 0.55, ""range_expansion_mult"": 1.6, ""range_median_lookback"": 96, ""stop_atr_mult"": 1.2, ""stress_fee_bps_per_side"": 6.0, ""stress_slippage_bps_per_side"": 5.0, ""target_r"": 2.0, ""timeframe"": ""15m"", ""volume_expansion_mult"": 1.4, ""volume_median_lookback"": 96}",stress,4.499399923822963
SUIUSDT,15m,next_close,2025-08-31 22:30:00,2025-08-31 23:00:00,2025-08-31 23:30:00,short,3.2871,0.015717500000000027,2.0,4.0,2.0,0.25096357563225663,1.7490364243677434,target,"{""atr_lookback"": 48, ""base_fee_bps_per_side"": 4.0, ""base_slippage_bps_per_side"": 2.0, ""breakout_lookback"": 48, ""cooldown_bars"": 4, ""max_extension_atr_mult"": 1.8, ""max_hold_bars"": 16, ""max_range_atr_mult"": 2.8, ""max_same_direction_bars"": 3, ""min_body_fraction"": 0.55, ""range_expansion_mult"": 1.6, ""range_median_lookback"": 96, ""stop_atr_mult"": 1.2, ""stress_fee_bps_per_side"": 6.0, ""stress_slippage_bps_per_side"": 5.0, ""target_r"": 2.0, ""timeframe"": ""15m"", ""volume_expansion_mult"": 1.4, ""volume_median_lookback"": 96}",base,6.248436348190706
SUIUSDT,15m,next_close,2025-08-31 22:30:00,2025-08-31 23:00:00,2025-08-31 23:30:00,short,3.2871,0.015717500000000027,2.0,6.0,5.0,0.4600998886591372,1.5399001113408628,target,"{""atr_lookback"": 48, ""base_fee_bps_per_side"": 4.0, ""base_slippage_bps_per_side"": 2.0, ""breakout_lookback"": 48, ""cooldown_bars"": 4, ""max_extension_atr_mult"": 1.8, ""max_hold_bars"": 16, ""max_range_atr_mult"": 2.8, ""max_same_direction_bars"": 3, ""min_body_fraction"": 0.55, ""range_expansion_mult"": 1.6, ""range_median_lookback"": 96, ""stop_atr_mult"": 1.2, ""stress_fee_bps_per_side"": 6.0, ""stress_slippage_bps_per_side"": 5.0, ""target_r"": 2.0, ""timeframe"": ""15m"", ""volume_expansion_mult"": 1.4, ""volume_median_lookback"": 96}",stress,7.788336459531569
DOTUSDT,15m,next_open,2025-09-23 17:30:00,2025-09-23 17:45:00,2025-09-23 21:30:00,short,3.981,0.02572500000000002,-1.0,4.0,2.0,0.1857026239067054,-1.1857026239067054,stop,"{""atr_lookback"": 48, ""base_fee_bps_per_side"": 4.0, ""base_slippage_bps_per_side"": 2.0, ""breakout_lookback"": 48, ""cooldown_bars"": 4, ""max_extension_atr_mult"": 1.8, ""max_hold_bars"": 16, ""max_range_atr_mult"": 2.8, ""max_same_direction_bars"": 3, ""min_body_fraction"": 0.55, ""range_expansion_mult"": 1.6, ""range_median_lookback"": 96, ""stop_atr_mult"": 1.2, ""stress_fee_bps_per_side"": 6.0, ""stress_slippage_bps_per_side"": 5.0, ""target_r"": 2.0, ""timeframe"": ""15m"", ""volume_expansion_mult"": 1.4, ""volume_median_lookback"": 96}",base,6.602633835624864
DOTUSDT,15m,next_open,2025-09-23 17:30:00,2025-09-23 17:45:00,2025-09-23 21:30:00,short,3.981,0.02572500000000002,-1.0,6.0,5.0,0.34045481049562654,-1.3404548104956264,stop,"{""atr_lookback"": 48, ""base_fee_bps_per_side"": 4.0, ""base_slippage_bps_per_side"": 2.0, ""breakout_lookback"": 48, ""cooldown_bars"": 4, ""max_extension_atr_mult"": 1.8, ""max_hold_bars"": 16, ""max_range_atr_mult"": 2.8, ""max_same_direction_bars"": 3, ""min_body_fraction"": 0.55, ""range_expansion_mult"": 1.6, ""range_median_lookback"": 96, ""stop_atr_mult"": 1.2, ""stress_fee_bps_per_side"": 6.0, ""stress_slippage_bps_per_side"": 5.0, ""target_r"": 2.0, ""timeframe"": ""15m"", ""volume_expansion_mult"": 1.4, ""volume_median_lookback"": 96}",stress,5.262179025129238
