scenario,entry_mode,month,trades,ev_per_trade_r,total_ev_r
base,next_close,2025-05,1,-1.1390099009900991,-1.1390099009900991
base,next_close,2025-08,1,1.7490364243677434,1.7490364243677434
base,next_close,2025-09,1,-0.6137687074829802,-0.6137687074829802
base,next_close,2025-11,1,-1.3818888223477244,-1.3818888223477244
base,next_open,2025-05,1,1.8596322489391794,1.8596322489391794
base,next_open,2025-08,1,1.749754095753142,1.749754095753142
base,next_open,2025-09,1,-1.1857026239067054,-1.1857026239067054
base,next_open,2025-11,1,1.6157099950725842,1.6157099950725842
stress,next_close,2025-05,1,-1.254851485148515,-1.254851485148515
stress,next_close,2025-08,1,1.5399001113408628,1.5399001113408628
stress,next_close,2025-09,1,-0.7689096209912405,-0.7689096209912405
stress,next_close,2025-11,1,-1.7001295076374947,-1.7001295076374947
stress,next_open,2025-05,1,1.7426591230551625,1.7426591230551625
stress,next_open,2025-08,1,1.5412158422140934,1.5412158422140934
stress,next_open,2025-09,1,-1.3404548104956264,-1.3404548104956264
stress,next_open,2025-11,1,1.2954683242997378,1.2954683242997378
