scenario,entry_mode,symbol,trades,ev_per_trade_r,total_ev_r
base,next_close,BTCUSDT,1,-1.3818888223477244,-1.3818888223477244
base,next_close,DOTUSDT,2,-0.8763893042365396,-1.7527786084730792
base,next_close,SUIUSDT,1,1.7490364243677434,1.7490364243677434
base,next_open,BTCUSDT,1,1.6157099950725842,1.6157099950725842
base,next_open,DOTUSDT,2,0.336964812516237,0.673929625032474
base,next_open,SUIUSDT,1,1.749754095753142,1.749754095753142
stress,next_close,BTCUSDT,1,-1.7001295076374947,-1.7001295076374947
stress,next_close,DOTUSDT,2,-1.0118805530698778,-2.0237611061397556
stress,next_close,SUIUSDT,1,1.5399001113408628,1.5399001113408628
stress,next_open,BTCUSDT,1,1.2954683242997378,1.2954683242997378
stress,next_open,DOTUSDT,2,0.20110215627976802,0.40220431255953604
stress,next_open,SUIUSDT,1,1.5412158422140934,1.5412158422140934
