symbol,trades,total_r,ev_r,max_drawdown_r
DOGEUSDT,540,36.50085011655403,0.06759416688250745,-31.628018006550946
SOLUSDT,605,-17.686434591434715,-0.02923377618418961,-52.883152575555904
XRPUSDT,514,-25.169415686376826,-0.04896773479839849,-57.24623367037454
AVAXUSDT,599,-29.978688183258527,-0.05004789346119955,-41.46606494911889
LINKUSDT,590,-48.38036481138363,-0.08200061832437903,-84.76613215307833
LTCUSDT,528,-54.00450252692169,-0.10228125478583654,-70.59517574328939
ADAUSDT,596,-76.40966139965846,-0.12820412986519875,-79.15144972309791
ETHUSDT,487,-93.31012422286777,-0.1916018977882295,-103.38026528190046
BNBUSDT,559,-111.19796158785444,-0.198923008207253,-119.6646398312167
BTCUSDT,481,-121.29325650484896,-0.2521689324425134,-128.85940830038996
