symbol,trades,total_r,ev_r,max_drawdown_r
DOGEUSDT,567,-6.8109336289086055,-0.012012228622413766,-36.41495447066294
SOLUSDT,623,-43.991762197276536,-0.07061278041296394,-85.81243879266934
AVAXUSDT,610,-45.79669447641969,-0.07507654832199949,-54.71566665921196
LINKUSDT,591,-55.5223569710188,-0.09394645849580169,-74.47079836819874
LTCUSDT,537,-64.65720952339299,-0.12040448700818061,-67.84313942523546
ETHUSDT,510,-72.12035779953086,-0.14141246627358994,-81.3064537393868
BTCUSDT,490,-77.8265330050552,-0.1588296591939902,-98.39797366386867
ADAUSDT,610,-78.11288887702503,-0.1280539161918443,-86.01873157851541
XRPUSDT,530,-92.7412247650739,-0.1749834429529696,-104.4146892118577
BNBUSDT,562,-92.95315729318057,-0.16539707703412912,-106.33249310675282
