symbol,trades,total_r,ev_r,max_drawdown_r
DOGEUSDT,540,-13.55265112030428,-0.025097502074637554,-46.32823443624851
SOLUSDT,609,-94.17089759635073,-0.15463201575755456,-112.82457908513338
AVAXUSDT,606,-104.97102236374545,-0.1732195088510651,-110.02983231999671
XRPUSDT,521,-114.27880480335786,-0.21934511478571567,-115.00148856026382
LINKUSDT,591,-118.67505439027838,-0.200803814535158,-128.3411845306856
LTCUSDT,533,-133.58879500252132,-0.25063563790341714,-141.04978696617067
ADAUSDT,605,-136.92393709390606,-0.22632055718001,-135.11834781776662
ETHUSDT,490,-149.53335659736854,-0.30517011550483375,-150.3463139269781
BNBUSDT,565,-250.59070063344333,-0.4435233639529971,-256.74861178871424
BTCUSDT,486,-252.9374813073805,-0.5204474924020175,-252.31022544253665
