symbol,trades,total_r,ev_r,max_drawdown_r
DOGEUSDT,576,-70.37695575274176,-0.12218221484851001,-71.06949163315664
SOLUSDT,627,-109.97443846703506,-0.17539782849606866,-132.08259110442523
AVAXUSDT,612,-115.01141885551851,-0.18792715499267731,-117.34498638319371
LINKUSDT,594,-115.95390598553028,-0.19520859593523618,-120.14188852700231
LTCUSDT,540,-131.90290159193168,-0.24426463257765127,-132.88893589084284
ADAUSDT,613,-146.62357732739213,-0.2391901750854684,-147.2466516698777
ETHUSDT,504,-152.28803851279707,-0.3021588065730101,-150.95602768351606
XRPUSDT,536,-178.8395912931364,-0.3336559539051052,-180.63890120577943
BTCUSDT,498,-208.31068516921252,-0.41829454853255527,-211.23513426435642
BNBUSDT,564,-208.88886277823184,-0.37037032407487913,-215.24785104439434
