symbol,timeframe,entry_mode,friction,fee_bps_per_side,slippage_bps_per_side,signal_time,entry_time,exit_time,side,raw_entry,entry,raw_exit,exit,risk,result_r,exit_reason,breakout_lookback,atr_window,expansion_atr_mult,stop_atr_mult,target_r,max_hold_bars,max_signal_range_atr,max_close_extension_atr,max_volume_multiple,volume_window
ADAUSDT,1h,next_close,base,4.0,3.0,2023-01-03 16:00:00+00:00,2023-01-03 17:00:00+00:00,2023-01-04 02:00:00+00:00,short,0.2512,0.25102416,0.2546,0.25477822,0.002331250000000007,-1.6103206434316322,stop,24,24,1.25,1.5,2.0,48,2.75,1.25,3.0,24
AVAXUSDT,1h,next_close,base,4.0,3.0,2023-01-03 05:00:00+00:00,2023-01-03 06:00:00+00:00,2023-01-04 03:00:00+00:00,long,11.258,11.2658806,11.677,11.668826099999999,0.13550000000000018,2.9737675276752693,target,24,24,1.25,1.5,2.0,48,2.75,1.25,3.0,24
LTCUSDT,1h,next_close,base,4.0,3.0,2023-01-04 02:00:00+00:00,2023-01-04 03:00:00+00:00,2023-01-04 09:00:00+00:00,long,77.48,77.53423599999999,76.35,76.296555,1.0600000000000005,-1.167623584905655,stop,24,24,1.25,1.5,2.0,48,2.75,1.25,3.0,24
XRPUSDT,1h,next_close,base,4.0,3.0,2023-01-02 08:00:00+00:00,2023-01-02 09:00:00+00:00,2023-01-04 10:00:00+00:00,long,0.345,0.3452414999999999,0.3502,0.34995486,0.0056562500000000016,0.8333012154696228,time,24,24,1.25,1.5,2.0,48,2.75,1.25,3.0,24
ADAUSDT,1h,next_close,base,4.0,3.0,2023-01-04 15:00:00+00:00,2023-01-04 16:00:00+00:00,2023-01-04 21:00:00+00:00,long,0.2679,0.26808753,0.2642,0.26401505999999997,0.003425000000000015,-1.1890423357664328,stop,24,24,1.25,1.5,2.0,48,2.75,1.25,3.0,24
SOLUSDT,1h,next_close,base,4.0,3.0,2023-01-04 07:00:00+00:00,2023-01-04 08:00:00+00:00,2023-01-04 21:00:00+00:00,long,13.7,13.709589999999999,12.986,12.9769098,0.5685,-1.2887954265611241,stop,24,24,1.25,1.5,2.0,48,2.75,1.25,3.0,24
DOGEUSDT,1h,next_close,base,4.0,3.0,2023-01-04 03:00:00+00:00,2023-01-04 04:00:00+00:00,2023-01-05 06:00:00+00:00,long,0.07226,0.072310582,0.07484,0.074787612,0.0009275000000000012,2.670652291105123,target,24,24,1.25,1.5,2.0,48,2.75,1.25,3.0,24
AVAXUSDT,1h,next_close,base,4.0,3.0,2023-01-04 18:00:00+00:00,2023-01-04 19:00:00+00:00,2023-01-05 09:00:00+00:00,long,12.135,12.1434945,11.92,11.911655999999999,0.19600000000000006,-1.1828494897959194,stop,24,24,1.25,1.5,2.0,48,2.75,1.25,3.0,24
LINKUSDT,1h,next_close,base,4.0,3.0,2023-01-04 02:00:00+00:00,2023-01-04 03:00:00+00:00,2023-01-05 10:00:00+00:00,long,5.787,5.791050899999999,5.714,5.7100002000000005,0.061625000000000096,-1.315224340770768,stop,24,24,1.25,1.5,2.0,48,2.75,1.25,3.0,24
SOLUSDT,1h,next_close,base,4.0,3.0,2023-01-05 20:00:00+00:00,2023-01-05 21:00:00+00:00,2023-01-06 07:00:00+00:00,long,13.465,13.474425499999999,13.117,13.107818100000001,0.3290000000000002,-1.1143082066869225,stop,24,24,1.25,1.5,2.0,48,2.75,1.25,3.0,24
BTCUSDT,1h,next_close,base,4.0,3.0,2023-01-06 11:00:00+00:00,2023-01-06 12:00:00+00:00,2023-01-06 16:00:00+00:00,short,16724.4,16712.69292,16834.1,16845.883869999998,54.48124999999982,-2.4447117127451548,stop,24,24,1.25,1.5,2.0,48,2.75,1.25,3.0,24
LTCUSDT,1h,next_close,base,4.0,3.0,2023-01-05 13:00:00+00:00,2023-01-05 14:00:00+00:00,2023-01-06 16:00:00+00:00,short,74.09,74.038137,75.18,75.232626,1.081249999999999,-1.1047297109826508,stop,24,24,1.25,1.5,2.0,48,2.75,1.25,3.0,24
SOLUSDT,1h,next_close,base,4.0,3.0,2023-01-06 10:00:00+00:00,2023-01-06 11:00:00+00:00,2023-01-06 19:00:00+00:00,short,12.984,12.9749112,13.31,13.319317,0.28643750000000034,-1.2023767837660926,stop,24,24,1.25,1.5,2.0,48,2.75,1.25,3.0,24
AVAXUSDT,1h,next_close,base,4.0,3.0,2023-01-06 04:00:00+00:00,2023-01-06 05:00:00+00:00,2023-01-06 20:00:00+00:00,short,11.605,11.5968765,11.747,11.7552229,0.1442500000000001,-1.0977220103986074,stop,24,24,1.25,1.5,2.0,48,2.75,1.25,3.0,24
BNBUSDT,1h,next_close,base,4.0,3.0,2023-01-06 15:00:00+00:00,2023-01-06 16:00:00+00:00,2023-01-07 01:00:00+00:00,long,258.71,258.89109699999995,263.1,262.91583,2.029375,1.9832376963351195,target,24,24,1.25,1.5,2.0,48,2.75,1.25,3.0,24
SOLUSDT,1h,next_close,base,4.0,3.0,2023-01-07 22:00:00+00:00,2023-01-07 23:00:00+00:00,2023-01-08 03:00:00+00:00,short,13.087,13.077839099999998,13.341,13.350338699999998,0.16656250000000028,-1.6360201125703522,stop,24,24,1.25,1.5,2.0,48,2.75,1.25,3.0,24
XRPUSDT,1h,next_close,base,4.0,3.0,2023-01-06 22:00:00+00:00,2023-01-06 23:00:00+00:00,2023-01-08 12:00:00+00:00,long,0.344,0.34424079999999996,0.3386,0.33836298,0.004431249999999991,-1.326447390691112,stop,24,24,1.25,1.5,2.0,48,2.75,1.25,3.0,24
AVAXUSDT,1h,next_close,base,4.0,3.0,2023-01-08 14:00:00+00:00,2023-01-08 15:00:00+00:00,2023-01-08 17:00:00+00:00,long,11.944,11.9523608,11.843,11.8347099,0.09375000000000033,-1.2549429333333206,stop,24,24,1.25,1.5,2.0,48,2.75,1.25,3.0,24
ETHUSDT,1h,next_close,base,4.0,3.0,2023-01-06 19:00:00+00:00,2023-01-06 20:00:00+00:00,2023-01-08 21:00:00+00:00,long,1265.34,1266.2257379999999,1269.9,1269.01107,9.511250000000018,0.29284605072941494,time,24,24,1.25,1.5,2.0,48,2.75,1.25,3.0,24
LINKUSDT,1h,next_close,base,4.0,3.0,2023-01-07 00:00:00+00:00,2023-01-07 01:00:00+00:00,2023-01-09 00:00:00+00:00,long,5.796,5.8000571999999995,5.962,5.9578266,0.06281249999999988,2.511751641791054,target,24,24,1.25,1.5,2.0,48,2.75,1.25,3.0,24
BNBUSDT,1h,next_close,base,4.0,3.0,2023-01-08 22:00:00+00:00,2023-01-08 23:00:00+00:00,2023-01-09 15:00:00+00:00,long,274.7,274.89228999999995,280.1,279.90393,2.150000000000013,2.330995348837222,target,24,24,1.25,1.5,2.0,48,2.75,1.25,3.0,24
LINKUSDT,1h,next_close,base,4.0,3.0,2023-01-09 09:00:00+00:00,2023-01-09 10:00:00+00:00,2023-01-09 20:00:00+00:00,long,6.182,6.1863274,6.1,6.09573,0.08331250000000012,-1.0874406601650402,stop,24,24,1.25,1.5,2.0,48,2.75,1.25,3.0,24
DOGEUSDT,1h,next_close,base,4.0,3.0,2023-01-09 10:00:00+00:00,2023-01-09 11:00:00+00:00,2023-01-09 21:00:00+00:00,long,0.07787,0.07792450899999999,0.0758,0.07574694,0.0012262500000000034,-1.7757953109072246,stop,24,24,1.25,1.5,2.0,48,2.75,1.25,3.0,24
ETHUSDT,1h,next_close,base,4.0,3.0,2023-01-09 15:00:00+00:00,2023-01-09 16:00:00+00:00,2023-01-09 21:00:00+00:00,long,1337.66,1338.596362,1321.74,1320.814782,15.701250000000044,-1.1324945466125325,stop,24,24,1.25,1.5,2.0,48,2.75,1.25,3.0,24
XRPUSDT,1h,next_close,base,4.0,3.0,2023-01-09 15:00:00+00:00,2023-01-09 16:00:00+00:00,2023-01-09 22:00:00+00:00,long,0.3552,0.35544864,0.3474,0.34715682,0.005574999999999997,-1.4873219730941722,stop,24,24,1.25,1.5,2.0,48,2.75,1.25,3.0,24
SOLUSDT,1h,next_close,base,4.0,3.0,2023-01-09 15:00:00+00:00,2023-01-09 16:00:00+00:00,2023-01-10 03:00:00+00:00,long,16.772,16.783740399999996,15.755,15.7439715,0.7418750000000003,-1.4015419039595547,stop,24,24,1.25,1.5,2.0,48,2.75,1.25,3.0,24
LINKUSDT,1h,next_close,base,4.0,3.0,2023-01-10 19:00:00+00:00,2023-01-10 20:00:00+00:00,2023-01-11 03:00:00+00:00,long,6.217,6.221351899999999,6.083,6.0787419,0.09037499999999998,-1.5779806362378919,stop,24,24,1.25,1.5,2.0,48,2.75,1.25,3.0,24
BTCUSDT,1h,next_close,base,4.0,3.0,2023-01-10 18:00:00+00:00,2023-01-10 19:00:00+00:00,2023-01-11 16:00:00+00:00,long,17424.1,17436.29687,17325.2,17313.072360000002,86.04374999999982,-1.4321145928669616,stop,24,24,1.25,1.5,2.0,48,2.75,1.25,3.0,24
DOGEUSDT,1h,next_close,base,4.0,3.0,2023-01-11 15:00:00+00:00,2023-01-11 16:00:00+00:00,2023-01-11 19:00:00+00:00,short,0.07504,0.074987472,0.07637,0.07642345899999999,0.0010631249999999972,-1.3507226337448461,stop,24,24,1.25,1.5,2.0,48,2.75,1.25,3.0,24
ETHUSDT,1h,next_close,base,4.0,3.0,2023-01-11 15:00:00+00:00,2023-01-11 16:00:00+00:00,2023-01-11 19:00:00+00:00,short,1324.59,1323.662787,1337.16,1338.096012,9.445624999999978,-1.528032819426986,stop,24,24,1.25,1.5,2.0,48,2.75,1.25,3.0,24
