symbol,timeframe,entry_mode,friction,fee_bps_per_side,slippage_bps_per_side,signal_time,entry_time,exit_time,side,raw_entry,entry,raw_exit,exit,risk,result_r,exit_reason,breakout_lookback,atr_window,expansion_atr_mult,stop_atr_mult,target_r,max_hold_bars,max_signal_range_atr,max_close_extension_atr,max_volume_multiple,volume_window
ADAUSDT,1h,next_open,base,4.0,3.0,2023-01-03 16:00:00+00:00,2023-01-03 17:00:00+00:00,2023-01-04 02:00:00+00:00,short,0.2509,0.25072437000000003,0.2546,0.25477822,0.002331250000000007,-1.7389168900804108,stop,24,24,1.25,1.5,2.0,48,2.75,1.25,3.0,24
AVAXUSDT,1h,next_open,base,4.0,3.0,2023-01-03 05:00:00+00:00,2023-01-03 06:00:00+00:00,2023-01-04 03:00:00+00:00,long,11.324,11.3319268,11.677,11.668826099999999,0.13550000000000018,2.4863416974169628,target,24,24,1.25,1.5,2.0,48,2.75,1.25,3.0,24
XRPUSDT,1h,next_open,base,4.0,3.0,2023-01-02 08:00:00+00:00,2023-01-02 09:00:00+00:00,2023-01-04 10:00:00+00:00,long,0.3433,0.34354030999999996,0.3502,0.34995486,0.0056562500000000016,1.134064088397793,time,24,24,1.25,1.5,2.0,48,2.75,1.25,3.0,24
DOGEUSDT,1h,next_open,base,4.0,3.0,2023-01-04 03:00:00+00:00,2023-01-04 04:00:00+00:00,2023-01-04 13:00:00+00:00,long,0.07285,0.072900995,0.07191,0.071859663,0.0009275000000000012,-1.1227299191374562,stop,24,24,1.25,1.5,2.0,48,2.75,1.25,3.0,24
LTCUSDT,1h,next_open,base,4.0,3.0,2023-01-04 02:00:00+00:00,2023-01-04 03:00:00+00:00,2023-01-04 13:00:00+00:00,long,76.9,76.95383,75.65,75.59704500000001,1.0600000000000005,-1.2799858490565919,stop,24,24,1.25,1.5,2.0,48,2.75,1.25,3.0,24
SOLUSDT,1h,next_open,base,4.0,3.0,2023-01-04 07:00:00+00:00,2023-01-04 08:00:00+00:00,2023-01-04 13:00:00+00:00,long,14.109,14.118876299999998,13.406,13.3966158,0.5685,-1.2704670184696554,stop,24,24,1.25,1.5,2.0,48,2.75,1.25,3.0,24
ADAUSDT,1h,next_open,base,4.0,3.0,2023-01-04 15:00:00+00:00,2023-01-04 16:00:00+00:00,2023-01-04 21:00:00+00:00,long,0.268,0.26818759999999997,0.2642,0.26401505999999997,0.003425000000000015,-1.218259854014594,stop,24,24,1.25,1.5,2.0,48,2.75,1.25,3.0,24
AVAXUSDT,1h,next_open,base,4.0,3.0,2023-01-04 18:00:00+00:00,2023-01-04 19:00:00+00:00,2023-01-04 22:00:00+00:00,long,12.158,12.166510599999999,11.97,11.961621000000001,0.19600000000000006,-1.0453551020408047,stop,24,24,1.25,1.5,2.0,48,2.75,1.25,3.0,24
DOGEUSDT,1h,next_open,base,4.0,3.0,2023-01-05 05:00:00+00:00,2023-01-05 06:00:00+00:00,2023-01-05 09:00:00+00:00,long,0.07484,0.074892388,0.07371,0.073658403,0.0011193749999999997,-1.1023874930206652,stop,24,24,1.25,1.5,2.0,48,2.75,1.25,3.0,24
LINKUSDT,1h,next_open,base,4.0,3.0,2023-01-04 02:00:00+00:00,2023-01-04 03:00:00+00:00,2023-01-05 14:00:00+00:00,long,5.747,5.7510229,5.673,5.6690289,0.061625000000000096,-1.330531440162268,stop,24,24,1.25,1.5,2.0,48,2.75,1.25,3.0,24
SOLUSDT,1h,next_open,base,4.0,3.0,2023-01-05 20:00:00+00:00,2023-01-05 21:00:00+00:00,2023-01-06 03:00:00+00:00,long,13.642,13.651549399999999,13.196,13.186762799999999,0.3290000000000002,-1.4127252279635252,stop,24,24,1.25,1.5,2.0,48,2.75,1.25,3.0,24
BTCUSDT,1h,next_open,base,4.0,3.0,2023-01-06 11:00:00+00:00,2023-01-06 12:00:00+00:00,2023-01-06 16:00:00+00:00,short,16731.5,16719.787949999998,16834.1,16845.883869999998,54.48124999999982,-2.314482872547898,stop,24,24,1.25,1.5,2.0,48,2.75,1.25,3.0,24
