symbol,timeframe,entry_mode,friction,fee_bps_per_side,slippage_bps_per_side,signal_time,entry_time,exit_time,side,raw_entry,entry,raw_exit,exit,risk,result_r,exit_reason,breakout_lookback,atr_window,expansion_atr_mult,stop_atr_mult,target_r,max_hold_bars,max_signal_range_atr,max_close_extension_atr,max_volume_multiple,volume_window
ADAUSDT,1h,next_close,stress,6.0,10.0,2023-01-03 16:00:00+00:00,2023-01-03 17:00:00+00:00,2023-01-04 02:00:00+00:00,short,0.2512,0.25079808,0.2546,0.25500736,0.002331250000000007,-1.8055892761394208,stop,24,24,1.25,1.5,2.0,48,2.75,1.25,3.0,24
AVAXUSDT,1h,next_close,stress,6.0,10.0,2023-01-03 05:00:00+00:00,2023-01-03 06:00:00+00:00,2023-01-04 03:00:00+00:00,long,11.258,11.2760128,11.677,11.6583168,0.13550000000000018,2.821431734317336,target,24,24,1.25,1.5,2.0,48,2.75,1.25,3.0,24
LTCUSDT,1h,next_close,stress,6.0,10.0,2023-01-04 02:00:00+00:00,2023-01-04 03:00:00+00:00,2023-01-04 09:00:00+00:00,long,77.48,77.60396800000001,76.35,76.22783999999999,1.0600000000000005,-1.2982339622641716,stop,24,24,1.25,1.5,2.0,48,2.75,1.25,3.0,24
XRPUSDT,1h,next_close,stress,6.0,10.0,2023-01-02 08:00:00+00:00,2023-01-02 09:00:00+00:00,2023-01-04 10:00:00+00:00,long,0.345,0.34555199999999997,0.3502,0.34963968,0.0056562500000000016,0.7226837569060839,time,24,24,1.25,1.5,2.0,48,2.75,1.25,3.0,24
ADAUSDT,1h,next_close,stress,6.0,10.0,2023-01-04 15:00:00+00:00,2023-01-04 16:00:00+00:00,2023-01-04 21:00:00+00:00,long,0.2679,0.26832864000000006,0.2642,0.26377728,0.003425000000000015,-1.328864233576654,stop,24,24,1.25,1.5,2.0,48,2.75,1.25,3.0,24
LINKUSDT,1h,next_close,stress,6.0,10.0,2023-01-04 02:00:00+00:00,2023-01-04 03:00:00+00:00,2023-01-04 21:00:00+00:00,long,5.787,5.796259200000001,5.734,5.7248256,0.061625000000000096,-1.1591659229209013,stop,24,24,1.25,1.5,2.0,48,2.75,1.25,3.0,24
SOLUSDT,1h,next_close,stress,6.0,10.0,2023-01-04 07:00:00+00:00,2023-01-04 08:00:00+00:00,2023-01-04 21:00:00+00:00,long,13.7,13.72192,12.986,12.9652224,0.5685,-1.3310423922603356,stop,24,24,1.25,1.5,2.0,48,2.75,1.25,3.0,24
DOGEUSDT,1h,next_close,stress,6.0,10.0,2023-01-04 03:00:00+00:00,2023-01-04 04:00:00+00:00,2023-01-05 06:00:00+00:00,long,0.07226,0.072375616,0.07484,0.074720256,0.0009275000000000012,2.527913746630719,target,24,24,1.25,1.5,2.0,48,2.75,1.25,3.0,24
AVAXUSDT,1h,next_close,stress,6.0,10.0,2023-01-04 18:00:00+00:00,2023-01-04 19:00:00+00:00,2023-01-05 09:00:00+00:00,long,12.135,12.154416000000001,11.92,11.900927999999999,0.19600000000000006,-1.2933061224489923,stop,24,24,1.25,1.5,2.0,48,2.75,1.25,3.0,24
SOLUSDT,1h,next_close,stress,6.0,10.0,2023-01-05 20:00:00+00:00,2023-01-05 21:00:00+00:00,2023-01-06 07:00:00+00:00,long,13.465,13.486544,13.117,13.0960128,0.3290000000000002,-1.1870249240121569,stop,24,24,1.25,1.5,2.0,48,2.75,1.25,3.0,24
BTCUSDT,1h,next_close,stress,6.0,10.0,2023-01-06 11:00:00+00:00,2023-01-06 12:00:00+00:00,2023-01-06 14:00:00+00:00,short,16724.4,16697.64096,16766.9,16793.72704,54.48124999999982,-1.7636541011816225,stop,24,24,1.25,1.5,2.0,48,2.75,1.25,3.0,24
LTCUSDT,1h,next_close,stress,6.0,10.0,2023-01-05 13:00:00+00:00,2023-01-05 14:00:00+00:00,2023-01-06 16:00:00+00:00,short,74.09,73.971456,75.18,75.30028800000001,1.081249999999999,-1.2289775722543417,stop,24,24,1.25,1.5,2.0,48,2.75,1.25,3.0,24
SOLUSDT,1h,next_close,stress,6.0,10.0,2023-01-06 10:00:00+00:00,2023-01-06 11:00:00+00:00,2023-01-06 19:00:00+00:00,short,12.984,12.9632256,13.31,13.331296000000002,0.28643750000000034,-1.2849937595461556,stop,24,24,1.25,1.5,2.0,48,2.75,1.25,3.0,24
AVAXUSDT,1h,next_close,stress,6.0,10.0,2023-01-06 04:00:00+00:00,2023-01-06 05:00:00+00:00,2023-01-06 20:00:00+00:00,short,11.605,11.586432,11.747,11.765795200000001,0.1442500000000001,-1.243419064124789,stop,24,24,1.25,1.5,2.0,48,2.75,1.25,3.0,24
SOLUSDT,1h,next_close,stress,6.0,10.0,2023-01-07 22:00:00+00:00,2023-01-07 23:00:00+00:00,2023-01-08 03:00:00+00:00,short,13.087,13.066060799999999,13.341,13.3623456,0.16656250000000028,-1.7788205628517821,stop,24,24,1.25,1.5,2.0,48,2.75,1.25,3.0,24
XRPUSDT,1h,next_close,stress,6.0,10.0,2023-01-06 22:00:00+00:00,2023-01-06 23:00:00+00:00,2023-01-08 05:00:00+00:00,long,0.344,0.3445504,0.3398,0.33925632,0.004431249999999991,-1.194714809590971,stop,24,24,1.25,1.5,2.0,48,2.75,1.25,3.0,24
BNBUSDT,1h,next_close,stress,6.0,10.0,2023-01-06 15:00:00+00:00,2023-01-06 16:00:00+00:00,2023-01-08 15:00:00+00:00,long,258.71,259.123936,263.64,263.21817599999997,2.029375,2.017488142901118,target,24,24,1.25,1.5,2.0,48,2.75,1.25,3.0,24
AVAXUSDT,1h,next_close,stress,6.0,10.0,2023-01-08 14:00:00+00:00,2023-01-08 15:00:00+00:00,2023-01-08 17:00:00+00:00,long,11.944,11.963110400000001,11.843,11.8240512,0.09375000000000033,-1.4832981333333488,stop,24,24,1.25,1.5,2.0,48,2.75,1.25,3.0,24
ETHUSDT,1h,next_close,stress,6.0,10.0,2023-01-06 19:00:00+00:00,2023-01-06 20:00:00+00:00,2023-01-08 21:00:00+00:00,long,1265.34,1267.364544,1269.9,1267.86816,9.511250000000018,0.052949507162566904,time,24,24,1.25,1.5,2.0,48,2.75,1.25,3.0,24
LINKUSDT,1h,next_close,stress,6.0,10.0,2023-01-07 00:00:00+00:00,2023-01-07 01:00:00+00:00,2023-01-09 00:00:00+00:00,long,5.796,5.8052736000000005,5.962,5.9524608,0.06281249999999988,2.343278805970144,target,24,24,1.25,1.5,2.0,48,2.75,1.25,3.0,24
BNBUSDT,1h,next_close,stress,6.0,10.0,2023-01-08 22:00:00+00:00,2023-01-08 23:00:00+00:00,2023-01-09 15:00:00+00:00,long,274.7,275.13952,280.1,279.65184,2.150000000000013,2.098753488372075,target,24,24,1.25,1.5,2.0,48,2.75,1.25,3.0,24
LINKUSDT,1h,next_close,stress,6.0,10.0,2023-01-09 09:00:00+00:00,2023-01-09 10:00:00+00:00,2023-01-09 20:00:00+00:00,long,6.182,6.191891200000001,6.1,6.09024,0.08331250000000012,-1.2201194298574738,stop,24,24,1.25,1.5,2.0,48,2.75,1.25,3.0,24
DOGEUSDT,1h,next_close,stress,6.0,10.0,2023-01-09 10:00:00+00:00,2023-01-09 11:00:00+00:00,2023-01-09 21:00:00+00:00,long,0.07787,0.077994592,0.0758,0.07567872,0.0012262500000000034,-1.888580632008147,stop,24,24,1.25,1.5,2.0,48,2.75,1.25,3.0,24
ETHUSDT,1h,next_close,stress,6.0,10.0,2023-01-09 15:00:00+00:00,2023-01-09 16:00:00+00:00,2023-01-09 21:00:00+00:00,long,1337.66,1339.8002560000002,1321.74,1319.625216,15.701250000000044,-1.2849320913940132,stop,24,24,1.25,1.5,2.0,48,2.75,1.25,3.0,24
XRPUSDT,1h,next_close,stress,6.0,10.0,2023-01-09 15:00:00+00:00,2023-01-09 16:00:00+00:00,2023-01-09 21:00:00+00:00,long,0.3552,0.35576832,0.3501,0.34953984,0.005574999999999997,-1.117216143497765,stop,24,24,1.25,1.5,2.0,48,2.75,1.25,3.0,24
SOLUSDT,1h,next_close,stress,6.0,10.0,2023-01-09 15:00:00+00:00,2023-01-09 16:00:00+00:00,2023-01-10 03:00:00+00:00,long,16.772,16.7988352,15.755,15.729792,0.7418750000000003,-1.441001786015163,stop,24,24,1.25,1.5,2.0,48,2.75,1.25,3.0,24
LINKUSDT,1h,next_close,stress,6.0,10.0,2023-01-10 19:00:00+00:00,2023-01-10 20:00:00+00:00,2023-01-10 23:00:00+00:00,long,6.217,6.2269472,6.133,6.123187199999999,0.09037499999999998,-1.148105117565702,stop,24,24,1.25,1.5,2.0,48,2.75,1.25,3.0,24
BTCUSDT,1h,next_close,stress,6.0,10.0,2023-01-10 18:00:00+00:00,2023-01-10 19:00:00+00:00,2023-01-11 16:00:00+00:00,long,17424.1,17451.97856,17325.2,17297.47968,86.04374999999982,-1.7955851529018612,stop,24,24,1.25,1.5,2.0,48,2.75,1.25,3.0,24
DOGEUSDT,1h,next_close,stress,6.0,10.0,2023-01-11 15:00:00+00:00,2023-01-11 16:00:00+00:00,2023-01-11 19:00:00+00:00,short,0.07504,0.07491993599999999,0.07637,0.076492192,0.0010631249999999972,-1.4789004115226452,stop,24,24,1.25,1.5,2.0,48,2.75,1.25,3.0,24
ETHUSDT,1h,next_close,stress,6.0,10.0,2023-01-11 15:00:00+00:00,2023-01-11 16:00:00+00:00,2023-01-11 19:00:00+00:00,short,1324.59,1322.470656,1337.16,1339.2994560000002,9.445624999999978,-1.7816502348971368,stop,24,24,1.25,1.5,2.0,48,2.75,1.25,3.0,24
