symbol,timeframe,entry_mode,friction,fee_bps_per_side,slippage_bps_per_side,signal_time,entry_time,exit_time,side,raw_entry,entry,raw_exit,exit,risk,result_r,exit_reason,breakout_lookback,atr_window,expansion_atr_mult,stop_atr_mult,target_r,max_hold_bars,max_signal_range_atr,max_close_extension_atr,max_volume_multiple,volume_window
ADAUSDT,1h,next_open,stress,6.0,10.0,2023-01-03 16:00:00+00:00,2023-01-03 17:00:00+00:00,2023-01-04 02:00:00+00:00,short,0.2509,0.25049856,0.2546,0.25500736,0.002331250000000007,-1.9340697050938431,stop,24,24,1.25,1.5,2.0,48,2.75,1.25,3.0,24
AVAXUSDT,1h,next_open,stress,6.0,10.0,2023-01-03 05:00:00+00:00,2023-01-03 06:00:00+00:00,2023-01-04 03:00:00+00:00,long,11.324,11.3421184,11.677,11.6583168,0.13550000000000018,2.3335675276752688,target,24,24,1.25,1.5,2.0,48,2.75,1.25,3.0,24
XRPUSDT,1h,next_open,stress,6.0,10.0,2023-01-02 08:00:00+00:00,2023-01-02 09:00:00+00:00,2023-01-04 10:00:00+00:00,long,0.3433,0.34384928000000003,0.3502,0.34963968,0.0056562500000000016,1.0237171270718182,time,24,24,1.25,1.5,2.0,48,2.75,1.25,3.0,24
DOGEUSDT,1h,next_open,stress,6.0,10.0,2023-01-04 03:00:00+00:00,2023-01-04 04:00:00+00:00,2023-01-04 12:00:00+00:00,long,0.07285,0.07296656,0.07199,0.071874816,0.0009275000000000012,-1.177082479784371,stop,24,24,1.25,1.5,2.0,48,2.75,1.25,3.0,24
LTCUSDT,1h,next_open,stress,6.0,10.0,2023-01-04 02:00:00+00:00,2023-01-04 03:00:00+00:00,2023-01-04 13:00:00+00:00,long,76.9,77.02304000000001,75.65,75.52896,1.0600000000000005,-1.4095094339622738,stop,24,24,1.25,1.5,2.0,48,2.75,1.25,3.0,24
SOLUSDT,1h,next_open,stress,6.0,10.0,2023-01-04 07:00:00+00:00,2023-01-04 08:00:00+00:00,2023-01-04 13:00:00+00:00,long,14.109,14.1315744,13.406,13.3845504,0.5685,-1.314026385224274,stop,24,24,1.25,1.5,2.0,48,2.75,1.25,3.0,24
ADAUSDT,1h,next_open,stress,6.0,10.0,2023-01-04 15:00:00+00:00,2023-01-04 16:00:00+00:00,2023-01-04 21:00:00+00:00,long,0.268,0.2684288,0.2642,0.26377728,0.003425000000000015,-1.3581080291970802,stop,24,24,1.25,1.5,2.0,48,2.75,1.25,3.0,24
AVAXUSDT,1h,next_open,stress,6.0,10.0,2023-01-04 18:00:00+00:00,2023-01-04 19:00:00+00:00,2023-01-04 22:00:00+00:00,long,12.158,12.1774528,11.97,11.950848,0.19600000000000006,-1.1561469387755032,stop,24,24,1.25,1.5,2.0,48,2.75,1.25,3.0,24
DOGEUSDT,1h,next_open,stress,6.0,10.0,2023-01-05 05:00:00+00:00,2023-01-05 06:00:00+00:00,2023-01-05 08:00:00+00:00,long,0.07484,0.07495974400000001,0.07381,0.073691904,0.0011193749999999997,-1.1326320491345676,stop,24,24,1.25,1.5,2.0,48,2.75,1.25,3.0,24
LINKUSDT,1h,next_open,stress,6.0,10.0,2023-01-04 02:00:00+00:00,2023-01-04 03:00:00+00:00,2023-01-05 14:00:00+00:00,long,5.747,5.7561952000000005,5.673,5.6639232,0.061625000000000096,-1.4973144016227216,stop,24,24,1.25,1.5,2.0,48,2.75,1.25,3.0,24
